000004	XEROX CORPORATION
000604	@Track Communications, Inc.
000614	Prism Holdings
000624	Gentner Communications Corp.
000634	GTE Airfone Inc.
000644	neix,Inc
000654	Winpresa Building Automation Technologies GmbH
000664	Fostex Corporation
000674	Spectrum Control, Inc.
000684	Biacore AB
000694	Mobillian Corporation
0006A4	INNOWELL Corp.
0006B4	Vorne Industries, Inc.
0006C4	Piolink Inc.
0006D4	Interactive Objects, Inc.
0006E4	Citel Technologies Ltd.
0006F4	Prime Electronics & Satellitics Inc.
000704	ALPS ELECTRIC CO.,LTD.
000714	Brightcom
000724	Telemax Co., Ltd.
000734	ONStor, Inc.
000744	Unico, Inc.
000754	Xyterra Computing, Inc.
000764	YoungWoo Telecom Co. Ltd.
000774	GuangZhou Thinker Technology Co. Ltd.
000784	Cisco Systems, Inc
000794	Simple Devices, Inc.
0007A4	GN Netcom Ltd.
0007B4	Cisco Systems, Inc
0007C4	JEAN Co. Ltd.
0007D4	Zhejiang Yutong Network Communication Co Ltd.
0007E4	SoftRadio Co., Ltd.
0007F4	Eletex Co., Ltd.
000804	ICA Inc.
000814	TIL Technologies
000824	Nuance Document Imaging
000854	Netronix, Inc.
000864	Fasy S.p.A.
000874	Dell Inc.
000884	Index Braille AB
000894	InnoVISION Multimedia Ltd.
0008A4	Cisco Systems, Inc
0008B4	Syspol
0008C4	Hikari Co.,Ltd.
0008D4	IneoQuest Technologies, Inc
0008E4	Envenergy Inc
0008F4	Bluetake Technology Co., Ltd.
000904	MONDIAL electronic
000914	COMPUTROLS INC.
000924	Telebau GmbH
000934	Dream-Multimedia-Tv GmbH
000944	Cisco Systems, Inc
000954	AMiT spol. s. r. o.
000964	Hi-Techniques, Inc.
000974	Innopia Technologies, Inc.
000984	MyCasa Network Inc.
000994	Cronyx Engineering
0009A4	HARTEC Corporation
0009B4	KISAN TELECOM CO., LTD.
0009C4	Medicore Co., Ltd
0009D4	Transtech Networks
0009E4	K Tech Infosystem Inc.
0009F4	Alcon Laboratories, Inc.
000A04	3Com Ltd
000A14	TECO a.s.
000A24	Octave Communications
000A34	Identicard Systems Incorporated
000A44	Avery Dennison Deutschland GmbH
000A54	Laguna Hills, Inc.
000A64	Eracom Technologies
000A74	Manticom Networks Inc.
000A84	Rainsun Enterprise Co., Ltd.
000A94	ShangHai cellink CO., LTD
000AA4	SHANGHAI SURVEILLANCE TECHNOLOGY CO,LTD
000AB4	ETIC Telecommunications
000AC4	Daewoo Teletech Co., Ltd
000AD4	CoreBell Systems Inc.
000AE4	Wistron Corporation
000AF4	Cisco Systems, Inc
000B04	Volktek Corporation
000B14	ViewSonic Corporation
000B24	Airlogic
000B34	ShangHai Broadband Technologies CO.LTD
000B44	Concord IDea Corp.
000B54	BiTMICRO Networks, Inc.
000B64	Kieback & Peter GmbH & Co KG
000B74	Kingwave Technology Co., Ltd.
000B84	Bodet
000B94	Digital Monitoring Products, Inc.
000BA4	Shiron Satellite Communications Ltd. (1996)
000BB4	RDC Semiconductor Inc.,
000BC4	BIOTRONIK GmbH & Co
000BD4	Beijing Wise Technology & Science Development Co.Ltd
000BE4	Hosiden Corporation
000BF4	Private
000C04	Tecnova
000C14	Diagnostic Instruments, Inc.
000C24	Anator
000C34	Vixen Co., Ltd.
000C44	Automated Interfaces, Inc.
000C54	Pedestal Networks, Inc
000C64	X2 MSA Group
000C74	RIVERTEC CORPORATION
000C84	Eazix, Inc.
000C94	United Electronic Industries, Inc. (EUI)
000CA4	Prompttec Product Management GmbH
000CB4	AutoCell Laboratories, Inc.
000CC4	Tiptel AG
000CD4	Positron Public Safety Systems inc.
000CE4	NeuroCom International, Inc.
000CF4	AKATSUKI ELECTRIC MFG.CO.,LTD.
000D04	Foxboro Eckardt Development GmbH
000D14	Vtech Innovation LP dba Advanced American Telephones
000D24	SentecE&               # SENTEC E&E CO., LTD.
000D34	Shell International Exploration and Production, Inc.
000D44	AudioBu-               # Audio BU - Logitech
000D54	3Com Ltd
000D64	COMAG Handels AG
000D74	Sand Network Systems, Inc.
000D84	Makus Inc.
000D94	AFAR Communications,Inc
000DA4	DOSCH & AMAND SYSTEMS AG
000DB4	Netasq
000DC4	Emcore Corporation
000DD4	Symantec Corporation
000DE4	DIGINICS, Inc.
000DF4	Watertek Co.
000E04	CMA/Microdialysis AB
000E14	Visionary Solutions, Inc.
000E24	Huwell Technology Inc.
000E34	NexGen City, LP
000E44	Digital 5, Inc.
000E54	AlphaCell Wireless Ltd.
000E64	Elphel, Inc
000E74	Solar Telecom. Tech
000E84	Cisco Systems, Inc
000E94	Maas International BV
000EA4	Certance Inc.
000EB4	GUANGZHOU GAOKE COMMUNICATIONS TECHNOLOGY CO.LTD.
000EC4	Iskra Transmission d.d.
000ED4	CRESITT INDUSTRIE
000EE4	BOE TECHNOLOGY GROUP CO.,LTD
000EF4	Kasda Networks Inc
000F04	cim-usa inc
000F14	Mindray Co., Ltd.
000F24	Cisco Systems, Inc
000F34	Cisco Systems, Inc
000F44	Tivella Inc.
000F54	Entrelogic Corporation
000F64	D&R Electronica Weesp BV
000F74	Qamcom Technology AB
000F84	Astute Networks, Inc.
000F94	Genexis BV
000FA4	Sprecher Automation GmbH
000FB4	Timespace Technology
000FC4	NST co.,LTD.
000FD4	Soundcraft
000FE4	Pantech Co.,Ltd
000FF4	Guntermann & Drunck GmbH
001004	THE BRANTLEY COILE COMPANY,INC
001014	Cisco Systems, Inc
001024	NAGOYA ELECTRIC WORKS CO., LTD
001034	GNP Computers
001044	InnoLabs Corporation
001054	Cisco Systems, Inc
001064	DNPG, LLC
001074	ATEN INTERNATIONAL CO., LTD.
001084	K-BOT COMMUNICATIONS
001094	Performance Analysis Broadband, Spirent plc
0010A4	Xircom				RealPort 10/100 PC Card
0010B4	ATMOSPHERE NETWORKS
0010C4	MEDIA GLOBAL LINKS CO., LTD.
0010D4	STORAGE COMPUTER CORPORATION
0010E4	NSI CORPORATION
0010F4	Vertical Communications
001104	Telexy
001114	EverFocus Electronics Corp.
001124	Apple, Inc.
001134	MediaCell, Inc.
001144	Assurance Technology Corp
001154	Webpro Technologies Inc.
001164	ACARD Technology Corp.
001174	Mojo Networks, Inc.
001184	Humo Laboratory,Ltd.
001194	Chi Mei Communication Systems, Inc.
0011A4	JStream Technologies Inc.
0011B4	Westermo Teleindustri AB
0011C4	Terminales de Telecomunicacion Terrestre, S.L.
0011D4	NetEnrich, Inc
0011E4	Danelec Electronics A/S
0011F4	woori-net
001204	u10 Networks, Inc.
001214	Koenig & Bauer AG
001224	NexQL Corporation
001234	Camille Bauer
001244	Cisco Systems, Inc
001254	Spectra Technologies Holdings Company Ltd
001264	daum electronic gmbh
001274	NIT lab
001284	Lab33 Srl
001294	SUMITOMO ELECTRIC DEVICE INNOVATIONS, INC
0012A4	ThingMagic, LLC
0012B4	Work Microwave GmbH
0012C4	Viseon, Inc.
0012D4	Princeton Technology, Ltd
0012E4	ZIEHL industrie-electronik GmbH + Co KG
0012F4	Belco International Co.,Ltd.
001304	Flaircomm Technologies Co. LTD
001314	Asiamajor Inc.
001324	Schneider Electric Ultra Terminal
001334	Arkados, Inc.
001344	Fargo Electronics Inc.
001354	Zcomax Technologies, Inc.
001364	Paradigm Technology Inc..
001374	Atheros Communications, Inc.
001384	Advanced Motion Controls
001394	Infohand Co.,Ltd
0013A4	KeyEye Communications
0013B4	Appear TV
0013C4	Cisco Systems, Inc
0013D4	ASUSTek COMPUTER INC.
0013E4	YANGJAE SYSTEMS CORP.
0013F4	Psitek (Pty) Ltd
001404	ARRIS Group, Inc.
001414	Jumpnode Systems LLC.
001424	Merry Electrics CO., LTD.
001434	Keri Systems, Inc
001444	Grundfos Holding
001454	Symwave
001464	Cryptosoft
001474	K40 Electronics
001484	Cermate Technologies Inc.
001494	ESU AG
0014A4	Hon Hai Precision Ind. Co.,Ltd.
0014B4	General Dynamics United Kingdom Ltd
0014C4	Vitelcom Mobile Technology
0014D4	K Technology Corporation
0014E4	infinias, LLC
0014F4	DekTec Digital Video B.V.
001504	GAME PLUS CO., LTD.
001514	Hu Zhou NAVA Networks&Electronics Ltd.
001524	Numatics, Inc.
001534	A Beltrónica-Companhia de Comunicações, Lda
001544	coM.s.a.t. AG
001554	Atalum Wireless S.A.
001564	BEHRINGER Spezielle Studiotechnik GmbH
001574	Horizon Semiconductors Ltd.
001584	Schenck Process GmbH
001594	BIXOLON CO.,LTD
0015A4	ARRIS Group, Inc.
0015B4	Polymap  Wireless LLC
0015C4	FLOVEL CO., LTD.
0015D4	Emitor AB
0015E4	Zimmer Elektromedizin
0015F4	Eventide
001604	Sigpro
001614	Picosecond Pulse Labs
001624	Teneros, Inc.
001634	Mathtech, Inc.
001644	LITE-ON Technology Corp.
001654	Flex-P Industries Sdn. Bhd.
001664	Prod-El SpA
001674	EuroCB (Phils.), Inc.
001684	Donjin Co.,Ltd.
001694	Sennheiser Communications A/S
0016A4	Ezurio Ltd
0016B4	Private
0016C4	SiRF Technology, Inc.
0016D4	Compal Communications, Inc.
0016E4	VANGUARD SECURITY ENGINEERING CORP.
0016F4	Eidicom Co., Ltd.
001704	Shinco Electronics Group Co.,Ltd
001714	BR Controls Nederland bv
001724	Studer Professional Audio GmbH
001734	ADC Telecommunications
001744	Araneo Ltd.
001754	Arkino HiTOP Corporation Limited
001764	ATMedia GmbH
001774	Elesta GmbH
001784	ARRIS Group, Inc.
001794	Cisco Systems, Inc
0017A4	Hewlett Packard
0017B4	Remote Security Systems, LLC
0017C4	Quanta Microsystems, INC.
0017D4	Monsoon Multimedia, Inc
0017E4	Texas Instruments
0017F4	ZERON ALLIANCE
001804	E-TEK DIGITAL TECHNOLOGY LIMITED
001814	Mitutoyo Corporation
001824	Kimaldi Electronics, S.L.
001834	Texas Instruments
001844	Heads Up Technologies, Inc.
001854	Argard Co., Ltd
001864	Eaton Corporation
001874	Cisco Systems, Inc
001884	Fon Technology S.L.
001894	NPCore, Inc.
0018A4	ARRIS Group, Inc.
0018B4	Dawon Media Inc.
0018C4	Raba Technologies LLC
0018D4	Unified Display Interface SIG
0018E4	Yiguang
0018F4	EO TECHNICS Co., Ltd.
001904	WB Electronics Sp. z o.o.
001914	Winix Co., Ltd
001924	LBNL  Engineering
001934	TRENDON TOUCH TECHNOLOGY CORP.
001944	Fossil Partners, L.P.
001954	Leaf Corporation.
001964	Doorking Inc.
001974	16063
001984	ESTIC Corporation
001994	Jorjin Technologies Inc.
0019A4	Austar Technology (hang zhou) Co.,Ltd
0019B4	Intellio Ltd
0019C4	Infocrypt Inc.
0019D4	ICX Technologies
0019E4	2Wire Inc
0019F4	Convergens Oy Ltd
001A04	Interay Solutions BV
001A14	Xin Hua Control Engineering Co.,Ltd.
001A24	Galaxy Telecom Technologies Ltd
001A34	Konka Group Co., Ltd.
001A44	JWTrading Co., Ltd
001A54	Hip Shing Electronics Ltd.
001A64	IBM Corp
001A74	Procare International Co
001A84	V One Multimedia Pte Ltd
001A94	Votronic GmbH
001AA4	Future University-Hakodate
001AB4	FFEI Ltd.
001AC4	2Wire Inc
001AD4	iPOX Technology Co., Ltd.
001AE4	Medicis Technologies Corporation
001AF4	Handreamnet
001B04	Affinity International S.p.a
001B14	Carex Lighting Equipment Factory
001B24	QUANTA COMPUTER INC.
001B34	Focus System Inc.
001B44	SanDisk Corporation
001B54	Cisco Systems, Inc
001B64	IsaacLandKorea Co., Ltd,
001B74	MiraLink Corporation
001B84	Scan Engineering Telecom
001B94	T.E.M.A. S.p.A.
001BA4	S.A.E Afikim
001BB4	Airvod Limited
001BC4	Ultratec, Inc.
001BD4	Cisco Systems, Inc
001BE4	TOWNET SRL
001BF4	KENWIN INDUSTRIAL(HK) LTD.
001C04	Airgain, Inc.
001C14	VMware, Inc.
001C24	Formosa Wireless Systems Corp.
001C34	HUEY CHIAO INTERNATIONAL CO., LTD.
001C44	Bosch Security Systems BV
001C54	Hillstone Networks Inc
001C64	Landis+Gyr
001C74	Syswan Technologies Inc.
001C84	STL Solution Co.,Ltd.
001C94	LI-COR Biosciences
001CA4	Sony Mobile Communications AB
001CB4	Iridium Satellite LLC
001CC4	Hewlett Packard
001CD4	Nokia Danmark A/S
001CE4	EleSy JSC
001CF4	Media Technology Systems Inc
001D04	Zipit Wireless, Inc.
001D14	SPERADTONE INFORMATION TECHNOLOGY LIMITED
001D24	Aclara Power-Line Systems Inc.
001D34	SYRIS Technology Corp
001D44	Krohne
001D54	Sunnic Technology & Merchandise INC.
001D64	Adam Communications Systems Int Ltd
001D74	Tianjin China-Silicon Microelectronics Co., Ltd.
001D84	Gateway, Inc.
001D94	Climax Technology Co., Ltd
001DA4	Hangzhou System Technology CO., LTD
001DB4	KUMHO ENG CO.,LTD
001DC4	AIOI Systems Co., Ltd.
001DD4	ARRIS Group, Inc.
001DE4	Visioneered Image Systems
001DF4	Magellan Technology Pty Limited
001E04	Hanson Research Corporation
001E14	Cisco Systems, Inc
001E24	Zhejiang Bell Technology Co.,ltd
001E34	CryptoMetrics
001E44	Santec
001E54	TOYO ELECTRIC Corporation
001E64	Intel Corporate
001E74	Sagemcom Broadband SAS
001E84	Pika Technologies Inc.
001E94	SUPERCOM TECHNOLOGY CORPORATION
001EA4	Nokia Danmark A/S
001EB4	UNIFAT TECHNOLOGY LTD.
001EC4	Celio Corp
001ED4	Doble Engineering
001EE4	ACS Solutions France
001EF4	L-3 Communications Display Systems
001F04	Granch Ltd.
001F14	Nexg
001F24	DIGITVIEW TECHNOLOGY CO., LTD.
001F34	Lung Hwa Electronics Co., Ltd.
001F44	GE Transportation Systems
001F54	Lorex Technology Inc.
001F64	Beijing Autelan Technology Inc.
001F74	Eigen Development
001F84	Gigle Semiconductor
001F94	Lascar Electronics Ltd
001FA4	SHENZHEN GONGJIN ELECTRONICS CO.,LT
001FB4	SmartShare Systems
001FC4	ARRIS Group, Inc.
001FD4	4IPNET, INC.
001FE4	Sony Mobile Communications AB
001FF4	Power Monitors, Inc.
002004	YAMATAKE-HONEYWELL CO., LTD.
002014	GLOBAL VIEW CO., LTD.
002024	PACIFIC COMMUNICATION SCIENCES
002034	ROTEC INDUSTRIEAUTOMATION GMBH
002044	GENITECH PTY LTD
002054	Sycamore Networks
002064	PROTEC MICROSYSTEMS, INC.
002074	SUNGWOON SYSTEMS
002084	OCE PRINTING SYSTEMS, GMBH
002094	Cubix Corporation
0020A4	MULTIPOINT NETWORKS
0020B4	TERMA ELEKTRONIK AS
0020C4	INET,INC.
0020D4	Cabletron Systems, Inc.
0020E4	HSING TECH ENTERPRISE CO., LTD
0020F4	SPECTRIX CORPORATION
002104	Gigaset Communications GmbH
002114	Hylab Technology Inc.
002124	Optos Plc
002134	Brandywine Communications
002144	SS Telecoms
002154	D-TACQ Solutions Ltd
002164	Special Design Bureau for Seismic Instrumentation
002174	AvaLAN Wireless
002184	POWERSOFT SRL
002194	Ping Communication
0021A4	Dbii Networks
0021B4	APRO MEDIA CO., LTD
0021C4	Consilium AB
0021D4	Vollmer Werke GmbH
0021E4	I-Win
0021F4	INRange Systems, Inc
002204	Koratek
002214	RINNAI KOREA
002224	Good Will Instrument Co., Ltd.
002234	Corventis Inc.
002244	Chengdu Linkon Communications Device Co., Ltd
002254	Bigelow Aerospace
002264	Hewlett Packard
002274	FamilyPhone AB
002284	DESAY A&V SCIENCE AND TECHNOLOGY CO.,LTD
002294	Kyocera Corporation
0022A4	2Wire Inc
0022B4	ARRIS Group, Inc.
0022C4	epro GmbH
0022D4	ComWorth Co., Ltd.
0022E4	APASS TECHNOLOGY CO., LTD.
0022F4	AMPAK Technology, Inc.
002304	Cisco Systems, Inc
002314	Intel Corporate
002324	G-PRO COMPUTER
002334	Cisco Systems, Inc
002344	Objective Interface Systems, Inc.
002354	ASUSTek COMPUTER INC.
002364	Power Instruments Pte Ltd
002374	ARRIS Group, Inc.
002384	GGH Engineering s.r.l.
002394	Samjeon
0023A4	New Concepts Development Corp.
0023B4	Nokia Danmark A/S
0023C4	Lux Lumen
0023D4	Texas Instruments
0023E4	IPnect co. ltd.
0023F4	Masternaut
002404	Nokia Danmark A/S
002414	Cisco Systems, Inc
002424	Axis Network Technology
002434	Lectrosonics, Inc.
002444	Nintendo Co., Ltd.
002454	Samsung Electronics Co.,Ltd
002464	Bridge Technologies Co AS
002474	Autronica Fire And Securirty
002484	Bang and Olufsen Medicom a/s
002494	Shenzhen Baoxin Tech CO., Ltd.
0024A4	Siklu Communication
0024B4	ESCATRONIC GmbH
0024C4	Cisco Systems, Inc
0024D4	FREEBOX SAS
0024E4	Withings
0024F4	Kaminario, Ltd.
002504	Valiant Communications Limited
002514	PC Worth Int'l Co., Ltd.
002524	Lightcomm Technology Co., Ltd
002544	LoJack Corporation
002554	Pixel8 Networks
002564	Dell Inc.
002574	KUNIMI MEDIA DEVICE Co., Ltd.
002584	Cisco Systems, Inc
002594	Eurodesign BG LTD
0025A4	EuroDesign embedded technologies GmbH
0025B4	Cisco Systems, Inc
0025C4	Ruckus Wireless
0025D4	General Dynamics Mission Systems
0025E4	OMNI-WiFi, LLC
0025F4	KoCo Connector AG
002604	Audio Processing Technology Ltd
002614	Ktnf
002624	Thomson Inc.
002634	Infineta Systems, Inc
002644	Thomson Telecom Belgium
002654	3Com Corporation
002664	Core System Japan
002674	Electronic Solutions, Inc.
002684	KISAN SYSTEM
002694	Senscient Ltd
0026A4	Novus Produtos Eletronicos Ltda
0026B4	Ford Motor Company
0026C4	Cadmos microsystems S.r.l.
0026D4	IRCA SpA
0026E4	Canal+                 # Canal +
0026F4	Nesslab
002704	Accelerated Concepts, Inc
002714	Grainmustards, Co,ltd.
003004	LEADTEK RESEARCH INC.
003014	DIVIO, INC.
003024	Cisco Systems, Inc
003034	SET ENGINEERING
003044	CradlePoint, Inc
003054	CASTLENET TECHNOLOGY, INC.
003064	ADLINK TECHNOLOGY, INC.
003074	EQUIINET LTD.
003084	ALLIED TELESYN INTERNAIONAL
003094	Cisco Systems, Inc
0030A4	Woodwind Communications System
0030B4	INTERSIL CORP.
0030C4	Canon Imaging Systems Inc.
0030D4	AAE Systems, Inc.
0030E4	CHIYODA SYSTEM RIKEN
0030F4	STARDOT TECHNOLOGIES
004004	ICM CO. LTD.
004014	Comsoft Gmbh
004024	COMPAC INC.
004034	BUSTEK CORPORATION
004044	QNIX COMPUTER CO., LTD.
004054	Thinking Machines Corporation
004064	KLA INSTRUMENTS CORPORATION
004074	Cable and Wireless
004084	HONEYWELL ACS
004094	Shographics Inc
0040A4	Rose Electronics
0040B4	3COM K.K.
0040C4	KINKEI SYSTEM CORPORATION
0040D4	Gage Talker Corp.
0040E4	E-M TECHNOLOGY, INC.
0040F4	Cameo Communications, Inc.
0041B4	Wuxi Zhongxing Optoelectronics Technology Co.,Ltd.
004854	Digital SemiConductor		21143/2 based 10/100
005004	3com				3C90X
005014	Cisco Systems, Inc
005024	NAVIC SYSTEMS, INC.
005044	ASACA CORPORATION
005054	Cisco Systems, Inc
005064	CAE ELECTRONICS
005074	ADVANCED HI-TECH CORP.
005084	ATL PRODUCTS
005094	ARRIS Group, Inc.
0050A4	IO TECH, INC.
0050B4	SATCHWELL CONTROL SYSTEMS, LTD
0050C4	Imd
0050D4	JOOHONG INFORMATION &
0050E4	Apple, Inc.
0050F4	SIGMATEK GMBH & CO. KG
006004	COMPUTADORES MODULARES SA
006014	EDEC CO., LTD.
006024	GRADIENT TECHNOLOGIES, INC.
006034	ROBERT BOSCH GmbH
006044	LITTON/POLY-SCIENTIFIC
006054	CONTROLWARE GMBH
006064	NETCOMM LIMITED
006074	QSC LLC
006084	DIGITAL VIDEO
006094	AMD PCNET PCI
0060A4	GEW Technologies (PTY)Ltd
0060B4	GLENAYRE R&D INC.
0060C4	SOLITON SYSTEMS K.K.
0060D4	ELDAT COMMUNICATION LTD.
0060E4	COMPUSERVE, INC.
0060F4	ADVANCED COMPUTER SOLUTIONS, Inc.
006F64	Samsung Electronics Co.,Ltd
008004	Antlow Computers, Ltd.
008014	ESPRIT SYSTEMS
008024	Kalpana
008034	SMT-Goupil
008044	SYSTECH COMPUTER CORP.
008054	FRONTIER TECHNOLOGIES CORP.
008064	Wyse
008074	Fisher Controls
008084	THE CLOUD INC.
008094	Sattcontrol AB
0080A4	LIBERTY ELECTRONICS
0080B4	SOPHIA SYSTEMS
0080C4	DOCUMENT TECHNOLOGIES, INC.
0080D4	Chase Limited
0080E4	NORTHWEST DIGITAL SYSTEMS, INC
0080F4	Telemechanique Electrique
0081C4	Cisco Systems, Inc
008C54	ADB Broadband Italia
009004	3com
009014	ROTORK INSTRUMENTS, LTD.
009024	PIPELINKS, INC.
009034	IMAGIC, INC.
009044	ASSURED DIGITAL, INC.
009054	INNOVATIVE SEMICONDUCTORS, INC
009064	Thomson Inc.
009074	ARGON NETWORKS, INC.
009084	ATECH SYSTEM
009094	OSPREY TECHNOLOGIES, INC.
0090A4	ALTIGA NETWORKS
0090B4	WILLOWBROOK TECHNOLOGIES
0090C4	JAVELIN SYSTEMS, INC.
0090D4	BindView Development Corp.
0090E4	NEC AMERICA, INC.
0090F4	LIGHTNING INSTRUMENTATION
00A004	NETPOWER, INC.
00A014	Csir
00A024	3com
00A034	Axel
00A044	NTT IT CO., LTD.
00A054	Private
00A064	KVB/ANALECT
00A074	PERCEPTION TECHNOLOGY
00A084	Dataplex Pty Ltd
00A094	COMSAT CORPORATION
00A0A4	Oracle Corporation
00A0B4	TEXAS MICROSYSTEMS, INC.
00A0C4	CRISTIE ELECTRONICS LTD.
00A0D4	RADIOLAN,  INC.
00A0E4	OPTIQUEST
00A0F4	Ge
00A784	ITX security
00B064	Cisco Systems, Inc
00B094	Alaris, Inc.
00C004	Japan Business Computer Co.Ltd
00C014	Telematics Calabasas
00C024	Eden Sistemas De Computacao SA
00C034	Dale Computer Corporation
00C044	Emcom Corporation
00C054	NETWORK PERIPHERALS, LTD.
00C064	General Datacomm Ind Inc
00C074	Toyoda Automatic Loom Works Ltd
00C084	Data Link Corp Ltd
00C094	VMX INC.
00C0A4	Unigraf OY
00C0B4	Myson Technology Inc
00C0C4	Computer Operational
00C0D4	Axon Networks Inc
00C0E4	Landis & Gyr Powers Inc
00C0F4	Interlink System Co., Ltd.
00C164	Cisco Systems, Inc
00D004	PENTACOM LTD.
00D014	ROOT, INC.
00D024	Cognex Corporation
00D034	ORMEC SYSTEMS CORP.
00D044	ALIDIAN NETWORKS, INC.
00D054	SAS INSTITUTE INC.
00D064	Multitel
00D074	TAQUA SYSTEMS, INC.
00D084	NEXCOMM SYSTEMS, INC.
00D094	Seeion Control LLC
00D0A4	ALANTRO COMMUNICATIONS
00D0B4	KATSUJIMA CO., LTD.
00D0C4	TERATECH CORPORATION
00D0D4	V-BITS, INC.
00D0E4	Cisco Systems, Inc
00D0F4	CARINTHIAN TECH INSTITUTE
00DD04	UNGERMANN-BASS INC.
00E004	PMC-SIERRA, INC.
00E014	Cisco
00E024	GADZOOX NETWORKS
00E034	Cisco
00E044	LSICS CORPORATION
00E054	KODAI HITEC CO., LTD.
00E064	SAMSUNG ELECTRONICS
00E074	TIERNAN COMMUNICATIONS, INC.
00E084	COMPULITE R&D
00E094	OSAI SRL
00E0A4	ESAOTE S.p.A.
00E0B4	TECHNO SCOPE CO., LTD.
00E0C4	HORNER ELECTRIC, INC.
00E0D4	EXCELLENT COMPUTER
00E0E4	FANUC ROBOTICS NORTH AMERICA, Inc.
00E0F4	INSIDE Technology A/S
041A04	Waveip
041B94	Host Mobility AB
041E64	Apple, Inc.
042234	Wireless Standard Extensions
042DB4	First Property (Beijing) Co., Ltd Modern MOMA Branch
0432F4	Partron
043604	Gyeyoung I&T
045604	Gionee Communication Equipment Co.,Ltd.
04C5A4	Cisco Systems, Inc
04CE14	Wilocity LTD.
04E0C4	Triumph-               # TRIUMPH-ADLER AG
04F7E4	Apple, Inc.
080004	CROMEMCO INCORPORATED
080014	Excelan				BBN Butterfly, Masscomp, Silicon Graphics
080024	10NET COMMUNICATIONS/DCA
080034	FILENET CORPORATION
080044	DSI (DAVID Systems, Inc.)
080064	Sitasys AG
080074	Casio
080084	TOMEN ELECTRONICS CORP.
080D84	GECO, Inc.
0817F4	IBM Corp
0881F4	Juniper Networks
08EA44	Aerohive Networks Inc.
08EB74	HUMAX Co., Ltd.
08F2F4	Net One Partners Co.,Ltd.
0C2724	Cisco Systems, Inc
0C8484	Zenovia Electronics Inc.
0CA2F4	Chameleon Technology (UK) Limited
0CA694	Sunitec Enterprise Co.,Ltd
0CDFA4	Samsung Electronics Co.,Ltd
0CE0E4	PLANTRONICS, INC.
0CF0B4	Globalsat International Technology Ltd
0CF5A4	Cisco Systems, Inc
1000D4	DEC
100C24	pomdevices, LLC
101B54	HUAWEI TECHNOLOGIES CO.,LTD
101F74	Hewlett Packard
10DDF4	Maxway Electronics CO.,LTD
10DEE4	automationNEXT GmbH
10FC54	Shany Electronic Co., Ltd.
