000001	SuperLAN-2U
001191	CTS-Clima Temperatur Systeme GmbH
0011A1	VISION NETWARE CO.,LTD
0011B1	BlueExpert Technology Corp.
0011C1	4P MOBILE DATA PROCESSING
0011D1	Soft Imaging System GmbH
0011E1	Arcelik A.S
0011F1	QinetiQ Ltd
001201	Cisco Systems, Inc
001211	Protechna Herbst GmbH & Co. KG
001221	B.Braun Melsungen AG
001231	Motion Control Systems, Inc.
001241	a2i marketing center
001251	Silink
001261	Adaptix, Inc
001271	Measurement Computing Corp
001281	March Networks S.p.A.
001291	KWS Computersysteme GmbH
0012A1	BluePacket Communications Co., Ltd.
0012B1	Dai Nippon Printing Co., Ltd
0012C1	Check Point Software Technologies
0012D1	Texas Instruments
0012E1	Alliant Networks, Inc
0012F1	Ifotec
001301	IronGate S.L.
001311	ARRIS Group, Inc.
001321	Hewlett Packard
001331	CellPoint Connect
001341	Shandong New Beiyang Information Technology Co.,Ltd
001351	Niles Audio Corporation
001361	Biospace Co., Ltd.
001371	ARRIS Group, Inc.
001381	CHIPS & Systems, Inc.
001391	OUEN CO.,LTD.
0013A1	Crow Electronic Engeneering
0013B1	Intelligent Control Systems (Asia) Pte Ltd
0013C1	Asoka USA Corporation
0013D1	KIRK telecom A/S
0013E1	Iprobe AB
0013F1	AMOD Technology Co., Ltd.
001401	Rivertree Networks Corp.
001411	Deutschmann Automation GmbH & Co. KG
001421	Total Wireless Technologies Pte. Ltd.
001431	PDL Electronics Ltd
001441	Innovation Sound Technology Co., LTD.
001451	Apple, Inc.
001461	CORONA CORPORATION
001471	Eastern Asia Technology Limited
001481	Multilink Inc
001491	Daniels Electronics Ltd. dbo Codan Rado Communications
0014A1	Synchronous Communication Corp
0014B1	Axell Wireless Limited
0014C1	U.S. Robotics Corporation
0014D1	TRENDnet, Inc.
0014E1	Data Display AG
0014F1	Cisco Systems, Inc
001501	Lexbox
001511	Data Center Systems
001521	Horoquartz
001531	Kocom
001541	StrataLight Communications, Inc.
001551	RadioPulse Inc.
001561	JJPlus Corporation
001571	Nolan Systems
001581	MAKUS Inc.
001591	RLW Inc.
0015A1	ECA-SINTERS
0015B1	Ambient Corporation
0015C1	Sony Interactive Entertainment Inc.
0015D1	ARRIS Group, Inc.
0015E1	Picochip Ltd
0015F1	KYLINK Communications Corp.
001601	BUFFALO.INC
001611	Altecon Srl
001621	Colorado Vnet
001631	Xteam
001641	Universal Global Scientific Industrial Co., Ltd.
001651	Exeo Systems
001661	Novatium Solutions (P) Ltd
001671	Symphox Information Co.
001681	Vector Informatik GmbH
001691	Moser-Baer AG
0016A1	3Leaf Networks
0016B1	Kbs
0016C1	Eleksen Ltd
0016D1	ZAT a.s.
0016E1	SiliconStor, Inc.
0016F1	OmniSense, LLC
001701	KDE, Inc.
001711	GE Healthcare Bio-Sciences AB
001721	FITRE S.p.A.
001731	ASUSTek COMPUTER INC.
001741	Defidev
001751	Online Corporation
001761	Private
001771	APD Communications Ltd
001781	Greystone Data System, Inc.
001791	LinTech GmbH
0017A1	3soft inc.
0017B1	ACIST Medical Systems, Inc.
0017C1	CM Precision Technology LTD.
0017D1	Nortel Networks
0017E1	DACOS Technologies Co., Ltd.
0017F1	Renu Electronics Pvt Ltd
001801	Actiontec Electronics, Inc
001811	Neuros Technology International, LLC.
001821	SINDORICOH
001831	Texas Instruments
001841	High Tech Computer Corp
001851	Swsoft
001861	Ooma, Inc.
001871	Hewlett Packard
001881	Buyang Electronics Industrial Co., Ltd
001891	Zhongshan General K-mate Electronics Co., Ltd
0018A1	Tiqit Computers, Inc.
0018B1	IBM Corp
0018C1	Almitec Informática e Comércio
0018D1	Siemens Home & Office Comm. Devices
0018E1	Verkerk Service Systemen
0018F1	Chunichi Denshi Co.,LTD.
001901	F1media
001911	Just In Mobile Information Technologies (Shanghai) Co., Ltd.
001921	Elitegroup Computer Systems Co.,Ltd.
001931	Balluff GmbH
001941	Pitney Bowes, Inc
001951	NETCONS, s.r.o.
001961	Blaupunkt  Embedded Systems GmbH
001971	Guangzhou Unicomp Technology Co.,Ltd
001981	Vivox Inc
001991	Avinfo
0019A1	LG INFORMATION & COMM.
0019B1	Arrow7 Corporation
0019C1	ALPS ELECTRIC CO.,LTD.
0019D1	Intel Corporate
0019E1	Nortel Networks
0019F1	Star Communication Network Technology Co.,Ltd
001A01	Smiths Medical
001A11	Google, Inc.
001A21	Brookhuis Applied Technologies BV
001A31	SCAN COIN Industries AB
001A41	INOCOVA Co.,Ltd
001A51	Alfred Mann Foundation
001A61	PacStar Corp.
001A71	Diostech Co., Ltd.
001A81	Zelax
001A91	FusionDynamic Ltd.
001AA1	Cisco Systems, Inc
001AB1	Asia Pacific Satellite Industries Co., Ltd.
001AC1	3Com Ltd
001AD1	FARGO CO., LTD.
001AE1	EDGE ACCESS INC
001AF1	Embedded Artists AB
001B01	Applied Radio Technologies
001B11	D-Link Corporation
001B21	Intel Corporate
001B31	Neural Image. Co. Ltd.
001B41	General Infinity Co.,Ltd.
001B51	Vector Technology Corp.
001B61	Digital Acoustics, LLC
001B71	Telular Corp.
001B81	DATAQ Instruments, Inc.
001B91	EFKON AG
001BA1	Åmic AB
001BB1	Wistron Neweb Corporation
001BC1	HOLUX Technology, Inc.
001BD1	SOGESTMATIC
001BE1	Vialogy
001BF1	Nanjing SilverNet Software Co., Ltd.
001C01	ABB Oy Drives
001C11	ARRIS Group, Inc.
001C21	Nucsafe Inc.
001C31	Mobile XP Technology Co., LTD
001C41	scemtec Transponder Technology GmbH
001C51	Celeno Communications
001C61	Galaxy  Microsystems LImited
001C71	Emergent Electronics
001C81	NextGen Venturi LTD
001C91	Gefen Inc.
001CA1	AKAMAI TECHNOLOGIES, INC.
001CB1	Cisco Systems, Inc
001CC1	ARRIS Group, Inc.
001CD1	Waves Audio LTD
001CE1	INDRA SISTEMAS, S.A.
001CF1	SUPoX Technology Co. , LTD.
001D01	Neptune Digital
001D11	Analogue & Micro Ltd
001D21	Alcad SL
001D31	HIGHPRO INTERNATIONAL R&D CO,.LTD.
001D41	Hardy Instruments
001D51	Babcock & Wilcox Power Generation Group, Inc
001D61	BIJ Corporation
001D71	Cisco Systems, Inc
001D81	GUANGZHOU GATEWAY ELECTRONICS CO., LTD
001D91	Digitize, Inc
001DA1	Cisco Systems, Inc
001DB1	Crescendo Networks
001DC1	Audinate Pty L
001DD1	ARRIS Group, Inc.
001DE1	Intel Corporate
001DF1	Intego Systems, Inc.
001E01	Renesas Technology Sales Co., Ltd.
001E11	ELELUX INTERNATIONAL LTD
001E21	Qisda Corporation
001E31	INFOMARK CO.,LTD.
001E41	Microwave Communication & Component, Inc.
001E51	Converter Industry Srl
001E61	ITEC GmbH
001E71	MIrcom Group of Companies
001E81	CNB Technology Inc.
001E91	KIMIN Electronic Co., Ltd.
001EA1	Brunata a/s
001EB1	Cryptsoft Pty Ltd
001EC1	3COM EUROPE LTD
001ED1	Keyprocessor B.V.
001EE1	Samsung Electronics Co.,Ltd
001EF1	Servimat
001F01	Nokia Danmark A/S
001F11	OPENMOKO, INC.
001F21	Inner Mongolia Yin An Science & Technology Development Co.,L
001F31	Radiocomp
001F41	Ruckus Wireless
001F51	HD Communications Corp
001F61	Talent Communication Networks Inc.
001F71	xG Technology, Inc.
001F81	Accel Semiconductor Corp
001F91	DBS Lodging Technologies, LLC
001FA1	Gtran Inc
001FB1	Cybertech Inc.
001FC1	Hanlong Technology Co.,LTD
001FD1	OPTEX CO.,LTD.
001FE1	Hon Hai Precision Ind. Co.,Ltd.
001FF1	Paradox Hellas S.A.
002001	DSP SOLUTIONS, INC.
002011	Canopus Co Ltd
002021	ALGORITHMS SOFTWARE PVT. LTD.
002031	Tattile SRL
002041	DATA NET
002051	Verilink Corporation
002061	Dynatech Communications Inc
002071	IBR GMBH
002081	TITAN ELECTRONICS
002091	J125, NATIONAL SECURITY AGENCY
0020A1	Dovatron
0020B1	COMTECH RESEARCH INC.
0020C1	SAXA, Inc.
0020D1	MICROCOMPUTER SYSTEMS (M) SDN.
0020E1	ALAMAR ELECTRONICS
0020F1	ALTOS INDIA LIMITED
002101	Aplicaciones Electronicas Quasar (AEQ)
002111	Uniphone Inc.
002121	VRmagic GmbH
002131	Blynke Inc.
002141	Radlive
002151	Millinet Co., Ltd.
002161	Yournet Inc.
002171	Wesung TNC Co., Ltd.
002181	Si2 Microsystems Limited
002191	D-Link Corporation
0021A1	Cisco Systems, Inc
0021B1	DIGITAL SOLUTIONS LTD
0021C1	ABB Oy / Medium Voltage Products
0021D1	Samsung Electronics Co.,Ltd
0021E1	Nortel Networks
0021F1	Tutus Data AB
002201	Aksys Networks Inc
002211	Rohati Systems
002221	ITOH DENKI CO,LTD.
002231	SMT&C Co., Ltd.
002241	Apple, Inc.
002251	Lumasense Technologies
002261	Frontier Silicon Ltd
002271	Jäger Computergesteuerte Meßtechnik GmbH.
002281	Daintree Networks Pty
002291	Cisco Systems, Inc
0022A1	Huawei Symantec Technologies Co.,Ltd.
0022B1	Elbit Systems Ltd.
0022C1	Active Storage Inc.
0022D1	Albrecht Jung GmbH & Co. KG
0022E1	ZORT Labs, LLC.
0022F1	Private
002301	Witron Technology Limited
002311	Gloscom Co., Ltd.
002321	Avitech International Corp
002331	Nintendo Co., Ltd.
002341	Vanderbilt International (SWE) AB
002351	2Wire Inc
002361	Unigen Corporation
002371	SOAM Systel
002381	Lengda Technology(Xiamen) Co.,Ltd.
002391	Maxian
0023A1	Trend Electronics Ltd
0023B1	Longcheer Technology (Singapore) Pte Ltd
0023C1	Securitas Direct AB
0023D1	Trg
0023E1	Cavena Image Products AB
0023F1	Sony Mobile Communications AB
002401	D-Link Corporation
002411	PharmaSmart LLC
002421	MICRO-STAR INT'L CO., LTD.
002431	Uni-v co.,ltd
002441	Wanzl Metallwarenfabrik GmbH
002451	Cisco Systems, Inc
002461	Shin Wang Tech.
002471	Fusion MultiSystems dba Fusion-io
002481	Hewlett Packard
002491	Samsung Electronics Co.,Ltd
0024A1	ARRIS Group, Inc.
0024B1	Coulomb Technologies
0024C1	ARRIS Group, Inc.
0024D1	Thomson Inc.
0024E1	Convey Computer Corp.
0024F1	Shenzhen Fanhai Sanjiang Electronics Co., Ltd.
002501	JSC Supertel
002511	Elitegroup Computer Systems Co.,Ltd.
002521	Logitek Electronic Systems, Inc.
002531	Cloud Engines, Inc.
002541	Maquet Critical Care AB
002551	SE-Elektronic GmbH
002561	ProCurve Networking by HP
002571	Zhejiang Tianle Digital Electric Co.,Ltd
002581	x-star networks Inc.
002591	NEXTEK, Inc.
0025A1	Enalasys
0025B1	Maya-Creation Corporation
0025C1	Nawoo Korea Corp.
0025D1	Eastern Asia Technology Limited
0025E1	SHANGHAI SEEYOO ELECTRONIC & TECHNOLOGY CO., LTD
0025F1	ARRIS Group, Inc.
002601	Cutera Inc
002611	Licera AB
002621	InteliCloud Technology Inc.
002631	COMMTACT LTD
002641	ARRIS Group, Inc.
002651	Cisco Systems, Inc
002661	Irumtek Co., Ltd.
002671	AUTOVISION Co., Ltd
002681	Interspiro AB
002691	Sagemcom Broadband SAS
0026A1	Megger
0026B1	Navis Auto Motive Systems, Inc.
0026C1	ARTRAY CO., LTD.
0026D1	S Squared Innovations Inc.
0026E1	Stanford University, OpenFlow Group
0026F1	ProCurve Networking by HP
002701	INCOstartec GmbH
002711	LanPro Inc
002721	Shenzhen Baoan Fenda Industrial Co., Ltd
003001	Smp
003011	HMS Industrial Networks
003021	HSING TECH. ENTERPRISE CO.,LTD
003031	LIGHTWAVE COMMUNICATIONS, INC.
003041	SAEJIN T & M CO., LTD.
003051	ORBIT AVIONIC & COMMUNICATION
003061	Mobytel
003071	Cisco Systems, Inc
003081	ALTOS C&C
003091	TAIWAN FIRST LINE ELEC. CORP.
0030A1	WEBGATE Inc.
0030B1	Trunknet
0030C1	Hewlett Packard
0030D1	INOVA CORPORATION
0030E1	Network Equipment Technologies, Inc.
0030F1	Accton Technology Corp
0034F1	Radicom Research, Inc.
003D41	Hatteland Computer AS
003EE1	Apple, Inc.
004001	Zero One Technology Co Ltd (ZyXEL?)
004011	Facilities Andover Environmental Controllers
004021	RASTER GRAPHICS
004031	KOKUSAI ELECTRIC CO., LTD
004041	Fujikura Ltd.
004051	GRACILIS, INC.
004061	DATATECH ENTERPRISES CO., LTD.
004071	ATM COMPUTER GMBH
004081	MANNESMANN SCANGRAPHIC GMBH
004091	Procomp Industria Eletronica
0040A1	ERGO COMPUTING
0040B1	CODONICS INC.
0040C1	Bizerba-	# Bizerba-Werke Wilheim Kraut
0040D1	FUKUDA DENSHI CO., LTD.
0040E1	Marner International Inc
0040F1	Chuo Electronics Co., Ltd.
004501	Versus Technology, Inc.
005001	YAMASHITA SYSTEMS CORP.
005021	EIS INTERNATIONAL, INC.
005031	AEROFLEX LABORATORIES, INC.
005041	Coretronic Corporation
005051	IWATSU ELECTRIC CO., LTD.
005071	AIWA CO., LTD.
005081	MURATA MACHINERY, LTD.
005091	NETACCESS, INC.
0050A1	CARLO GAVAZZI, INC.
0050B1	GIDDINGS & LEWIS
0050C1	GEMFLEX NETWORKS, LTD.
0050D1	Cisco Systems, Inc
0050E1	NS TECH ELECTRONICS SDN BHD
0050F1	Intel Corporation
005BA1	shanghai huayuan chuangxin software CO., LTD.
005CB1	Gospell DIGITAL TECHNOLOGY CO., LTD
006001	InnoSys, Inc.
006011	CRYSTAL SEMICONDUCTOR CORP.
006021	DSC CORPORATION
006031	HRK SYSTEMS
006041	Yokogawa Digital Computer Corporation
006051	QUALITY SEMICONDUCTOR
006061	WHISTLE COMMUNICATIONS CORP.
006071	MIDAS LAB, INC.
006081	TV/COM INTERNATIONAL
006091	FIRST PACIFIC NETWORKS, INC.
0060A1	VPNet, Inc.
0060B1	Input/Output, Inc.
0060C1	WaveSpan Corporation
0060D1	CASCADE COMMUNICATIONS
0060E1	ORCKIT COMMUNICATIONS LTD.
0060F1	EXP COMPUTER, INC.
006171	Apple, Inc.
006BF1	Cisco Systems, Inc
0075E1	Ampt, LLC
008001	Periphonics Corporation
008011	DIGITAL SYSTEMS INT'L. INC.
008021	Newbridge Networks Corporation
008031	BASYS, CORP.
008041	VEB KOMBINAT ROBOTRON
008051	ADC Fibermux
008061	LITTON SYSTEMS, INC.
008071	SAI Technology
008081	KENDALL SQUARE RESEARCH CORP.
008091	TOKYO ELECTRIC CO.,LTD
0080A1	Microtest
0080B1	Softcom A/S
0080C1	LANEX CORPORATION
0080D1	KIMTRON CORPORATION
0080E1	STMicroelectronics SRL
0080F1	Opus
008701	Samsung Electronics Co.,Ltd
008731	Cisco Systems, Inc
009001	NISHIMU ELECTRONICS INDUSTRIES CO., LTD.
009011	WAVTrace, Inc.
009021	Cisco Systems, Inc
009031	MYSTICOM, LTD.
009041	APPLIED DIGITAL ACCESS
009051	ULTIMATE TECHNOLOGY CORP.
009061	PACIFIC RESEARCH & ENGINEERING CORPORATION
009071	Applied Innovation Inc.
009081	ALOHA NETWORKS, INC.
009091	DigitalScape, Inc.
0090A1	Flying Pig Systems/High End Systems Inc.
0090B1	Cisco
0090C1	Peco II, Inc.
0090D1	LEICHU ENTERPRISE CO., LTD.
0090E1	TELENA S.P.A.
0090F1	DOT HILL SYSTEMS CORPORATION
00A001	DRS Signal Solutions
00A011	MUTOH INDUSTRIES LTD.
00A021	General Dynamics
00A031	HAZELTINE CORPORATION, MS 1-17
00A041	Inficon
00A051	ANGIA COMMUNICATIONS. INC.
00A061	PURITAN BENNETT
00A071	VIDEO LOTTERY TECHNOLOGIES,INC
00A081	ALCATEL DATA NETWORKS
00A091	APPLICOM INTERNATIONAL
00A0A1	EPIC DATA INC.
00A0B1	FIRST VIRTUAL CORPORATION
00A0C1	ORTIVUS MEDICAL AB
00A0D1	National Semiconductor		[COMPAQ Docking Station]
00A0E1	WESTPORT RESEARCH ASSOCIATES, INC.
00A0F1	Mti
00AA01	Intel Corporation
00B091	Transmeta Corp.
00B0E1	Cisco Systems, Inc
00BB01	OCTOTHORPE CORP.
00BBC1	CANON INC.
00C001	Diatek Patient Managment
00C011	Interactive Computing Devices
00C021	Netexpress
00C031	Design Research Systems, Inc.
00C041	Digital Transmission Systems
00C051	Advanced Integration Research
00C061	Solectek Corporation
00C071	Areanex Communications, Inc.
00C081	Metrodata Ltd
00C091	Jabil Circuit, Inc.
00C0A1	Tokyo Denshi Sekei Co
00C0B1	GENIUS NET CO.
00C0C1	Quad/Graphics Inc
00C0D1	Comtree Technology Corporation (EFA also reported)
00C0E1	Sonic Solutions
00C0F1	Shinko Electric Co Ltd
00C1B1	Cisco Systems, Inc
00D001	VST TECHNOLOGIES, INC.
00D011	PRISM VIDEO, INC.
00D021	REGENT ELECTRONICS CORP.
00D031	INDUSTRIAL LOGIC CORPORATION
00D041	AMIGO TECHNOLOGY CO., LTD.
00D051	O2 MICRO, INC.
00D061	TREMON ENTERPRISES CO., LTD.
00D071	ECHELON CORP.
00D081	RTD Embedded Technologies, Inc.
00D091	SMARTSAN SYSTEMS, INC.
00D0A1	OSKAR VIERLING GMBH + CO. KG
00D0B1	OMEGA ELECTRONICS SA
00D0C1	HARMONIC DATA SYSTEMS, LTD.
00D0D1	Sycamore Networks
00D0E1	AVIONITEK ISRAEL INC.
00D0F1	SEGA ENTERPRISES, LTD.
00D9D1	Sony Interactive Entertainment Inc.
00DD01	Ungermann-Bass
00E001	STRAND LIGHTING LIMITED
00E011	Uniden Corporation
00E021	FREEGATE CORP.
00E031	HAGIWARA ELECTRIC CO., LTD.
00E041	Cspi
00E051	TALX CORPORATION
00E061	EdgePoint Networks, Inc.
00E071	EPIS MICROCOMPUTER
00E081	Tyan Computer Corp.		Onboard Intel 82558 10/100
00E091	LG Electronics
00E0A1	HIMA PAUL HILDEBRANDT GmbH Co. KG
00E0B1	Alcatel-               # Alcatel-Lucent Enterprise
00E0C1	MEMOREX TELEX JAPAN, LTD.
00E0D1	TELSIS LIMITED
00E0E1	G2 NETWORKS, INC.
00E0F1	THAT CORPORATION
00F051	KWB Gmbh
00F871	DGS Denmark A/S
020701	Interlan [now Racal-InterLAN]	DEC (UNIBUS or QBUS), Apollo, Cisco
027001	RACAL-DATACOM
02BB01	OCTOTHORPE CORP.
0444A1	TELECON GALICIA,S.A.
0474A1	Aligera Equipamentos Digitais Ltda
0494A1	CATCH THE WIND INC
049F81	NetScout Systems, Inc.
04A151	Netgear
04C991	Phistek INC.
04E451	Texas Instruments
04EE91	x-fabric GmbH
04F021	Compex Systems Pte Ltd
04FE31	Samsung Electronics Co.,Ltd
04FEA1	Fihonest communication co.,Ltd
04FF51	NOVAMEDIA INNOVISION SP. Z O.O.
080001	Computer Vision
080011	Tektronix, Inc.
080021	3M COMPANY
