00000A	OMRON TATEISI ELECTRONICS CO.
00159A	ARRIS Group, Inc.
0015AA	Rextechnik International Co.,
0015BA	iba AG
0015CA	TeraRecon, Inc.
0015DA	IRITEL A.D.
0015EA	Tellumat (Pty) Ltd
0015FA	Cisco Systems, Inc
00160A	SWEEX Europe BV
00161A	Dametric AB
00162A	Antik computers & communications s.r.o.
00163A	YVES TECHNOLOGY CO., LTD.
00164A	Vibration Technology Limited
00165A	Harman Specialty Group
00166A	Tps
00167A	Skyworth Overseas Development Ltd.
00168A	id-Confirm Inc
00169A	Quadrics Ltd
0016AA	Kei Communication Technology Inc.
0016BA	WEATHERNEWS INC.
0016CA	Nortel Networks
0016DA	Futronic Technology Co. Ltd.
0016EA	Intel Corporate
0016FA	ECI Telecom Ltd.
00170A	INEW DIGITAL COMPANY
00171A	Winegard Company
00172A	Proware Technology Corp.(By Unifosa)
00173A	Reach Systems Inc.
00174A	Socomec
00175A	Cisco Systems, Inc
00176A	Avago Technologies
00177A	ASSA ABLOY AB
00178A	DARTS TECHNOLOGIES CORP.
00179A	D-Link Corporation
0017AA	elab-experience inc.
0017BA	SEDO CO., LTD.
0017CA	Qisda Corporation
0017DA	Spans Logic
0017EA	Texas Instruments
0017FA	Microsoft Corporation
00180A	Cisco Meraki
00181A	AVerMedia Information Inc.
00182A	Taiwan Video & Monitor
00183A	Westell Technologies Inc.
00184A	Catcher, Inc.
00185A	uControl, Inc.
00186A	Global Link Digital Technology Co,.LTD
00187A	Wiremold
00188A	Infinova LLC
00189A	HANA Micron Inc.
0018AA	Protec Fire Detection plc
0018BA	Cisco Systems, Inc
0018CA	Viprinet GmbH
0018DA	AMBER wireless GmbH
0018EA	Alltec GmbH
0018FA	Yushin Precision Equipment Co.,Ltd.
00190A	HASWARE INC.
00191A	Irlink
00192A	Antiope Associates
00193A	OESOLUTIONS
00194A	TESTO AG
00195A	Jenaer Antriebstechnik GmbH
00196A	MikroM GmbH
00197A	MAZeT GmbH
00198A	Northrop Grumman Systems Corp.
00199A	Edo-Evi
0019AA	Cisco Systems, Inc
0019BA	Paradox Security Systems Ltd
0019CA	Broadata Communications, Inc
0019DA	Welltrans O&E Technology Co. , Ltd.
0019EA	TeraMage Technologies Co., Ltd.
0019FA	Cable Vision Electronics CO., LTD.
001A0A	Adaptive Micro-Ware Inc.
001A1A	Gentex Corporation/Electro-Acoustic Products
001A2A	Arcadyan Technology Corporation
001A3A	Dongahelecomm
001A4A	Qumranet Inc.
001A5A	Korea Electric Power Data Network  (KDN) Co., Ltd
001A6A	Tranzas, Inc.
001A7A	Lismore Instruments Limited
001A8A	Samsung Electronics Co.,Ltd
001A9A	Skyworth Digital Technology(Shenzhen) Co.,Ltd
001AAA	Analogic Corp.
001ABA	Caton Overseas Limited
001ACA	Tilera Corporation
001ADA	Biz-2-Me Inc.
001AEA	Radio Terminal Systems Pty Ltd
001AFA	Welch Allyn, Inc.
001B0A	Intelligent Distributed Controls Ltd
001B1A	e-trees Japan, Inc.
001B2A	Cisco Systems, Inc
001B3A	SIMS Corp.
001B4A	W&W Communications, Inc.
001B5A	Apollo Imaging Technologies, Inc.
001B6A	Powerwave Technologies Sweden AB
001B7A	Nintendo Co., Ltd.
001B8A	2M Electronic A/S
001B9A	Apollo Fire Detectors Ltd
001BAA	XenICs nv
001BBA	Nortel Networks
001BCA	Beijing Run Technology LTD. Company
001BDA	UTStarcom Inc
001BEA	Nintendo Co., Ltd.
001BFA	G.i.N. mbH
001C0A	Shenzhen AEE Technology Co.,Ltd.
001C1A	Thomas Instrumentation, Inc
001C2A	Envisacor Technologies Inc.
001C3A	Element Labs, Inc.
001C4A	AVM GmbH
001C5A	Advanced Relay Corporation
001C6A	Weiss Engineering Ltd.
001C7A	Perfectone Netware Company Ltd
001C8A	Cirrascale Corporation
001C9A	Nokia Danmark A/S
001CAA	Bellon Pty Ltd
001CBA	VerScient, Inc.
001CCA	Shanghai Gaozhi Science & Technology Development Co.
001CDA	Exegin Technologies Limited
001CEA	Scientific-Atlanta, Inc
001CFA	Alarm.com
001D0A	Davis Instruments, Inc.
001D1A	OvisLink S.A.
001D2A	SHENZHEN BUL-TECH CO.,LTD.
001D3A	mh acoustics LLC
001D4A	Carestream Health, Inc.
001D5A	2Wire Inc
001D6A	Alpha Networks Inc.
001D7A	Wideband Semiconductor, Inc.
001D8A	TechTrex Inc
001D9A	GODEX INTERNATIONAL CO., LTD
001DAA	DrayTek Corp.
001DBA	Sony Corporation
001DCA	PAV Electronics Limited
001DDA	Mikroelektronika spol. s r. o.
001DEA	Commtest Instruments Ltd
001DFA	Fujian LANDI Commercial Equipment Co.,Ltd
001E0A	Syba Tech Limited
001E1A	Best Source Taiwan Inc.
001E2A	Netgear
001E3A	Nokia Danmark A/S
001E4A	Cisco Systems, Inc
001E5A	ARRIS Group, Inc.
001E6A	Beijing Bluexon Technology Co.,Ltd
001E7A	Cisco Systems, Inc
001E8A	eCopy, Inc
001E9A	HAMILTON Bonaduz AG
001EAA	E-Senza Technologies GmbH
001EBA	High Density Devices AS
001ECA	Nortel Networks
001EDA	Wesemann Elektrotechniek B.V.
001EEA	Sensor Switch, Inc.
001EFA	PROTEI Ltd.
001F0A	Nortel Networks
001F1A	Prominvest
001F2A	Accm
001F3A	Hon Hai Precision Ind. Co.,Ltd.
001F4A	Albentia Systems S.A.
001F5A	Beckwith Electric Co.
001F6A	PacketFlux Technologies, Inc.
001F7A	WiWide Inc.
001F8A	Ellion Digital Inc.
001F9A	Nortel Networks
001FAA	Taseon, Inc.
001FBA	Boyoung Tech
001FCA	Cisco Systems, Inc
001FDA	Nortel Networks
001FEA	Applied Media Technologies Corporation
001FFA	Coretree, Co, Ltd
00200A	SOURCE-COMM CORP.
00201A	Nbase
00202A	N.V. DZINE
00203A	DIGITAL BI0METRICS INC.
00204A	PRONET GMBH
00205A	COMPUTER IDENTICS
00206A	OSAKA COMPUTER CORP.
00207A	WiSE Communications, Inc.
00208A	Sonix Communications Ltd
00209A	THE 3DO COMPANY
0020AA	Ericsson Television Limited
0020BA	CENTER FOR HIGH PERFORMANCE
0020CA	DIGITAL OCEAN
0020DA	Xylan
0020EA	EFFICIENT NETWORKS, INC.
0020FA	GDE SYSTEMS, INC.
00210A	bydsign Corporation
00211A	LInTech Corporation
00212A	Audiovox Corporation
00213A	Winchester Systems Inc.
00214A	Pixel Velocity, Inc
00215A	Hewlett Packard
00216A	Intel Corporate
00217A	Sejin Electron, Inc.
00218A	Electronic Design and Manufacturing Company
00219A	Cambridge Visual Networks Ltd
0021AA	Nokia Danmark A/S
0021BA	Texas Instruments
0021CA	ART System Co., Ltd.
0021DA	Automation Products Group Inc.
0021EA	Bystronic Laser AG
0021FA	A4SP Technologies Ltd.
00220A	OnLive, Inc
00221A	Audio Precision
00222A	SoundEar A/S
00223A	Cisco SPVTG
00224A	RAYLASE AG
00225A	Garde Security AB
00226A	Honeywell
00227A	Telecom Design
00228A	Teratronik elektronische systeme gmbh
00229A	Lastar, Inc.
0022AA	Nintendo Co., Ltd.
0022BA	HUTH Elektronik Systeme GmbH
0022CA	Anviz Biometric Tech. Co., Ltd.
0022DA	ANATEK, LLC
0022EA	Rustelcom Inc.
0022FA	Intel Corporate
00230A	ARBURG GmbH & Co KG
00231A	ITF Co., Ltd.
00232A	EonasIt-               # eonas IT-Beratung und -Entwicklung GmbH
00233A	Samsung Electronics Co.,Ltd
00234A	Private
00235A	COMPAL INFORMATION (KUNSHAN) CO., LTD.
00236A	SmartRG Inc
00237A	Rim
00238A	Ciena Corporation
00239A	EasyData Hardware GmbH
0023AA	HFR, Inc.
0023BA	Chroma
0023CA	Behind The Set, LLC
0023DA	Industrial Computer Source (Deutschland)GmbH
0023EA	Cisco Systems, Inc
0023FA	RG Nets, Inc.
00240A	US Beverage Net
00241A	Red Beetle Inc.
00242A	Hittite Microwave Corporation
00243A	Ludl Electronic Products
00244A	Voyant International
00245A	Nanjing Panda Electronics Company Limited
00246A	Solid Year Co., Ltd.
00247A	FU YI CHENG Technology Co., Ltd.
00248A	Kaga Electronics Co., Ltd.
00249A	Beijing Zhongchuang Telecommunication Test Co., Ltd.
0024AA	Dycor Technologies Ltd.
0024BA	Texas Instruments
0024CA	Tobii Technology AB
0024DA	Innovar Systems Limited
0024EA	iris-GmbH infrared & intelligent sensors
0024FA	Hilger u. Kern GMBH
00250A	Security Expert Co. Ltd
00251A	Psiber Data Systems Inc.
00252A	Chengdu GeeYa Technology Co.,LTD
00253A	CEVA, Ltd.
00254A	RingCube Technologies, Inc.
00255A	Tantalus Systems Corp.
00256A	inIT - Institut Industrial IT
00257A	CAMCO Produktions- und Vertriebs-GmbH für  Beschallungs- und Beleuchtungsanlagen
00258A	Pole/Zero Corporation
00259A	CEStronics GmbH
0025AA	Beijing Soul Technology Co.,Ltd.
0025BA	Alcatel-               # Alcatel-Lucent IPD
0025CA	LS Research, LLC
0025DA	Secura Key
0025EA	Iphion BV
0025FA	J&M Analytik AG
00260A	Cisco Systems, Inc
00261A	Femtocomm System Technology Corp.
00262A	Proxense, LLC
00263A	Digitec Systems
00264A	Apple, Inc.
00265A	D-Link Corporation
00266A	ESSENSIUM NV
00267A	wuhan hongxin telecommunication technologies co.,ltd
00268A	Terrier SC Ltd
00269A	Carina System Co., Ltd.
0026AA	Kenmec Mechanical Engineering Co., Ltd.
0026BA	ARRIS Group, Inc.
0026CA	Cisco Systems, Inc
0026DA	Universal Media Corporation /Slovakia/ s.r.o.
0026EA	Cheerchip Electronic Technology (ShangHai) Co., Ltd.
0026FA	BandRich Inc.
00270A	IEE S.A.
00271A	Geenovo Technology Ltd.
002A6A	Cisco Systems, Inc
00300A	Aztech Electronics Pte Ltd
00301A	SMARTBRIDGES PTE. LTD.
00302A	SOUTHERN INFORMATION
00303A	Maatel
00304A	Fraunhofer IPMS
00305A	TELGEN CORPORATION
00306A	PENTA MEDIA CO., LTD.
00307A	Advanced Technology & Systems
00308A	NICOTRA SISTEMI S.P.A
00309A	ASTRO TERRA CORP.
0030AA	AXUS MICROSYSTEMS, INC.
0030BA	AC&T SYSTEM CO., LTD.
0030CA	Discovery Com
0030DA	Comtrend Corporation
0030EA	TeraForce Technology Corporation
0030FA	TELICA, INC.
00323A	So-Logic
0034DA	LG Electronics (Mobile Communications)
00351A	Cisco Systems, Inc
003A9A	Cisco Systems, Inc
00400A	PIVOTAL TECHNOLOGIES, INC.
00401A	FUJI ELECTRIC CO., LTD.
00402A	Canoga-Perkins
00403A	IMPACT TECHNOLOGIES
00404A	WEST AUSTRALIAN DEPARTMENT
00405A	GOLDSTAR INFORMATION & COMM.
00406A	Kentek Information Systems Inc
00407A	SOCIETE D'EXPLOITATION DU CNIT
00408A	TPS Teleprocessing Sys. Gmbh
00409A	Network Express Inc
0040AA	Valmet Automation Inc
0040BA	ALLIANT COMPUTER SYSTEMS CORP.
0040CA	FIRST INTERNAT'L COMPUTER, INC
0040DA	TELSPEC LTD
0040EA	PlainTree Systems Inc
0040FA	Microboards Inc
00425A	Cisco Systems, Inc
00500A	IRIS TECHNOLOGIES, INC.
00501A	IQinVision
00502A	Cisco Systems, Inc
00503A	DATONG ELECTRONICS LTD.
00504A	ELTECO A.S.
00505A	NETWORK ALCHEMY, INC.
00506A	EDEVA, INC.
00507A	XPEED, INC.
00509A	TAG ELECTRONIC SYSTEMS
0050AA	KONICA MINOLTA HOLDINGS, INC.
0050BA	D-Link Corporation
0050CA	NET TO NET TECHNOLOGIES
0050DA	3COM CORPORATION
0050EA	XEL COMMUNICATIONS, INC.
0050FA	OXTEL, LTD.
0055DA	IEEE Registration Authority
00600A	SORD COMPUTER CORPORATION
00601A	KEITHLEY INSTRUMENTS
00602A	SYMICRON COMPUTER COMMUNICATIONS, LTD.
00603A	QUICK CONTROLS LTD.
00604A	SAIC IDEAS GROUP
00605A	CELCORE, INC.
00606A	MITSUBISHI WIRELESS COMMUNICATIONS. INC.
00607A	DVS GMBH
00608A	CITADEL COMPUTER
00609A	NJK TECHNO CO.
0060AA	INTELLIGENT DEVICES INC. (IDI)
0060BA	SAHARA NETWORKS, INC.
0060CA	HARMONIC SYSTEMS INCORPORATED
0060DA	Red Lion Controls, LP
0060EA	StreamLogic
0060FA	EDUCATIONAL TECHNOLOGY RESOURCES, INC.
007DFA	Volkswagen Group of America
00800A	JAPAN COMPUTER CORP.
00801A	Bell Atlantic
00802A	Test Systems & Simulations Inc
00803A	VARITYPER, INC.
00804A	Pro-Log
00805A	Tulip Computers International BV
00806A	ERI (Empac Research Inc.)
00807A	AITECH SYSTEMS LTD.
00808A	Summit?		# Summit (?)
00809A	Novus Networks Ltd
0080AA	Maxpeed
0080BA	Specialix (Asia) Pte Ltd
0080CA	NETCOM RESEARCH INCORPORATED
0080DA	Bruel & Kjaer
0080EA	The Fiber Company
0080FA	RWT GMBH
008CFA	INVENTEC Corporation
008DDA	Link One Co., Ltd.
00900A	PROTON ELECTRONIC INDUSTRIAL CO., LTD.
00901A	UNISPHERE SOLUTIONS
00902A	COMMUNICATION DEVICES, INC.
00903A	NIHON MEDIA TOOL INC.
00904A	CONCUR SYSTEM TECHNOLOGIES
00905A	DEARBORN GROUP, INC.
00906A	TURNSTONE SYSTEMS, INC.
00907A	Spectralink, Inc
00908A	BAYLY COMMUNICATIONS, INC.
00909A	ONE WORLD SYSTEMS, INC.
0090AA	INDIGO ACTIVE VISION SYSTEMS LIMITED
0090BA	VALID NETWORKS, INC.
0090CA	ACCORD VIDEO TELECOMMUNICATIONS, LTD.
0090DA	DYNARC, INC.
0090EA	ALPHA TECHNOLOGIES, INC.
0090FA	Emulex Corporation
0091FA	Synapse Product Development
0092FA	SHENZHEN WISKY TECHNOLOGY CO.,LTD
00A00A	Airspan
00A01A	BINAR ELEKTRONIK AB
00A02A	TRANCELL SYSTEMS
00A03A	KUBOTEK CORPORATION
00A04A	NISSHIN ELECTRIC CO., LTD.
00A05A	KOFAX IMAGE PRODUCTS
00A06A	Verilink Corporation
00A07A	ADVANCED PERIPHERALS TECHNOLOGIES, INC.
00A08A	BROOKTROUT TECHNOLOGY, INC.
00A09A	NIHON KOHDEN AMERICA
00A0AA	SPACELABS MEDICAL
00A0BA	PATTON ELECTRONICS CO.
00A0CA	FUJITSU DENSO LTD.
00A0DA	INTEGRATED SYSTEMS Technology, Inc.
00A0EA	ETHERCOM CORP.
00A0FA	Marconi Communication GmbH
00A2DA	INAT GmbH
00A6CA	Cisco Systems, Inc
00AEFA	Murata Manufacturing Co., Ltd.
00B02A	ORSYS GmbH
00B04A	Cisco Systems, Inc
00B09A	Morrow Technologies Corp.
00BB3A	Private
00BD3A	Nokia Corporation
00C00A	Micro Craft
00C01A	Corometrics Medical Systems
00C02A	Ohkura Electric Co
00C03A	MEN-MIKRO ELEKTRONIK GMBH
00C04A	GROUP 2000 AG
00C05A	SEMAPHORE COMMUNICATIONS CORP.
00C06A	Zahner-Elektrik Gmbh & Co KG
00C07A	Priva BV
00C08A	Lauterbach Datentechnik Gmbh
00C09A	PHOTONICS CORPORATION
00C0AA	Silicon Valley Computer
00C0BA	Netvantage
00C0CA	Alfa, Inc.
00C0DA	NICE SYSTEMS LTD.
00C0EA	Array Technology Ltd.
00C0FA	Canary Communications Inc
00D00A	LANACCESS TELECOM S.A.
00D01A	URMET  TLC S.P.A.
00D02A	Voxent Systems Ltd.
00D03A	ZONEWORX, INC.
00D04A	PRESENCE TECHNOLOGY GMBH
00D05A	SYMBIONICS, LTD.
00D06A	LINKUP SYSTEMS CORPORATION
00D07A	AMAQUEST COMPUTER CORP.
00D08A	PHOTRON USA
00D09A	FILANET CORPORATION
00D0AA	CHASE COMMUNICATIONS
00D0BA	Cisco Systems, Inc
00D0CA	Intrinsyc Software International Inc.
00D0DA	TAICOM DATA SYSTEMS CO., LTD.
00D0EA	NEXTONE COMMUNICATIONS, INC.
00D0FA	ThalesE-               # Thales e-Security Ltd.
