000008	XEROX CORPORATION
000B28	Quatech Inc.
000B38	Knürr GmbH
000B48	Sofrel
000B58	Astronautics C.A  LTD
000B68	Addvalue Communications Pte Ltd
000B78	TAIFATECH INC.
000B88	Vidisco ltd.
000B98	NiceTechVision
000BA8	HANBACK ELECTRONICS CO., LTD.
000BB8	Kihoku Electronic Co.
000BC8	AirFlow Networks
000BD8	Industrial Scientific Corp.
000BE8	Aoip
000BF8	Infinera
000C08	HUMEX Technologies Corp.
000C18	Zenisu Keisoku Inc.
000C28	Rifatron
000C38	TelcoBridges Inc.
000C48	QoStek Corporation
000C58	M&S Systems
000C68	SigmaTel, Inc.
000C78	In-Tech Electronics Limited
000C88	Apache Micro Peripherals, Inc.
000C98	LETEK Communications Inc.
000CA8	Garuda Networks Corporation
000CB8	MEDION AG
000CC8	Xytronix Research & Design, Inc.
000CD8	M. K. Juchheim GmbH & Co
000CE8	GuangZhou AnJuBao Co., Ltd
000CF8	Nortel Networks
000D08	AboveCable, Inc.
000D18	Mega-Trend Electronics CO., LTD.
000D28	Cisco Systems, Inc
000D38	NISSIN INC.
000D48	AEWIN Technologies Co., Ltd.
000D58	Private
000D68	Vinci Systems, Inc.
000D78	Engineering & Security
000D88	D-Link Corporation
000D98	S.W.A.C. Schmitt-Walter Automation Consult GmbH
000DA8	Teletronics Technology Corporation
000DB8	SCHILLER AG
000DC8	AirMagnet, Inc
000DD8	Bbn
000DE8	Nasaco Electronics Pte. Ltd
000DF8	ORGA Kartensysteme GmbH
000E08	Cisco-Linksys, LLC
000E18	MyA Technology
000E28	Dynamic Ratings P/L
000E38	Cisco Systems, Inc
000E48	Lipman TransAction Solutions
000E58	Sonos, Inc.
000E68	E-TOP Network Technology Inc.
000E78	Amtelco
000E88	VIDEOTRON CORP.
000E98	HME Clear-Com LTD.
000EA8	United Technologists Europe Limited
000EB8	Iiga co.,Ltd
000EC8	Zoran Corporation
000ED8	Positron Access Solutions Corp
000EE8	Zioncom Electronics (Shenzhen) Ltd.
000EF8	SBC ASI
000F08	Indagon Oy
000F18	Industrial Control Systems
000F28	Itronix Corporation
000F38	Netstar
000F48	Polypix Inc.
000F58	Adder Technology Limited
000F68	Vavic Network Technology, Inc.
000F78	Datacap Systems Inc
000F88	AMETEK, Inc.
000F98	Avamax Co. Ltd.
000FA8	Photometrics, Inc.
000FB8	CallURL Inc.
000FC8	Chantry Networks
000FD8	Force, Inc.
000FE8	Lobos, Inc.
000FF8	Cisco Systems, Inc
001008	VIENNA SYSTEMS CORPORATION
001018	Broadcom
001028	COMPUTER TECHNICA, INC.
001038	MICRO RESEARCH INSTITUTE, INC.
001048	HTRC AUTOMATION, INC.
001058	ArrowPoint Communications
001068	COMOS TELECOM
001078	NUERA COMMUNICATIONS, INC.
001088	AMERICAN NETWORKS INC.
001098	STARNET TECHNOLOGIES, INC.
0010A8	RELIANCE COMPUTER CORP.
0010B8	ISHIGAKI COMPUTER SYSTEM CO.
0010C8	COMMUNICATIONS ELECTRONICS SECURITY GROUP
0010D8	Calista
0010E8	TELOCITY, INCORPORATED
0010F8	TEXIO TECHNOLOGY CORPORATION
001108	Orbital Data Corporation
001118	BLX IC Design Corp., Ltd.
001128	Streamit
001138	TAISHIN CO., LTD.
001148	Prolon Control Systems
001158	Nortel Networks
001168	HomeLogic LLC
001178	Chiron Technology Ltd
001188	Enterasys
001198	Prism Media Products Limited
0011A8	Quest Technologies
0011B8	Liebherr - Elektronik GmbH
0011C8	Powercom Co., Ltd.
0011D8	ASUSTek COMPUTER INC.
0011E8	Tixi.Com
0011F8	AIRAYA Corp
001208	Gantner Instruments GmbH
001218	ARUZE Corporation
001228	Data Ltd.
001238	SetaBox Technology Co., Ltd.
001248	EMC Corporation (Kashya)
001258	Activis Polska
001268	IPS d.o.o.
001278	International Bar Code
001288	2Wire Inc
001298	MICO ELECTRIC(SHENZHEN) LIMITED
0012A8	intec GmbH
0012B8	G2 Microsystems
0012C8	Perfect tech
0012D8	International Games System Co., Ltd.
0012E8	Fraunhofer IMS
0012F8	WNI Resources, LLC
001308	Nuvera Fuel Cells
001318	DGSTATION Co., Ltd.
001328	Westech Korea Inc.,
001338	FRESENIUS-VIAL
001348	Artila Electronics Co., Ltd.
001358	Realm Systems, Inc.
001368	Saab Danmark A/S
001378	Qsan Technology, Inc.
001388	WiMedia Alliance
001398	TrafficSim Co.,Ltd
0013A8	Tanisys Technology
0013B8	RyCo Electronic Systems Limited
0013C8	ADB Broadband Italia
0013D8	Princeton Instruments
0013E8	Intel Corporate
0013F8	Dex Security Solutions
001408	Eka Systems Inc.
001418	C4line
001428	Vocollect Inc
001438	Hewlett Packard Enterprise
001448	Inventec Multimedia & Telecom Corporation
001458	HS Automatic ApS
001468	CelPlan International, Inc.
001478	TP-LINK TECHNOLOGIES CO.,LTD.
001488	Akorri
001498	Viking Design Technology
0014A8	Cisco Systems, Inc
0014B8	Hill-Rom
0014C8	Contemporary Research Corp
0014D8	bio-logic SA
0014E8	ARRIS Group, Inc.
0014F8	Scientific Atlanta
001508	Global Target Enterprise Inc
001518	Shenzhen 10MOONS Technology Development CO.,Ltd
001528	Beacon Medical Products LLC d.b.a. BeaconMedaes
001538	RFID, Inc.
001548	CUBE TECHNOLOGIES
001558	Foxconn
001568	Dilithium Networks
001578	Audio / Video Innovations
001588	Salutica Allied Solutions Sdn Bhd
001598	Kolektor group
0015A8	ARRIS Group, Inc.
0015B8	Tahoe
0015C8	FlexiPanel Ltd
0015D8	Interlink Electronics
0015E8	Nortel Networks
0015F8	Kingtronics Industrial Co. Ltd.
001608	Sequans Communications
001618	HIVION Co., Ltd.
001628	Magicard Ltd
001638	TECOM Co., Ltd.
001648	SSD Company Limited
001658	Fusiontech Technologies Inc.
001668	Eishin Electronics
001678	SHENZHEN BAOAN GAOKE ELECTRONICS CO., LTD
001688	ServerEngines LLC
001698	T&A Mobile Phones
0016A8	CWT CO., LTD.
0016B8	Sony Mobile Communications AB
0016C8	Cisco Systems, Inc
0016D8	Senea AB
0016E8	Sigma Designs, Inc.
0016F8	AVIQTECH TECHNOLOGY CO., LTD.
001708	Hewlett Packard
001718	Vansco Electronics Oy
001728	Selex Communications
001738	International Business Machines
001748	Neokoros Brasil Ltda
001758	ThruVision Ltd
001768	Zinwave Ltd
001778	Central Music Co.
001788	Philips Lighting BV
001798	Azonic Technology Co., LTD
0017A8	EDM Corporation
0017B8	NOVATRON CO., LTD.
0017C8	KYOCERA Document Solutions Inc.
0017D8	Magnum Semiconductor, Inc.
0017E8	Texas Instruments
0017F8	Motech Industries Inc.
001808	SightLogix, Inc.
001818	Cisco Systems, Inc
001828	e2v technologies (UK) ltd.
001838	PanAccess Communications,Inc.
001848	Vecima Networks Inc.
001858	TagMaster AB
001868	Cisco SPVTG
001878	Mackware GmbH
001888	GOTIVE a.s.
001898	KINGSTATE ELECTRONICS CORPORATION
0018A8	AnNeal Technology Inc.
0018B8	New Voice International AG
0018C8	ISONAS Inc.
0018D8	ARCH METER Corporation
0018E8	Hacetron Corporation
0018F8	Cisco-Linksys, LLC
001908	Duaxes Corporation
001918	Interactive Wear AG
001928	Siemens AG, Transportation Systems
001938	UMB Communications Co., Ltd.
001948	AireSpider Networks
001958	Bluetooth SIG, Inc.
001968	Digital Video Networks(Shanghai) CO. LTD.
001978	Datum Systems, Inc.
001988	Wi2Wi, Inc
001998	SATO CORPORATION
0019A8	WiQuest Communications
0019B8	Boundary Devices
0019C8	AnyDATA Corporation
0019D8	Maxfor
0019E8	Cisco Systems, Inc
0019F8	Embedded Systems Design, Inc.
001A08	Simoco Ltd.
001A18	Advanced Simulation Technology inc.
001A28	ASWT Co., LTD. Taiwan Branch H.K.
001A38	Sanmina-               # Sanmina-SCI
001A48	Takacom Corporation
001A58	CCV Deutschland GmbH - Celectronic eHealth Div.
001A68	Weltec Enterprise Co., Ltd.
001A78	Ubtos
001A88	Venergy,Co,Ltd
001A98	Asotel Communication Limited Taiwan Branch
001AA8	Mamiya Digital Imaging Co., Ltd.
001AB8	Anseri Corporation
001AC8	ISL (Instrumentation Scientifique de Laboratoire)
001AD8	AlsterAero GmbH
001AE8	Unify Software and Solutions GmbH & Co. KG
001AF8	Copley Controls Corporation
001B08	Danfoss Drives A/S
001B18	Tsuken Electric Ind. Co.,Ltd
001B28	POLYGON, JSC
001B38	COMPAL INFORMATION (KUNSHAN) CO., LTD.
001B48	Shenzhen Lantech Electronics Co., Ltd.
001B58	ACE CAD Enterprise Co., Ltd.
001B68	Modnnet Co., Ltd
001B78	Hewlett Packard
001B88	Divinet Access Technologies Ltd
001B98	Samsung Electronics Co.,Ltd
001BA8	UBI&MOBI,.Inc
001BB8	BLUEWAY ELECTRONIC CO;LTD
001BC8	MIURA CO.,LTD
001BD8	DVTel LTD
001BE8	Ultratronik GmbH
001BF8	Digitrax Inc.
001C08	Echo360, Inc.
001C18	Sicert S.r.L.
001C28	Sphairon Technologies GmbH
001C38	Bio-Rad Laboratories, Inc.
001C48	WiDeFi, Inc.
001C58	Cisco Systems, Inc
001C68	Anhui Sun Create Electronics Co., Ltd
001C78	WYPLAY SAS
001C88	TRANSYSTEM INC.
001C98	LUCKY TECHNOLOGY (HK) COMPANY LIMITED
001CA8	AirTies Wireless Networks
001CB8	CBC Co., Ltd
001CC8	INDUSTRONIC Industrie-Electronic GmbH & Co. KG
001CD8	BlueAnt Wireless
001CE8	Cummins Inc
001CF8	Parade Technologies, Ltd.
001D08	Jiangsu Yinhe  Electronics Co.,Ltd.
001D18	Power Innovation GmbH
001D28	Sony Mobile Communications AB
001D38	Seagate Technology
001D48	Sensor-Technik Wiedemann GmbH
001D58	CQ Inc
001D68	Thomson Telecom Belgium
001D78	Invengo Information Technology Co.,Ltd
001D88	Clearwire
001D98	Nokia Danmark A/S
001DA8	Takahata Electronics Co.,Ltd
001DB8	Intoto Inc.
001DC8	Navionics Research Inc., dba SCADAmetrics
001DD8	Microsoft Corporation
001DE8	Nikko Denki Tsushin Corporation(NDTC)
001DF8	Webpro Vision Technology Corporation
001E08	Centec Networks Inc
001E18	Radio Activity srl
001E28	Lumexis Corporation
001E38	Bluecard Software Technology Co., Ltd.
001E48	Wi-Links
001E58	D-Link Corporation
001E68	QUANTA COMPUTER INC.
001E78	Owitek Technology Ltd.,
001E88	ANDOR SYSTEM SUPPORT CO., LTD.
001E98	GreenLine Communications
001EA8	Datang Mobile Communications Equipment CO.,LTD
001EB8	Fortis, Inc.
001EC8	Rapid Mobile (Pty) Ltd
001ED8	Digital United Inc.
001EE8	Mytek
001EF8	Emfinity Inc.
001F08	RISCO LTD
001F18	Hakusan.Mfg.Co,.Ltd
001F28	HPN Supply Chain
001F38	Positron
001F48	Mojix Inc.
001F58	EMH Energiemesstechnik GmbH
001F68	Martinsson Elektronik AB
001F78	Blue Fox Porini Textile
001F88	FMS Force Measuring Systems AG
001F98	Daiichi-               # DAIICHI-DENTSU LTD.
001FA8	Smart Energy Instruments Inc.
001FB8	Universal Remote Control, Inc.
001FC8	Up-Today Industrial Co., Ltd.
001FD8	A-TRUST COMPUTER CORPORATION
001FE8	KURUSUGAWA Electronics Industry Inc,.
001FF8	Siemens AG, Sector Industry, Drive Technologies, Motion Control Systems
002008	Cable & Computer Technology
002018	Realtek
002028	Bloomberg
002038	VME MICROSYSTEMS INTERNATIONAL CORPORATION
002048	Fore Systems Inc
002058	ALLIED SIGNAL INC.
002068	Isdyne
002078	Runtop Inc
002088	GLOBAL VILLAGE COMMUNICATION
002098	HECTRONIC AB
0020A8	SAST TECHNOLOGY CORP.
0020B8	PRIME OPTION, INC.
0020C8	LARSCOM INCORPORATED
0020D8	Netwave
0020E8	DATATREK CORPORATION
0020F8	Carrera Computers Inc
002108	Nokia Danmark A/S
002118	Athena Tech, Inc.
002128	Oracle Corporation
002138	Cepheid
002148	Kaco Solar Korea
002158	Style Flying Technology Co.
002168	iVeia, LLC
002178	Matuschek Messtechnik GmbH
002188	EMC Corporation
002198	Thai Radio Co, LTD
0021A8	Telephonics Corporation
0021B8	Inphi Corporation
0021C8	LOHUIS Networks
0021D8	Cisco Systems, Inc
0021E8	Murata Manufacturing Co., Ltd.
0021F8	Enseo, Inc.
002208	Certicom Corp
002218	Verivue Inc.
002228	Breeze Innovations Ltd.
002238	Logiplus
002248	Microsoft Corporation
002258	Taiyo Yuden Co., Ltd.
002268	Hon Hai Precision Ind. Co.,Ltd.
002278	Shenzhen  Tongfang Multimedia  Technology Co.,Ltd.
002288	Sagrad, Inc.
002298	Sony Mobile Communications AB
0022A8	Ouman Oy
0022B8	Norcott
0022C8	Applied Instruments B.V.
0022D8	Shenzhen GST Security and Safety Technology Limited
0022E8	Applition Co., Ltd.
0022F8	PIMA Electronic Systems Ltd.
002308	Arcadyan Technology Corporation
002318	Toshiba
002328	ALCON TELECOMMUNICATIONS CO., LTD.
002338	OJ-Electronics A/S
002348	Sagemcom Broadband SAS
002358	SYSTEL SA
002368	Zebra Technologies Inc
002378	GN Netcom A/S
002388	V.T. Telematica S.p.a.
002398	Vutlan sro
0023A8	Marshall Electronics
0023B8	Sichuan Jiuzhou Electronic Technology Co.,Ltd
0023C8	Team-R
0023D8	Ball-It Oy
0023E8	Demco Corp.
0023F8	ZyXEL Communications Corporation
002408	Pacific Biosciences
002418	Nextwave Semiconductor
002428	EnergyICT
002438	Brocade Communications Systems, Inc.
002448	SpiderCloud Wireless, Inc
002458	PA Bastion CC
002468	Sumavision Technologies Co.,Ltd
002478	Mag Tech Electronics Co Limited
002488	Centre For Development Of Telematics
002498	Cisco Systems, Inc
0024A8	ProCurve Networking by HP
0024B8	free alliance sdn bhd
0024C8	Broadband Solutions Group
0024D8	IlSung Precision
0024E8	Dell Inc.
0024F8	Technical Solutions Company Ltd.
002508	Maquet Cardiopulmonary AG
002518	Power PLUS Communications AG
002528	Daido Signal Co., Ltd.
002538	Samsung Electronics Co., Ltd., Memory Division
002548	Nokia Danmark A/S
002558	Mpedia
002568	HUAWEI TECHNOLOGIES CO.,LTD
002578	JSC Concern Sozvezdie
002588	Genie Industries, Inc.
002598	Zhong Shan City Litai Electronic Industrial Co. Ltd
0025A8	Kontron (BeiJing) Technology Co.,Ltd
0025B8	Agile Communications, Inc.
0025C8	S-Access GmbH
0025D8	KOREA MAINTENANCE
0025E8	Idaho Technology
002608	Apple, Inc.
002618	ASUSTek COMPUTER INC.
002628	companytec automação e controle ltda.
002638	Xia Men Joyatech Co., Ltd.
002648	Emitech Corp.
002658	T-Platforms (Cyprus) Limited
002668	Nokia Danmark A/S
002678	Logic Instrument SA
002688	Juniper Networks
002698	Cisco Systems, Inc
0026A8	DAEHAP HYPER-TECH
0026B8	Actiontec Electronics, Inc
0026C8	System Sensor
0026D8	Magic Point Inc.
0026E8	Murata Manufacturing Co., Ltd.
0026F8	Golden Highway Industry Development Co., Ltd.
002708	Nordiag ASA
002718	Suzhou NEW SEAUNION Video Technology Co.,Ltd
0027F8	Brocade Communications Systems, Inc.
0028F8	Intel Corporate
002CC8	Cisco Systems, Inc
003008	AVIO DIGITAL, INC.
003018	Jetway Information Co., Ltd.
003028	FASE Saldatura srl
003038	XCP, INC.
003048	Super Micro Computer, Inc.
003058	API MOTION
003068	CYBERNETICS TECH. CO., LTD.
003078	Cisco Systems, Inc
003088	Ericsson
003098	Global Converging Technologies
0030A8	OL'E COMMUNICATIONS, INC.
0030B8	RiverDelta Networks
0030C8	GAD LINE, LTD.
0030D8	Sitek
0030E8	ENSIM CORP.
0030F8	Dynapro Systems, Inc.
0036F8	Conti Temic microelectronic GmbH
003A98	Cisco Systems, Inc
004008	A PLUS INFO CORPORATION
004018	ADOBE SYSTEMS, INC.
004028	Netcomm
004038	TALENT ELECTRIC INCORPORATED
004048	SMD Informatica S.A.
004058	KRONOS, INC.
004068	Extended Systems
004078	Wearnes Automation Pte Ltd
004088	Mobuis			NuBus (Mac) combination video/EtherTalk
004098	DRESSLER GMBH & CO.
0040A8	IMF INTERNATIONAL LTD.
0040B8	IDEA ASSOCIATES
0040C8	Milan Technology Corp.
0040D8	Ocean Office Automation Ltd
0040E8	CHARLES RIVER DATA SYSTEMS,INC
0040F8	SYSTEMHAUS DISCOM
004268	Cisco Systems, Inc
005008	TIVA MICROCOMPUTER CORP. (TMC)
005018	AMIT, Inc.
005028	AVAL COMMUNICATIONS
005038	DAIN TELECOM CO., LTD.
005048	INFOLIBRIA
005058	Sangoma Technologies
005068	ELECTRONIC INDUSTRIES ASSOCIATION
005078	MEGATON HOUSE, LTD.
005088	AMANO CORPORATION
005098	GLOBALOOP, LTD.
0050A8	OpenCon Systems, Inc.
0050B8	INOVA COMPUTERS GMBH & CO. KG
0050C8	Addonics Technologies, Inc.
0050D8	UNICORN COMPUTER CORP.
0050E8	NOMADIX INC.
0050F8	ENTREGA TECHNOLOGIES, INC.
005218	Wuxi Keboda Electron Co.Ltd
006008	3Com				3Com PCI form factor 3C905 TX board
006018	STELLAR ONE CORPORATION
006028	MACROVISION CORPORATION
006038	Nortel Networks
006048	EMC CORPORATION
006058	COPPER MOUNTAIN COMMUNICATIONS, INC.
006068	Dialogic Corporation
006078	POWER MEASUREMENT LTD.
006088	WHITE MOUNTAIN DSP, INC.
006098	HT COMMUNICATIONS
0060A8	TIDOMAT AB
0060B8	CORELIS Inc.
0060C8	KUKA WELDING SYSTEMS & ROBOTS
0060D8	ELMIC SYSTEMS, INC.
0060E8	HITACHI COMPUTER PRODUCTS (AMERICA), INC.
0060F8	Loran International Technologies Inc.
007888	Cisco Systems, Inc
007B18	SENTRY Co., LTD.
007F28	Actiontec Electronics, Inc
008008	DYNATECH COMPUTER SYSTEMS
008018	KOBE STEEL, LTD.
008028	TRADPOST (HK) LTD
008038	Data Research & Applications
008048	Compex, used by Commodore and DEC at least
008058	PRINTER SYSTEMS CORP.
008068	YAMATECH SCIENTIFIC LTD.
008078	PRACTICAL PERIPHERALS, INC.
008088	VICTOR COMPANY OF JAPAN, LTD.
008098	TDK Corporation
0080A8	VITACOM CORPORATION
0080B8	DMG MORI B.U.G. CO., LTD.
0080C8	D-Link	(also Solectek Pocket Adapters, and LinkSys PCMCIA)
0080D8	Network Peripherals
0080E8	CUMULUS CORPORATIION
0080F8	MIZAR, INC.
009008	HanA Systems Inc.
009018	ITO ELECTRIC INDUSTRY CO, LTD.
009028	NIPPON SIGNAL CO., LTD.
009038	FOUNTAIN TECHNOLOGIES, INC.
009048	ZEAL CORPORATION
009058	Ultra Electronics Command & Control Systems
009068	DVT CORP.
009078	MER TELEMANAGEMENT SOLUTIONS, LTD.
009088	BAXALL SECURITY LTD.
009098	SBC DESIGNS, INC.
0090A8	NineTiles Networks, Ltd.
0090B8	ROHDE & SCHWARZ GMBH & CO. KG
0090C8	WAVERIDER COMMUNICATIONS (CANADA) INC.
0090D8	WHITECROSS SYSTEMS
0090E8	MOXA TECHNOLOGIES CORP., LTD.
0090F8	MEDIATRIX TELECOM
009EC8	Xiaomi Communications Co Ltd
00A008	Netcorp
00A018	CREATIVE CONTROLLERS, INC.
00A028	CONNER PERIPHERALS
00A038	EMAIL ELECTRONICS
00A048	QUESTECH, LTD.
00A058	GLORY, LTD.
00A068	BHP LIMITED
00A078	Marconi Communications
00A088	ESSENTIAL COMMUNICATIONS
00A098	Netapp
00A0A8	RENEX CORPORATION
00A0B8	Netapp
00A0C8	Adtran, Inc.
00A0D8	Spectra-               # SPECTRA - TEK
00A0E8	REUTERS HOLDINGS PLC
00A0F8	Zebra Technologies Inc
00B048	Marconi Communications Inc.
00B338	Kontron Design Manufacturing Services (M) Sdn. Bhd
00C008	Seco SRL
00C018	Lanart Corp
00C028	Jasco Corporation
00C038	RASTER IMAGE PROCESSING SYSTEM
00C048	Bay Technical Associates
00C058	Dataexpert Corp
00C068	Philp Drake Electronics Ltd
00C078	Computer Systems Engineering
00C088	EKF ELEKTRONIK GMBH
00C098	Chuntex Electronic Co., Ltd.
00C0A8	GVC Corporation
00C0B8	Fraser's Hill Ltd.
00C0C8	Micro Byte Pty Ltd
00C0D8	UNIVERSAL DATA SYSTEMS
00C0E8	Plexcom Inc
00C0F8	About Computing Inc.
00D008	MACTELL CORPORATION
00D018	QWES. COM, INC.
00D028	Harmonic, Inc
00D038	FIVEMERE, LTD.
00D048	ECTON, INC.
00D058	Cisco Systems, Inc
00D068	IWILL CORPORATION
00D078	Eltex of Sweden AB
00D088	ARRIS Group, Inc.
00D098	Photon Dynamics Canada Inc.
00D0A8	NETWORK ENGINES, INC.
00D0B8	Iomega Corporation
00D0C8	Prevas A/S
00D0D8	3Com Corporation
00D0E8	MAC SYSTEM CO., LTD.
00D0F8	FUJIAN STAR TERMINAL
00D318	SPG Controls
00DD08	Ungermann-Bass
00E008	AMAZING CONTROLS! INC.
00E018	Asustek		Intel 82558-based Integrated Fast Ethernet for WIM
00E028	APTIX CORPORATION
00E038	PROXIMA CORPORATION
00E048	SDL COMMUNICATIONS, INC.
00E058	PHASE ONE DENMARK A/S
00E068	MERRIMAC SYSTEMS INC.
00E078	BERKELEY NETWORKS
00E088	LTX-Credence CORPORATION
00E098	Trend
00E0A8	SAT GmbH & Co.
00E0B8	AMD PCNet			in a Gateway 2000
00E0C8	VIRTUAL ACCESS, LTD.
00E0D8	LANBit Computer, Inc.
00E0E8	GRETACODER Data Systems AG
00E0F8	DICNA CONTROL AB
00E6E8	Netzin Technology Corporation,.Ltd.
00FC58	WebSilicon Ltd.
00FEC8	Cisco Systems, Inc
022048	At least some 2810 send with locally assigned flag set
042758	HUAWEI TECHNOLOGIES CO.,LTD
043D98	ChongQing QingJia Electronics CO.,LTD
0469F8	Apple, Inc.
048D38	Netcore Technology Inc.
04B648	Zenner
04BD88	Aruba Networks
04BFA8	ISB Corporation
04E1C8	IMS Soluções em Energia Ltda.
04E2F8	AEP Ticketing solutions srl
04E548	Cohda Wireless Pty Ltd
04F938	HUAWEI TECHNOLOGIES CO.,LTD
080008	BBN
080018	PIRELLI FOCOM NETWORKS
080028	TI				Explorer
080038	Bull
080048	Eurotherm Gauging Systems
080058	???				DECsystem-20
080068	Ridge
080078	ACCELL CORPORATION
080088	McDATA Corporation
