00000E	Fujitsu
00042E	Netous Technologies, Ltd.
00043E	Telencomm
00044E	Cisco Systems, Inc
00045E	PolyTrax Information Technology AG
00046E	Cisco Systems, Inc
00047E	Siqura B.V.
00048E	Ohm Tech Labs, Inc.
00049E	Wirelink Co., Ltd.
0004AE	Sullair Corporation
0004BE	OptXCon, Inc.
0004CE	Patria Ailon
0004DE	Cisco Systems, Inc
0004EE	Lincoln Electric Company
0004FE	Pelago Networks
00050E	3ware, Inc.
00051E	Brocade Communications Systems, Inc.
00052E	Cinta Networks
00053E	KID Systeme GmbH
00054E	Philips
00055E	Cisco Systems, Inc
00056E	National Enhance Technology, Inc.
00057E	Eckelmann Steuerungstechnik GmbH
00058E	Flextronics International GmbH & Co. Nfg. KG
00059E	Zinwell Corporation
0005AE	Mediaport USA
0005BE	Kongsberg Seatex AS
0005CE	Prolink Microsystems Corporation
0005DE	Gi Fone Korea, Inc.
0005EE	Vanderbilt International (SWE) AB
0005FE	Traficon N.V.
00060E	IGYS Systems, Inc.
00061E	Maxan Systems
00062E	Aristos Logic Corp.
00063E	Opthos Inc.
00064E	Broad Net Technology Inc.
00065E	Photuris, Inc.
00066E	Delta Electronics, Inc.
00067E	WinCom Systems, Inc.
00068E	HID Corporation
00069E	UNIQA, Inc.
0006AE	Himachal Futuristic Communications Ltd
0006BE	Baumer Optronic GmbH
0006CE	Dateno
0006DE	Flash Technology
0006EE	Shenyang Neu-era Information & Technology Stock Co., Ltd
0006FE	Ambrado, Inc
00070E	Cisco Systems, Inc
00071E	Tri-M Engineering / Nupak Dev. Corp.
00072E	North Node AB
00073E	China Great-Wall Computer Shenzhen Co., Ltd.
00074E	IPFRONT Inc
00075E	Ametek Power Instruments
00076E	Sinetica Corporation Limited
00077E	Elrest GmbH
00078E	Garz & Friche GmbH
00079E	Ilinx Co., Ltd.
0007AE	Britestream Networks, Inc.
0007BE	DataLogic SpA
0007CE	Cabletime Limited
0007DE	eCopilt AB
0007EE	telco Informationssysteme GmbH
0007FE	Rigaku Corporation
00080E	ARRIS Group, Inc.
00081E	Repeatit AB
00082E	Multitone Electronics PLC
00084E	DivergeNet, Inc.
00085E	PCO AG
00086E	Hyglo AB
00087E	Bon Electro-Telecom Inc.
00088E	Nihon Computer Co., Ltd.
00089E	Beijing Enter-Net co.LTD
0008AE	PacketFront Network Products AB
0008BE	XENPAK MSA Group
0008CE	IPMobileNet Inc.
0008DE	3UP Systems
0008EE	Logic Product Development
0008FE	UNIK C&C Co.,Ltd.
00090E	Helix Technology Inc.
00091E	Firstech Technology Corp.
00092E	B&Tech System Inc.
00093E	C&I Technologies
00094E	BARTECH SYSTEMS INTERNATIONAL, INC
00095E	Masstech Group Inc.
00096E	GIANT ELECTRONICS LTD.
00097E	IMI TECHNOLOGY CO., LTD
00098E	ipcas GmbH
00099E	Testech, Inc.
0009AE	OKANO ELECTRIC CO.,LTD
0009BE	Mamiya-OP Co.,Ltd.
0009CE	SpaceBridge Semiconductor Corp.
0009DE	Samjin Information & Communications Co., Ltd.
0009EE	MEIKYO ELECTRIC CO.,LTD
0009FE	Daisy Technologies, Inc.
000A0E	Invivo Research Inc.
000A1E	Red-M Products Limited
000A2E	MAPLE NETWORKS CO., LTD
000A3E	EADS Telecom
000A4E	UNITEK Electronics INC.
000A5E	3COM Corporation
000A6E	Harmonic, Inc
000A7E	The Advantage Group
000A8E	Invacom Ltd
000A9E	BroadWeb Corportation
000AAE	Rosemount Process Analytical
000ABE	OPNET Technologies CO., LTD.
000ACE	RADIANTECH, INC.
000ADE	Happy Communication Co., Ltd.
000AEE	GcdHard-               # GCD Hard- & Software GmbH
000AFE	NovaPal Ltd
000B0E	Trapeze Networks
000B1E	KAPPA opto-electronics GmbH
000B2E	Cal-Comp Electronics & Communications Company Ltd.
000B3E	BittWare, Inc
000B4E	VertexRSI, General Dynamics SatCOM Technologies, Inc.
000B5E	Audio Engineering Society Inc.
000B6E	Neff Instrument Corp.
000B7E	SAGINOMIYA Seisakusho Inc.
000B8E	Ascent Corporation
000B9E	Yasing Technology Corp.
000BAE	Vitals System Inc.
000BBE	Cisco Systems, Inc
000BCE	Free2move AB
000BDE	TELDIX GmbH
000BEE	inc.jet, Incorporated
000BFE	CASTEL Broadband Limited
000C0E	XtremeSpectrum, Inc.
000C1E	Global Cache
000C2E	Openet information technology(shenzhen) Co., Ltd.
000C3E	Crest Audio
000C4E	Winbest Technology CO,LT
000C5E	Calypso Medical
000C6E	ASUSTek COMPUTER INC.
000C7E	Tellium Incorporated
000C8E	Mentor Engineering Inc
000C9E	MemoryLink Corp.
000CAE	Ailocom Oy
000CBE	Innominate Security Technologies AG
000CCE	Cisco Systems, Inc
000CDE	ABB STOTZ-KONTAKT GmbH
000CEE	jp-embedded
000CFE	Grand Electronic Co., Ltd
000D0E	Inqnet Systems, Inc.
000D1E	Control Techniques
000D2E	Matsushita Avionics Systems Corporation
000D3E	APLUX Communications Ltd.
000D4E	NDR Co.,LTD.
000D5E	NEC Personal Products
000D6E	K-Patents Oy
000D7E	Axiowave Networks, Inc.
000D8E	Koden Electronics Co., Ltd.
000D9E	TOKUDEN OHIZUMI SEISAKUSYO Co.,Ltd.
000DAE	SAMSUNG HEAVY INDUSTRIES CO., LTD.
000DBE	Bel Fuse Europe Ltd.,UK
000DCE	Dynavac Technology Pte Ltd
000DDE	Joyteck Co., Ltd.
000DEE	Andrew RF Power Amplifier Group
000DFE	Hauppauge Computer Works, Inc.
000E0E	ESA elettronica S.P.A.
000E1E	QLogic Corporation
000E2E	Edimax Technology Co. Ltd.
000E3E	Sun Optronics Inc
000E4E	Waveplus Technology Co., Ltd.
000E5E	Raisecom Technology
000E6E	MAT S.A. (Mircrelec Advanced Technology)
000E7E	ionSign Oy
000E8E	SparkLAN Communications, Inc.
000E9E	Topfield Co., Ltd
000EAE	GAWELL TECHNOLOGIES CORP.
000EBE	B&B Electronics Manufacturing Co.
000ECE	S.I.T.T.I. S.p.A.
000EDE	REMEC, Inc.
000EEE	Muco Industrie BV
000EFE	EndRun Technologies LLC
000F0E	WaveSplitter Technologies, Inc.
000F1E	Chengdu KT Electric Co.of High & New Technology
000F2E	Megapower International Corp.
000F3E	CardioNet, Inc
000F4E	Cellink
000F5E	Veo
000F6E	Bbox
000F7E	Ablerex Electronics Co., LTD
000F8E	DONGYANG TELECOM CO.,LTD.
000F9E	Murrelektronik GmbH
000FAE	E2O Communications
000FBE	e-w/you Inc.
000FCE	Kikusui Electronics Corp.
000FDE	Sony Mobile Communications AB
000FEE	XTec, Incorporated
000FFE	G-PRO COMPUTER
00100E	MICRO LINEAR COPORATION
00101E	MATSUSHITA ELECTRONIC INSTRUMENTS CORP.
00102E	NETWORK SYSTEMS & TECHNOLOGIES PVT. LTD.
00103E	NETSCHOOLS CORPORATION
00104E	Ceologic
00105E	Spirent plc, Service Assurance Broadband
00106E	TADIRAN COM. LTD.
00107E	BACHMANN ELECTRONIC GmbH
00108E	HUGH SYMONS CONCEPT Technologies Ltd.
00109E	AWARE, INC.
0010AE	SHINKO ELECTRIC INDUSTRIES CO.
0010BE	MARCH NETWORKS CORPORATION
0010CE	VOLAMP, LTD.
0010DE	INTERNATIONAL DATACASTING CORPORATION
0010EE	CTI PRODUCTS, INC.
0010FE	DIGITAL EQUIPMENT CORPORATION
00110E	Tsurusaki Sealand Transportation Co. Ltd.
00111E	EPSG (Ethernet Powerlink Standardization Group)
00112E	Ceicom
00113E	JL Corporation
00114E	690885 Ontario Inc.
00115E	ProMinent Dosiertechnik GmbH
00116E	Peplink International Ltd.
00117E	Midmark Corp
00118E	Halytech Mace
00119E	Solectron Brazil
0011AE	ARRIS Group, Inc.
0011BE	AGP Telecom Co. Ltd
0011CE	Ubisense Limited
0011DE	EURILOGIC
0011EE	Estari, Inc.
0011FE	Keiyo System Research, Inc.
00120E	Abocom
00121E	Juniper Networks
00122E	Signal Technology - AISD
00123E	ERUNE technology Co., Ltd.
00124E	XAC AUTOMATION CORP.
00125E	Caen
00126E	Seidel Elektronik GmbH Nfg.KG
00127E	Digital Lifestyles Group, Inc.
00128E	Q-Free ASA
00129E	Surf Communications Inc.
0012AE	HlsHard-               # HLS HARD-LINE Solutions Inc.
0012BE	Astek Corporation
0012CE	Advanced Cybernetics Group
0012DE	Radio Components Sweden AB
0012EE	Sony Mobile Communications AB
0012FE	Lenovo Mobile Communication Technology Ltd.
00130E	Focusrite Audio Engineering Limited
00131E	Peiker acustic GmbH & Co. KG
00132E	ITian Coporation
00133E	MetaSwitch
00134E	Valox Systems, Inc.
00135E	Eab/Rwi/               # EAB/RWI/K
00136E	Techmetro Corp.
00137E	CorEdge Networks, Inc.
00138E	FOAB Elektronik AB
00139E	Ciara Technologies Inc.
0013AE	Radiance Technologies, Inc.
0013BE	Virtual Conexions
0013CE	Intel Corporate
0013DE	Adapt4, LLC
0013EE	JBX Designs Inc.
0013FE	GRANDTEC ELECTRONIC CORP.
00140E	Nortel Networks
00141E	P.A. Semi, Inc.
00142E	77 Elektronika Kft.
00143E	AirLink Communications, Inc.
00144E	Srisa
00145E	IBM Corp
00146E	H. Stoll GmbH & Co. KG
00147E	InnerWireless
00148E	Tele Power Inc.
00149E	UbONE Co., Ltd
0014AE	Wizlogics Co., Ltd.
0014BE	Wink communication technology CO.LTD
0014CE	NF CORPORATION
0014DE	Sage Instruments Inc.
0014EE	Western Digital Technologies, Inc.
0014FE	Artech Electronics
00150E	OPENBRAIN TECHNOLOGIES CO., LTD.
00151E	Ethernet Powerlink Standardization Group (EPSG)
00152E	PacketHop, Inc.
00153E	Q-Matic Sweden AB
00154E	Iec
00155E	Morgan Stanley
00156E	A. W. Communication Systems Ltd
00157E	Weidmüller Interface GmbH & Co. KG
00158E	Plustek.INC
00159E	Mad Catz Interactive Inc
0015AE	kyung il
0015BE	Iqua Ltd.
0015CE	ARRIS Group, Inc.
0015DE	Nokia Danmark A/S
0015EE	Omnex Control Systems
0015FE	SCHILLING ROBOTICS LLC
00160E	Optica Technologies Inc.
00161E	Woojinnet
00162E	Space Shuttle Hi-Tech Co., Ltd.
00163E	Xensource, Inc.
00164E	Nokia Danmark A/S
00165E	Precision I/O
00166E	Arbitron Inc.
00167E	DIBOSS.CO.,LTD
00168E	Vimicro corporation
00169E	TV One Ltd
0016AE	Inventel
0016BE	INFRANET, Inc.
0016CE	Hon Hai Precision Ind. Co.,Ltd.
0016DE	FAST Inc
0016EE	Royaldigital Inc.
0016FE	ALPS ELECTRIC CO.,LTD.
00170E	Cisco Systems, Inc
00171E	Theo Benning GmbH & Co. KG
00172E	FXC Inc.
00173E	LeucotronEquipamentos Ltda.
00174E	Parama-tech Co.,Ltd.
00175E	Zed-3
00176E	DUCATI SISTEMI
00177E	Meshcom Technologies Inc.
00178E	Gunnebo Cash Automation AB
00179E	Sirit Inc
0017AE	GAI-Tronics
0017BE	Tratec Telecom B.V.
0017CE	Screen Service Spa
0017DE	Advantage Six Ltd
0017EE	ARRIS Group, Inc.
0017FE	TALOS SYSTEM INC.
00180E	Avega Systems
00181E	GDX Technologies Ltd.
00182E	XStreamHD
00183E	Digilent, Inc
00184E	Lianhe Technologies, Inc.
00185E	Nexterm Inc.
00186E	3Com Ltd
00187E	RGB Spectrum
00188E	Ekahau, Inc.
00189E	OMNIKEY GmbH.
0018AE	TVT CO.,LTD
0018BE	ANSA Corporation
0018CE	Dreamtech Co., Ltd
0018DE	Intel Corporate
0018EE	Videology Imaging Solutions, Inc.
0018FE	Hewlett Packard
00190E	Atech Technology Co., Ltd.
00191E	Beyondwiz Co., Ltd.
00192E	Spectral Instruments, Inc.
00193E	ADB Broadband Italia
00194E	Ultra Electronics - TCS (Tactical Communication Systems)
00195E	ARRIS Group, Inc.
00196E	Metacom (Pty) Ltd.
00197E	Hon Hai Precision Ind. Co.,Ltd.
00198E	Oticon A/S
00199E	Nifty
0019AE	Hopling Technologies b.v.
0019BE	Altai Technologies Limited
0019CE	Progressive Gaming International
0019DE	Mobitek
0019EE	CARLO GAVAZZI CONTROLS SPA-Controls Division
0019FE	SHENZHEN SEECOMM TECHNOLOGY CO.,LTD.
001A0E	Cheng Uei Precision Industry Co.,Ltd
001A1E	Aruba Networks
001A2E	Ziova Coporation
001A3E	Faster Technology LLC
001A4E	NTI AG / LinMot
001A5E	Thincom Technology Co.,Ltd
001A6E	Impro Technologies
001A7E	LN Srithai Comm Ltd.
001A8E	3Way Networks Ltd
001A9E	ICON Digital International Limited
001AAE	Savant Systems LLC
001ABE	COMPUTER HI-TECH INC.
001ACE	YUPITERU CORPORATION
001ADE	ARRIS Group, Inc.
001AEE	Shenztech Ltd
001AFE	SOFACREAL
001B0E	InoTec GmbH Organisationssysteme
001B1E	HART Communication Foundation
001B2E	Sinkyo Electron Inc
001B3E	Curtis, Inc.
001B4E	Navman New Zealand
001B5E	BPL Limited
001B6E	Anue Systems, Inc.
001B7E	Beckmann GmbH
001B8E	Hulu Sweden AB
001B9E	ASKEY COMPUTER CORP
001BAE	Micro Control Systems, Inc
001BBE	ICOP Digital
001BCE	Measurement Devices Ltd
001BDE	Renkus-Heinz, Inc.
001BEE	Nokia Danmark A/S
001BFE	Zavio Inc.
001C0E	Cisco Systems, Inc
001C1E	emtrion GmbH
001C2E	HPN Supply Chain
001C3E	ECKey Corporation
001C4E	TASA International Limited
001C5E	ASTON France
001C6E	Newbury Networks, Inc.
001C7E	Toshiba
001C8E	Alcatel-               # Alcatel-Lucent IPD
001C9E	Dualtech IT AB
001CAE	WiChorus, Inc.
001CBE	Nintendo Co., Ltd.
001CCE	By Techdesign
001CDE	Interactive Multimedia eXchange Inc.
001CEE	SHARP Corporation
001CFE	Quartics Inc
001D0E	Agapha Technology co., Ltd.
001D1E	KYUSHU TEN CO.,LTD
001D2E	Ruckus Wireless
001D3E	SAKA TECHNO SCIENCE CO.,LTD
001D4E	TCM Mobile LLC
001D5E	COMING MEDIA CORP.
001D6E	Nokia Danmark A/S
001D7E	Cisco-Linksys, LLC
001D8E	Alereon, Inc.
001D9E	AXION TECHNOLOGIES
001DAE	CHANG TSENG TECHNOLOGY CO., LTD
001DBE	ARRIS Group, Inc.
001DCE	ARRIS Group, Inc.
001DDE	Zhejiang Broadcast&Television Technology Co.,Ltd.
001DEE	NEXTVISION SISTEMAS DIGITAIS DE TELEVISÃO LTDA.
001DFE	Palm, Inc
001E0E	MAXI VIEW HOLDINGS LIMITED
001E1E	Honeywell Life Safety
001E2E	SIRTI S.p.A.
001E3E	KMW Inc.
001E4E	DakoEdv-               # DAKO EDV-Ingenieur- und Systemhaus GmbH
001E5E	COmputime Ltd.
001E6E	Shenzhen First Mile Communications Ltd
001E7E	Nortel Networks
001E8E	Hunkeler AG
001E9E	DdmHopt+               # ddm hopt + schuler Gmbh + Co. KG
001EAE	Continental Automotive Systems Inc.
001EBE	Cisco Systems, Inc
001ECE	BISA Technologies (Hong Kong) Limited
001EDE	BYD COMPANY LIMITED
001EEE	ETL Systems Ltd
001EFE	LEVEL s.r.o.
001F0E	Japan Kyastem Co., Ltd
001F1E	Astec Technology Co., Ltd
001F2E	Triangle Research Int'l Pte Ltd
001F3E	RP-Technik e.K.
001F4E	ConMed Linvatec
001F5E	Dyna Technology Co.,Ltd.
001F6E	Vtech Engineering Corporation
001F7E	ARRIS Group, Inc.
001F8E	Metris USA Inc.
001F9E	Cisco Systems, Inc
001FAE	Blick South Africa (Pty) Ltd
001FBE	Shenzhen Mopnet Industrial Co.,Ltd
001FCE	QTECH LLC
001FDE	Nokia Danmark A/S
001FEE	ubisys technologies GmbH
001FFE	HPN Supply Chain
00200E	SATELLITE TECHNOLOGY MGMT, INC
00201E	NETQUEST CORPORATION
00202E	DAYSTAR DIGITAL
00203E	LogiCan Technologies, Inc.
00204E	NETWORK SECURITY SYSTEMS, INC.
00205E	CASTLE ROCK, INC.
00206E	XACT, INC.
00207E	FINECOM CO., LTD.
00208E	CHEVIN SOFTWARE ENG. LTD.
00209E	BROWN'S OPERATING SYSTEM SERVICES, LTD.
0020AE	ORNET DATA COMMUNICATION TECH.
0020BE	LAN ACCESS CORP.
0020CE	LOGICAL DESIGN GROUP, INC.
0020DE	JAPAN DIGITAL LABORAT'Y CO.LTD
0020EE	Gtech Corporation
0020FE	Topware/               # TOPWARE INC. / GRAND COMPUTER
00210E	Orpak Systems L.T.D.
00211E	ARRIS Group, Inc.
00212E	Dresden-               # dresden-elektronik
00213E	Tomtom
00214E	GS Yuasa Power Supply Ltd.
00215E	IBM Corp
00216E	Function ATI (Huizhou) Telecommunications Co., Ltd.
00217E	Telit Communication s.p.a
00218E	MEKICS CO., LTD.
00219E	Sony Mobile Communications AB
0021AE	Alcatel-               # ALCATEL-LUCENT FRANCE - WTD
0021BE	Cisco SPVTG
0021CE	NTC-Metrotek
0021DE	Firepro Wireless
0021EE	Full Spectrum Inc.
0021FE	Nokia Danmark A/S
00220E	Indigo Security Co., Ltd.
00221E	Media Devices Co., Ltd.
00222E	maintech GmbH
00223E	IRTrans GmbH
00224E	SEEnergy Corp.
00225E	Uwin Technologies Co.,LTD
00226E	Gowell Electronic Limited
00227E	Chengdu 30Kaitian Communication Industry Co.Ltd
00228E	TV-NUMERIC
00229E	Social Aid Research Co., Ltd.
0022AE	Mattel Inc.
0022BE	Cisco Systems, Inc
0022CE	Cisco SPVTG
0022DE	OPPO Digital, Inc.
0022EE	Algo Communication Products Ltd
0022FE	Advanced Illumination
00230E	Gorba AG
00231E	Cezzer Multimedia Technologies
00232E	Kedah Electronics Engineering, LLC
00233E	Alcatel-               # Alcatel-Lucent IPD
00234E	Hon Hai Precision Ind. Co.,Ltd.
00235E	Cisco Systems, Inc
00236E	Burster GmbH & Co KG
00237E	ELSTER GMBH
00238E	ADB Broadband Italia
00239E	Jiangsu Lemote Technology Corporation Limited
0023AE	Dell Inc.
0023BE	Cisco SPVTG
0023CE	KITA DENSHI CORPORATION
0023DE	Ansync Inc.
0023EE	ARRIS Group, Inc.
0023FE	Biodevices, SA
00240E	Inventec Besta Co., Ltd.
00241E	Nintendo Co., Ltd.
00242E	Datastrip Inc.
00244E	RadChips, Inc.
00245E	Hivision Co.,ltd
00246E	Phihong USA Corp.
00247E	Universal Global Scientific Industrial Co., Ltd.
00248E	Infoware ZRt.
00249E	ADC-Elektronik GmbH
0024AE	Morpho
0024BE	Sony Corporation
0024CE	Exeltech Inc
0024DE	GLOBAL Technology Inc.
0024EE	Wynmax Inc.
0024FE	AVM GmbH
00250E	gt german telematics gmbh
00251E	ROTEL TECHNOLOGIES
00252E	Cisco SPVTG
00253E	Sensus Metering Systems
00254E	Vertex Wireless Co., Ltd.
00255E	Shanghai Dare Technologies Co.,Ltd.
00256E	Van Breda B.V.
00257E	NEW POS Technology Limited
00258E	The Weather Channel
00259E	HUAWEI TECHNOLOGIES CO.,LTD
0025AE	Microsoft Corporation
0025BE	Tektrap Systems Inc.
0025CE	InnerSpace
0025DE	Probits Co., LTD.
0025EE	Avtex Ltd
0025FE	Pilot Electronics Corporation
00260E	Ablaze Systems, LLC
00261E	QINGBANG ELEC(SZ) CO., LTD
00262E	Chengdu Jiuzhou Electronic Technology Inc
00263E	Trapeze Networks
00264E	Rail & Road Protec GmbH
00265E	Hon Hai Precision Ind. Co.,Ltd.
00266E	Nissho-denki Co.,LTD.
00267E	PARROT SA
00268E	Alta Solutions, Inc.
00269E	QUANTA COMPUTER INC.
0026AE	Wireless Measurement Ltd
0026BE	Schoonderbeek Elektronica Systemen B.V.
0026CE	Kozumi USA Corp.
0026DE	FDI MATELEC
0026EE	TKM GmbH
0026FE	MKD Technology Inc.
00270E	Intel Corporate
00271E	Xagyl Communications
00300E	Klotz Digital AG
00301E	3COM EUROPE LTD.
00302E	Hoft & Wessel AG
00303E	Radcom Ltd.
00304E	BUSTEC PRODUCTION LTD.
00305E	Abelko Innovation
00306E	Hewlett Packard
00307E	Redflex Communication Systems
00308E	CROSS MATCH TECHNOLOGIES, INC.
00309E	WORKBIT CORPORATION.
0030AE	Times N System, Inc.
0030BE	City-Net Technology, Inc.
0030CE	Zaffire
0030DE	WAGO Kontakttechnik GmbH
0030EE	DSG Technology, Inc.
0030FE	DSA GmbH
0034FE	HUAWEI TECHNOLOGIES CO.,LTD
0036FE	SuperVision
00400E	MEMOTEC, INC.
00401E	Icc
00402E	PRECISION SOFTWARE, INC.
00403E	RASTER OPS CORPORATION
00404E	FLUENT, INC.
00405E	NORTH HILLS ISRAEL
00406E	Corollary, Inc.
00407E	EVERGREEN SYSTEMS, INC.
00408E	CXR/Digilog
00409E	Concurrent Technologies Ltd.
0040AE	Delta Controls, Inc.
0040BE	BOEING DEFENSE & SPACE
0040CE	NET-SOURCE, INC.
0040DE	Elsag Datamat spa
0040EE	Optimem
0040FE	SYMPLEX COMMUNICATIONS
00500E	CHROMATIS NETWORKS, INC.
00501E	Grass Valley, A Belden Brand
00502E	CAMBEX CORPORATION
00503E	Cisco Systems, Inc
00504E	UMC				UM9008 NE2000-compatible ISA Card for PC
00505E	DIGITEK MICROLOGIC S.A.
00506E	CORDER ENGINEERING CORPORATION
00507E	NEWER TECHNOLOGY
00508E	OPTIMATION, INC.
00509E	Les Technologies SoftAcoustik Inc.
0050AE	FDK Co., Ltd
0050BE	FAST MULTIMEDIA AG
0050CE	LG INTERNATIONAL CORP.
0050DE	SIGNUM SYSTEMS CORP.
0050EE	TEK DIGITEL CORPORATION
0050FE	PCTVnet ASA
00600E	WAVENET INTERNATIONAL, INC.
00601E	SOFTLAB, INC.
00602E	CYCLADES CORPORATION
00603E	Cisco				100Mbps interface
00604E	Cycle Computer (Sun MotherBoard Replacements)
00605E	LIBERTY TECHNOLOGY NETWORKING
00606E	DAVICOM SEMICONDUCTOR, INC.
00607E	GIGALABS, INC.
00608E	HE ELECTRONICS, TECHNOLOGIE & SYSTEMTECHNIK GmbH
00609E	ASC X3 - INFORMATION TECHNOLOGY STANDARDS SECRETARIATS
0060AE	TRIO INFORMATION SYSTEMS AB
0060BE	WEBTRONICS
0060CE	ACCLAIM COMMUNICATIONS
0060DE	Kayser-Threde GmbH
0060EE	Apollo
0060FE	LYNX SYSTEM DEVELOPERS, INC.
006B8E	Shanghai Feixun Communication Co.,Ltd.
006B9E	Vizio, Inc
00789E	Sagemcom Broadband SAS
00800E	ATLANTIX CORPORATION
00801E	XINETRON, INC.
00802E	Plexcom, Inc.
00803E	Synernetics
00804E	APEX COMPUTER COMPANY
00805E	LSI LOGIC CORPORATION
00806E	Nippon Steel Corporation
00807E	SOUTHERN PACIFIC LTD.
00808E	Radstone Technology
00809E	DATUS GMBH
0080AE	Hughes Network Systems
0080BE	ARIES RESEARCH
0080CE	Broadcast Television Systems
0080DE	GIPSI S.A.
0080EE	THOMSON CSF
0080FE	Azure Technologies Inc
008D4E	CJSC NII STT
00900E	HANDLINK TECHNOLOGIES, INC.
00901E	Selesta Ingegneria S.p.A.
00902E	NAMCO LIMITED
00903E	N.V. PHILIPS INDUSTRIAL ACTIVITIES
00904E	DELEM BV
00905E	Rauland-               # RAULAND-BORG CORPORATION
00906E	PRAXON, INC.
00907E	VETRONIX CORP.
00908E	Nortel Networks Broadband Access
00909E	Critical IO, LLC
0090AE	ITALTEL S.p.A/RF-UP-I
0090BE	IBC/INTEGRATED BUSINESS COMPUTERS
0090CE	TETRA GmbH
0090DE	CARDKEY SYSTEMS, INC.
0090EE	PERSONAL COMMUNICATIONS TECHNOLOGIES
0090FE	ELECOM CO., LTD.  (LANEED DIV.)
009D8E	CARDIAC RECORDERS, INC.
009E1E	Cisco Systems, Inc
00A00E	NetScout Systems, Inc.
00A01E	EST CORPORATION
00A02E	BRAND COMMUNICATIONS, LTD.
00A03E	ATM FORUM
00A04E	VOELKER TECHNOLOGIES, INC.
00A05E	MYRIAD LOGIC INC.
00A06E	AUSTRON, INC.
00A07E	AVID TECHNOLOGY, INC.
00A08E	Check Point Software Technologies
00A09E	Ictv
00A0AE	Network Peripherals, Inc.
00A0BE	INTEGRATED CIRCUIT SYSTEMS, INC. COMMUNICATIONS GROUP
00A0CE	Ecessa
00A0DE	YAMAHA CORPORATION
00A0EE	NASHOBA NETWORKS
00A0FE	BOSTON TECHNOLOGY, INC.
00A1DE	ShenZhen ShiHua Technology CO.,LTD
00A2EE	Cisco Systems, Inc
00B01E	Rantic Labs, Inc.
00B08E	Cisco Systems, Inc
00B0AE	Symmetricom
00B0CE	Viveris Technologies
00B0EE	Ajile Systems, Inc.
00BB8E	HME Co., Ltd.
00C00E	Psitech Inc
00C01E	LA FRANCAISE DES JEUX
00C02E	Netwiz
00C03E	Fa. Gebr. Heller Gmbh
00C04E	Comtrol Corporation
00C05E	Vari-Lite Inc
00C06E	HAFT TECHNOLOGY, INC.
00C07E	KUBOTA CORPORATION ELECTRONIC
00C08E	Network Information Technology
00C09E	CACHE COMPUTERS, INC.
00C0AE	Towercom Co Inc DBA PC House
00C0BE	Alcatel-	# Alcatel - Sel
00C0CE	CEI SYSTEMS & ENGINEERING PTE
00C0DE	ZComm Inc
00C0EE	Kyocera Corporation
00C0FE	APTEC COMPUTER SYSTEMS, INC.
00CDFE	Apple, Inc.
00D00E	PLURIS, INC.
00D01E	PINGTEL CORP.
00D02E	COMMUNICATION AUTOMATION CORP.
00D03E	ROCKETCHIPS, INC.
00D04E	Logibag
00D05E	STRATABEAM TECHNOLOGY, INC.
00D06E	TRENDVIEW RECORDERS LTD.
