000009	powerpipes?
000619	Connection Technology Systems
000629	IBM RISC6000 system
000639	Newtec
000649	3M Deutschland GmbH
000659	EAL (Apeldoorn) B.V.
000669	Datasound Laboratories Ltd
000679	Konami Corporation
000689	yLez Technologies Pte Ltd
000699	Vida Design Co.
0006A9	Universal Instruments Corp.
0006B9	A5TEK Corp.
0006C9	Technical Marketing Research, Inc.
0006D9	IPM-Net S.p.A.
0006E9	Intime Corp.
0006F9	Mitsui Zosen Systems Research Inc.
000709	Westerstrand Urfabrik AB
000719	Mobiis Co., Ltd.
000729	Kistler Instrumente AG
000739	Scotty Group Austria Gmbh
000749	CENiX Inc.
000759	Boris Manufacturing Corp.
000769	Italiana Macchi SpA
000779	Sungil Telecom Co., Ltd.
000789	DONGWON SYSTEMS
000799	TippingPoint Technologies, Inc.
0007A9	Novasonics
0007B9	Ginganet Corporation
0007C9	Technol Seven Co., Ltd.
0007D9	Splicecom
0007E9	Intel Corporation
0007F9	Sensaphone
000809	Systemonic AG
000819	Banksys
000829	Aval Nagasaki Corporation
000859	ShenZhen Unitone Electronics Co., Ltd.
000869	Command-               # Command-e Technology Co.,Ltd.
000879	CEM Corporation
000889	Echostar Technologies Corp
000899	Netbind, Inc.
0008A9	SangSang Technology, Inc.
0008B9	Kaonmedia CO., LTD.
0008C9	TechniSat Digital GmbH
0008D9	Mitadenshi Co.,LTD
0008E9	Nextgig
0008F9	Artesyn Embedded Technologies
000909	Telenor Connect A/S
000919	MDS Gateways
000929	Sanyo Industries (UK) Limited
000939	ShibaSoku Co.,Ltd.
000949	Glyph Technologies Inc.
000959	Sitecsoft
000969	Meret Optical Communications
000979	Advanced Television Systems Committee, Inc.
000989	VividLogic Inc.
000999	CP GEORGES RENAULT
0009A9	Ikanos Communications
0009B9	Action Imaging Solutions
0009C9	BlueWINC Co., Ltd.
0009D9	Neoscale Systems, Inc
0009E9	Cisco Systems, Inc
0009F9	ART JAPAN CO., LTD.
000A09	TaraCom Integrated Products, Inc.
000A19	Valere Power, Inc.
000A29	Pan Dacom Networking AG
000A39	LoPA Information Technology
000A49	F5 Networks, Inc.
000A59	HW server
000A69	SUNNY bell Technology Co., Ltd.
000A79	corega K.K
000A89	Creval Systems, Inc.
000A99	Calamp Wireless Networks Inc
000AA9	Brooks Automation GmbH
000AB9	Astera Technologies Corp.
000AC9	Zambeel Inc
000AD9	Sony Mobile Communications AB
000AE9	AirVast Technology Inc.
000AF9	HiConnect, Inc.
000B09	Ifoundry Systems Singapore
000B19	Vernier Networks, Inc.
000B29	LS(LG) Industrial Systems co.,Ltd
000B39	Keisoku Giken Co.,Ltd.
000B49	RF-Link System Inc.
000B59	ScriptPro, LLC
000B69	Franke Finland Oy
000B79	X-COM, Inc.
000B89	Top Global Technology, Ltd.
000B99	SensAble Technologies, Inc.
000BA9	CloudShield Technologies, Inc.
000BB9	Imsys AB
000BC9	Electroline Equipment
000BD9	General Hydrogen
000BE9	Actel Corporation
000BF9	Gemstone Communications, Inc.
000C09	Hitachi IE Systems Co., Ltd
000C19	Telio Communications GmbH
000C29	VMware, Inc.
000C39	Sentinel Wireless Inc.
000C49	Dangaard Telecom Denmark A/S
000C59	Indyme Electronics, Inc.
000C69	National Radio Astronomy Observatory
000C79	Extel Communications P/L
000C89	AC Electric Vehicles, Ltd.
000C99	HITEL LINK Co.,Ltd
000CA9	Ebtron Inc.
000CB9	Lea
000CC9	ILWOO DATA & TECHNOLOGY CO.,LTD
000CD9	Itcare Co., Ltd
000CE9	BLOOMBERG L.P.
000CF9	Xylem Water Solutions
000D09	Yuehua(Zhuhai) Electronic CO. LTD
000D19	ROBE Show lighting
000D29	Cisco Systems, Inc
000D39	Network Electronics
000D49	Triton Systems of Delaware, Inc.
000D59	Amity Systems, Inc.
000D69	TMT&D Corporation
000D79	Dynamic Solutions Co,.Ltd.
000D89	Bils Technology Inc
000D99	Orbital Sciences Corp.; Launch Systems Group
000DA9	T.E.A.M. S.L.
000DB9	PC Engines GmbH
000DC9	THALES Elektronik Systeme GmbH
000DD9	Anton Paar GmbH
000DE9	Napatech Aps
000DF9	NDS Limited
000E09	Shenzhen Coship Software Co.,LTD.
000E19	LogicaCMG Pty Ltd
000E29	Shester Communications Inc
000E39	Cisco Systems, Inc
000E49	Forsway Scandinavia AB
000E59	Sagemcom Broadband SAS
000E69	China Electric Power Research Institute
000E79	Ample Communications Inc.
000E89	Clematic
000E99	Spectrum Digital, Inc
000EA9	Shanghai Xun Shi Communications Equipment Ltd. Co.
000EB9	HASHIMOTO Electronics Industry Co.,Ltd.
000EC9	YOKO Technology Corp.
000ED9	Aksys, Ltd.
000EE9	WayTech Development, Inc.
000EF9	REA Elektronik GmbH
000F09	Private
000F19	Boston Scientific
000F29	Augmentix Corporation
000F39	IRIS SENSORS
000F49	Northover Solutions Limited
000F59	Phonak AG
000F69	SEW Eurodrive GmbH & Co. KG
000F79	Bluetooth Interest Group Inc.
000F89	Winnertec System Co., Ltd.
000F99	APAC opto Electronics Inc.
000FA9	PC Fabrik
000FB9	Adaptive Instruments
000FC9	Allnet GmbH
000FD9	FlexDSL Telecommunications AG
000FE9	GW TECHNOLOGIES CO.,LTD.
000FF9	Valcretec, Inc.
001009	HORO QUARTZ
001019	SIRONA DENTAL SYSTEMS GmbH & Co. KG
001029	Cisco Systems			Catalyst 5000
001039	Vectron Systems AG
001049	ShoreTel, Inc
001059	DIABLO RESEARCH CO. LLC
001069	HELIOSS COMMUNICATIONS, INC.
001079	Cisco				5500 Router
001089	Websonic
001099	InnoMedia, Inc.
0010A9	ADHOC TECHNOLOGIES
0010B9	MAXTOR CORP.
0010C9	MITSUBISHI ELECTRONICS LOGISTIC SUPPORT CO.
0010D9	IBM JAPAN, FUJISAWA MT+D
0010E9	RAIDTEC LTD.
0010F9	UNIQUE SYSTEMS, INC.
001109	Micro-Star International
001119	Solteras, Inc.
001129	Paradise Datacom Ltd.
001139	STOEBER ANTRIEBSTECHNIK GmbH + Co. KG.
001149	Proliphix Inc.
001159	MATISSE NETWORKS INC
001169	EMS Satcom
001179	Singular Technology Co. Ltd.
001189	Aerotech Inc
001199	2wcom Systems GmbH
0011A9	MOIMSTONE Co., LTD
0011B9	Inner Range Pty. Ltd.
0011C9	MTT Corporation
0011D9	Tivo
0011E9	STARNEX CO., LTD.
0011F9	Nortel Networks
001209	Fastrax Ltd
001219	Ahead Communication Systems Inc
001229	BroadEasy Technologies Co.,Ltd
001239	S Net Systems Inc.
001249	Delta Elettronica S.p.A.
001259	THERMO ELECTRON KARLSRUHE
001269	Value Electronics
001279	Hewlett Packard
001289	Advance Sterilization Products
001299	Ktech Telecommunications Inc
0012A9	3Com Ltd
0012B9	Fusion Digital Technology
0012C9	ARRIS Group, Inc.
0012D9	Cisco Systems, Inc
0012E9	Abbey Systems Ltd
0012F9	URYU SEISAKU, LTD.
001309	Ocean Broadband Networks
001319	Cisco Systems, Inc
001329	VSST Co., LTD
001339	CCV Deutschland GmbH
001349	ZyXEL Communications Corporation
001359	ProTelevision Technologies A/S
001369	Honda Electron Co., LED.
001379	PONDER INFORMATION INDUSTRIES LTD.
001389	Redes de Telefonía Móvil S.A.
001399	STAC Corporation.
0013A9	Sony Corporation
0013B9	BM SPA
0013C9	Beyond Achieve Enterprises Ltd.
0013D9	Matrix Product Development, Inc.
0013E9	VeriWave, Inc.
0013F9	Cavera Systems
001409	MAGNETI MARELLI   S.E. S.p.A.
001419	Sidsa
001429	V Center Technologies Co., Ltd.
001439	Blonder Tongue Laboratories, Inc.
001449	Sichuan Changhong Electric Ltd.
001459	Moram Co., Ltd.
001469	Cisco Systems, Inc
001479	NEC Magnus Communications,Ltd.
001489	B15402100 - JANDEI, S.L.
001499	Helicomm Inc
0014A9	Cisco Systems, Inc
0014B9	MSTAR SEMICONDUCTOR
0014C9	Brocade Communications Systems, Inc.
0014D9	IP Fabrics, Inc.
0014E9	Nortech International
0014F9	Vantage Controls
001509	Plus Technology Co., Ltd
001519	StoreAge Networking Technologies
001529	N3 Corporation
001539	Technodrive srl
001549	Dixtal Biomedica Ind. Com. Ltda
001559	Securaplane Technologies, Inc.
001569	PECO II, Inc.
001579	Lunatone Industrielle Elektronik GmbH
001589	D-MAX Technology Co.,Ltd
001599	Samsung Electronics Co.,Ltd
0015A9	KWANG WOO I&C CO.,LTD
0015B9	Samsung Electronics Co.,Ltd
0015C9	Gumstix, Inc
0015D9	PKC Electronics Oy
0015E9	D-Link Corporation
0015F9	Cisco Systems, Inc
001609	Unitech electronics co., ltd.
001619	Lancelan Technologies S.L.
001629	Nivus GmbH
001639	Ubiquam Co., Ltd.
001649	SetOne GmbH
001659	Z.M.P. RADWAG
001669	MRV Communication (Networks) LTD
001679	eOn Communications
001689	Pilkor Electronics Co., Ltd
001699	Tonic DVB Marketing Ltd
0016A9	2ei
0016B9	ProCurve Networking by HP
0016C9	NAT Seattle, Inc.
0016D9	NINGBO BIRD CO.,LTD.
0016E9	Tiba Medical Inc
0016F9	CETRTA POT, d.o.o., Kranj
001709	Exalt Communications
001719	Audiocodes USA, Inc
001729	Ubicod Co.LTD
001739	Bright Headphone Electronics Company
001749	HYUNDAE YONG-O-SA CO.,LTD
001759	Cisco Systems, Inc
001769	Cymphonix Corp
001779	Quicktel
001789	Zenitron Corporation
001799	SmarTire Systems Inc.
0017A9	Sentivision
0017B9	Gambro Lundia AB
0017C9	Samsung Electronics Co.,Ltd
0017D9	AAI Corporation
0017E9	Texas Instruments
0017F9	Forcom Sp. z o.o.
001809	Cresyn
001819	Cisco Systems, Inc
001829	Gatsometer
001839	Cisco-Linksys, LLC
001849	Pigeon Point Systems LLC
001859	Strawberry Linux Co.,Ltd.
001869	Kingjim
001879	Dsys
001889	WinNet Solutions Limited
001899	ShenZhen jieshun Science&Technology Industry CO,LTD.
0018A9	Ethernet Direct Corporation
0018B9	Cisco Systems, Inc
0018C9	EOps Technology Limited
0018D9	Santosha Internatonal, Inc
0018E9	Numata Corporation
0018F9	VVOND, Inc.
001909	DEVI - Danfoss A/S
001919	ASTEL Inc.
001929	2M2B Montadora de Maquinas Bahia Brasil LTDA
001939	Gigamips
001949	TENTEL  COMTECH CO., LTD.
001959	Staccato Communications Inc.
001969	Nortel Networks
001979	Nokia Danmark A/S
001989	Sonitrol Corporation
001999	Fujitsu Technology Solutions GmbH
0019A9	Cisco Systems, Inc
0019B9	Dell Inc.
0019C9	S&C ELECTRIC COMPANY
0019D9	Zeutschel GmbH
0019E9	S-Information Technolgy, Co., Ltd.
0019F9	TDK-Lambda
001A09	Wayfarer Transit Systems Ltd
001A19	Computer Engineering Limited
001A29	Johnson Outdoors Marine Electronics d/b/a Minnkota
001A39	Merten GmbH&CoKG
001A49	Micro Vision Co.,LTD
001A59	Ircona
001A69	Wuhan Yangtze Optical Technology CO.,Ltd.
001A79	TELECOMUNICATION TECHNOLOGIES LTD.
001A89	Nokia Danmark A/S
001A99	Smarty (HZ) Information Electronics Co., Ltd
001AA9	FUJIAN STAR-NET COMMUNICATION CO.,LTD
001AB9	Pmc
001AC9	SUZUKEN CO.,LTD
001AD9	International Broadband Electric Communications, Inc.
001AE9	Nintendo Co., Ltd.
001AF9	AeroVIronment (AV Inc)
001B09	Matrix Telecom Pvt. Ltd.
001B19	IEEE I&M Society TC9
001B29	Avantis.Co.,Ltd
001B39	Proxicast
001B49	Roberts Radio limited
001B59	Sony Mobile Communications AB
001B69	Equaline Corporation
001B79	FAIVELEY TRANSPORT
001B89	EMZA Visual Sense Ltd.
001B99	KS System GmbH
001BA9	Brother industries, LTD.
001BB9	Elitegroup Computer Systems Co.,Ltd.
001BC9	FSN DISPLAY INC
001BD9	Edgewater Computer Systems
001BE9	Broadcom
001BF9	Intellitect Water Ltd
001C09	SAE Electronic Co.,Ltd.
001C19	secunet Security Networks AG
001C29	CORE DIGITAL ELECTRONICS CO., LTD
001C39	S Netsystems Inc.
001C49	Zoltan Technology Inc.
001C59	DEVON IT
001C69	Packet Vision Ltd
001C79	Cohesive Financial Technologies LLC
001C89	Force Communications, Inc.
001C99	Shunra Software Ltd.
001CA9	Audiomatica Srl
001CB9	KWANG SUNG ELECTRONICS CO., LTD.
001CC9	Kaise Electronic Technology Co., Ltd.
001CD9	GlobalTop Technology Inc.
001CE9	Galaxy Technology Limited
001CF9	Cisco Systems, Inc
001D09	Dell Inc.
001D19	Arcadyan Technology Corporation
001D29	Doro AB
001D39	MOOHADIGITAL CO., LTD
001D49	Innovation Wireless Inc.
001D59	Mitra Energy & Infrastructure
001D69	Knorr-Bremse IT-Services GmbH
001D79	SIGNAMAX LLC
001D89	VaultStor Corporation
001D99	Cyan Optic, Inc.
001DA9	Castles Technology, Co., LTD
001DB9	Wellspring Wireless
001DC9	GainSpan Corp.
001DD9	Hon Hai Precision Ind. Co.,Ltd.
001DE9	Nokia Danmark A/S
001DF9	Cybiotronics (Far East) Limited
001E09	ZEFATEK Co.,LTD
001E19	Gtri
001E29	Hypertherm Inc
001E39	Comsys Communication Ltd.
001E49	Cisco Systems, Inc
001E59	Silicon Turnkey Express, LLC
001E69	Thomson Inc.
001E79	Cisco Systems, Inc
001E89	CRFS Limited
001E99	Vantanol Industrial Corporation
001EA9	Nintendo Co., Ltd.
001EB9	Sing Fai Technology Limited
001EC9	Dell Inc.
001ED9	Mitsubishi Precision Co.,LTd.
001EE9	Stoneridge Electronics AB
001EF9	Pascom Kommunikations systeme GmbH.
001F09	Jastec
001F19	BEN-RI ELECTRONICA S.A.
001F29	Hewlett Packard
001F39	Construcciones y Auxiliar de Ferrocarriles, S.A.
001F49	Manhattan TV Ltd
001F59	Kronback Tracers
001F69	Pingood Technology Co., Ltd.
001F79	Lodam Electronics A/S
001F89	Signalion GmbH
001F99	SERONICS co.ltd
001FA9	Atlanta DTH, Inc.
001FB9	Paltronics
001FC9	Cisco Systems, Inc
001FD9	RSD Communications Ltd
001FE9	Printrex, Inc.
001FF9	Advanced Knowledge Associates
002009	PACKARD BELL ELEC., INC.
002019	OHLER GMBH
002029	TeleProcessing CSU/DSU (now owned by ADC/Kentrox)
002039	Scinets
002049	COMTRON, INC.
002059	MIRO COMPUTER PRODUCTS AG
002069	ISDN SYSTEMS CORPORATION
002079	MIKRON GMBH
002089	T3PLUS NETWORKING, INC.
002099	BON ELECTRIC CO., LTD.
0020A9	WHITE HORSE INDUSTRIAL
0020B9	Metricom, Inc.
0020C9	VICTRON BV
0020D9	PANASONIC TECHNOLOGIES, INC./MIECO-US
0020E9	Dantel
0020F9	PARALINK NETWORKS, INC.
002109	Nokia Danmark A/S
002119	SAMSUNG ELECTRO MECHANICS CO., LTD.
002129	Cisco-Linksys, LLC
002139	Escherlogic Inc.
002149	China Daheng Group ,Inc.
002159	Juniper Networks
002169	Prologix, LLC.
002179	IOGEAR, Inc.
002189	AppTech, Inc.
002199	Vacon Plc
0021A9	Mobilink Telecom Co.,Ltd
0021B9	Universal Devices Inc.
0021C9	Wavecom Asia Pacific Limited
0021D9	SEKONIC CORPORATION
0021E9	Apple, Inc.
0021F9	WIRECOM Technologies
002209	Omron Healthcare Co., Ltd
002219	Dell Inc.
002229	Compumedics Ltd
002239	Indiana Life Sciences Incorporated
002249	HOME MULTIENERGY SL
002259	Guangzhou New Postcom Equipment Co.,Ltd.
002269	Hon Hai Precision Ind. Co.,Ltd.
002279	Nippon Conlux Co., Ltd.
002289	Optosecurity Inc.
002299	SeaMicro Inc.
0022A9	LG Electronics (Mobile Communications)
0022B9	Analogix Seminconductor, Inc
0022C9	Lenord, Bauer & Co GmbH
0022D9	Fortex Industrial Ltd.
0022E9	ProVision Communications
0022F9	Pollin Electronic GmbH
002309	Janam Technologies LLC
002319	Sielox LLC
002329	DDRdrive LLC
002339	Samsung Electronics Co.,Ltd
002349	Helmholtz Centre Berlin for Material and Energy
002359	Benchmark Electronics ( Thailand ) Public Company Limited
002369	Cisco-Linksys, LLC
002379	Union Business Machines Co. Ltd.
002389	Hangzhou H3C Technologies Co., Limited
002399	Samsung Electronics Co.,Ltd
0023A9	Beijing Detianquan Electromechanical Equipment Co., Ltd
0023B9	Airbus Defence and Space Deutschland GmbH
0023C9	Sichuan Tianyi Information Science & Technology Stock CO.,LTD
0023D9	Banner Engineering
0023E9	F5 Networks, Inc.
0023F9	Double-Take Software, INC.
002409	The Toro Company
002419	Private
002429	MK MASTER INC.
002439	Digital Barriers Advanced Technologies
002449	Shen Zhen Lite Star Electronics Technology Co., Ltd
002459	ABB Automation products GmbH
002469	Smart Doorphones
002479	Optec Displays, Inc.
002489	Vodafone Omnitel N.V.
002499	Aquila Technologies
0024A9	Ag Leader Technology
0024B9	Wuhan Higheasy Electronic Technology Development Co.Ltd
0024C9	Broadband Solutions Group
0024D9	BICOM, Inc.
0024E9	Samsung Electronics Co.,Ltd
0024F9	Cisco Systems, Inc
002509	SHARETRONIC Group LTD
002519	Viaas Inc
002529	COMELIT GROUP S.P.A
002539	IfTA GmbH
002549	Jeorich Tech. Co.,Ltd.
002559	Syphan Technologies Ltd
002569	Sagemcom Broadband SAS
002579	J & F Labs
002589	Hills Industries Limited
002599	Hedon e.d. B.V.
0025A9	Shanghai Embedway Information Technologies Co.,Ltd
0025B9	Cypress Solutions Inc
0025C9	SHENZHEN HUAPU DIGITAL CO., LTD
0025D9	DataFab Systems Inc.
0025E9	i-mate Development, Inc.
0025F9	GMK electronic design GmbH
002609	Phyllis Co., Ltd.
002619	Frc
002629	Juphoon System Software Inc.
002639	T.M. Electronics, Inc.
002659	Nintendo Co., Ltd.
002669	Nokia Danmark A/S
002679	Euphonic Technologies, Inc.
002689	General Dynamics Robotic Systems
002699	Cisco Systems, Inc
0026A9	Strong Technologies Pty Ltd
0026B9	Dell Inc.
0026C9	Proventix Systems, Inc.
0026D9	ARRIS Group, Inc.
0026E9	SP Corp
0026F9	S.E.M. srl
002709	Nintendo Co., Ltd.
002719	TP-LINK TECHNOLOGIES CO.,LTD.
003009	Tachion Networks, Inc.
003019	Cisco Systems, Inc
003029	Opicom
003039	SOFTBOOK PRESS
003049	BRYANT TECHNOLOGY, LTD.
003059	KONTRON COMPACT COMPUTERS AG
003069	IMPACCT TECHNOLOGY CORP.
003079	CQOS, INC.
003089	Spectrapoint Wireless, LLC
003099	BOENIG UND KALLENBACH OHG
0030A9	Netiverse, Inc.
0030B9	Ectel
0030C9	LuxN, N
0030D9	DATACORE SOFTWARE CORP.
0030E9	GMA COMMUNICATION MANUFACT'G
0030F9	Sollae Systems Co., Ltd.
003A99	Cisco Systems, Inc
004009	Tachibana Tectron Co Ltd
004019	AEON SYSTEMS, INC.
004029	Compex
004039	Optec Daiichi Denko Co Ltd
004049	Roche Diagnostics International Ltd.
004059	Yoshida Kogyo K.K.
004069	Lemcom Systems Inc
004079	JUKO MANUFACTURE COMPANY, LTD.
004089	MEIDENSHA CORPORATION
004099	NEWGEN SYSTEMS CORP.
0040A9	DATACOM INC.
0040B9	MACQ Electronique SA
0040C9	Ncube
0040D9	AMERICAN MEGATRENDS INC.
0040E9	Accord Systems, Inc.
0040F9	Combinet
004F49	Realtek
005009	PHILIPS BROADBAND NETWORKS
005019	SPRING TIDE NETWORKS, INC.
005029	1394 PRINTER WORKING GROUP
005039	MARINER NETWORKS
005049	Arbor Networks Inc
005059	Ibahn
005069	PixStream Incorporated
005079	Private
005089	SAFETY MANAGEMENT SYSTEMS
005099	3COM EUROPE, LTD.
0050A9	MOLDAT WIRELESS TECHNOLGIES
0050B9	XITRON TECHNOLOGIES, INC.
0050C9	MASPRO DENKOH CORP.
0050D9	ENGETRON-ENGENHARIA ELETRONICA IND. e COM. LTDA
0050F9	Sensormatic Electronics LLC
005979	Networked Energy Services
005A39	SHENZHEN FAST TECHNOLOGIES CO.,LTD
006009	Cisco				Catalyst 5000 Ethernet switch
006019	Roche Diagnostics
006029	CARY PERIPHERALS INC.
006039	SanCom Technology, Inc.
006049	VINA TECHNOLOGIES
006059	TECHNICAL COMMUNICATIONS CORP.
006069	Brocade Communications Systems, Inc.
006079	Mainstream Data, Inc.
006089	Xata
006099	SBE, Inc.
0060A9	GESYTEC MBH
0060B9	NEC Platforms, Ltd
0060C9	ControlNet, Inc.
0060D9	TRANSYS NETWORKS INC.
0060E9	ATOP TECHNOLOGIES, INC.
0060F9	DIAMOND LANE COMMUNICATIONS
008009	Jupiter Systems (older MX-600 series machines)
008019	Dayna Communications		"Etherprint" product
008029	Microdyne Corporation
008039	ALCATEL STC AUSTRALIA
008049	Nissin Electric Co Ltd
008059	STANLEY ELECTRIC CO., LTD
008069	Computone Systems
008079	Microbus Designs Ltd
008089	TECNETICS (PTY) LTD.
008099	Eaton Industries GmbH
0080A9	CLEARPOINT RESEARCH
0080B9	ARCHE TECHNOLIGIES INC.
0080C9	Alberta Microelectronic Centre
0080D9	EMK Elektronik GmbH & Co. KG
0080E9	Madge Ltd.
0080F9	HEURIKON CORPORATION
009009	I Controls, Inc.
009019	HERMES ELECTRONICS CO., LTD.
009029	CRYPTO AG
009039	SHASTA NETWORKS
009049	ENTRIDIA CORPORATION
009059	TELECOM DEVICE K.K.
009069	Juniper Networks
009079	ClearOne, Inc.
009089	SOFTCOM MICROSYSTEMS, INC.
009099	ALLIED TELESIS, K.K.
0090A9	WESTERN DIGITAL
0090B9	BERAN INSTRUMENTS LTD.
0090C9	DPAC Technologies
0090D9	Cisco Systems, Inc
0090E9	JANZ COMPUTER AG
0090F9	Imagine Communications
009569	LSD Science and Technology Co.,Ltd.
00A009	WHITETREE NETWORK
00A019	NEBULA CONSULTANTS, INC.
00A029	COULTER CORPORATION
00A039	ROSS TECHNOLOGY, INC.
00A049	DIGITECH INDUSTRIES, INC.
00A059	HAMILTON HALLMARK
00A069	Symmetricom, Inc.
00A079	ALPS ELECTRIC (USA), INC.
00A089	XPOINT TECHNOLOGIES, INC.
00A099	K-NET LTD.
00A0A9	NAVTEL COMMUNICATIONS INC.
00A0B9	EAGLE TECHNOLOGY, INC.
00A0C9	Intel (PRO100B and PRO100+)	[used on Cisco PIX firewall among others]
00A0D9	CONVEX COMPUTER CORPORATION
00A0E9	ELECTRONIC RETAILING SYSTEMS INTERNATIONAL
00A0F9	BINTEC COMMUNICATIONS GMBH
00A289	Cisco Systems, Inc
00A509	WigWag Inc.
00B009	Grass Valley, A Belden Brand
00B019	UTC CCS
00B069	Honewell Oy
00C009	KT Technology (s) Pte Inc
00C019	LEAP TECHNOLOGY, INC.
00C029	Kabel Rheydt AG
00C039	Silicon Systems
00C049	US Robotics Total Control (tm) NETServer Card
00C059	Nippondenso Corp
00C069	California Microwave Inc
00C079	Fonsys Co Ltd
00C089	Telindus Distribution
00C099	YOSHIKI INDUSTRIAL CO.,LTD.
00C0A9	Barron McCann Ltd
00C0B9	Funk Software Inc
00C0C9	Bailey Controls Co
00C0D9	Quinte Network Confidentiality Equipment Inc
00C0E9	Oak Solutions Ltd
00C0F9	Artesyn Embedded Technologies
00D009	HSING TECH. ENTERPRISE CO. LTD
00D019	DAINIPPON SCREEN CORPORATE
00D029	WAKEFERN FOOD CORPORATION
00D039	UTILICOM, INC.
00D049	IMPRESSTEK CO., LTD.
00D059	AMBIT MICROSYSTEMS CORP.
00D069	TECHNOLOGIC SYSTEMS
00D079	Cisco Systems, Inc
00D089	DYNACOLOR, INC.
00D099	Elcard Wireless Systems Oy
00D0A9	SHINANO KENSHI CO., LTD.
00D0B9	MICROTEK INTERNATIONAL, INC.
00D0C9	ADVANTECH CO., LTD.
00D0D9	DEDICATED MICROCOMPUTERS
00D0E9	Advantage Century Telecommunication Corp.
00D0F9	ACUTE COMMUNICATIONS CORP.
00DD09	UNGERMANN-BASS INC.
00E009	MARATHON TECHNOLOGIES CORP.
00E019	ING. GIORDANO ELETTRONICA
00E029	SMC EtherPower II 10/100
00E039	Paradyne 7112 T1 DSU/CSU
00E049	MICROWI ELECTRONIC GmbH
00E059	CONTROLLED ENVIRONMENTS, LTD.
00E069	Jaycor
00E079	A.T.N.R.
00E089	ION Networks, Inc.
00E099	SAMSON AG
00E0A9	FUNAI ELECTRIC CO., LTD.
00E0B9	BYAS SYSTEMS
00E0C9	AutomatedLogic Corporation
00E0D9	TAZMO CO., LTD.
00E0E9	DATA LABS, INC.
00E0F9	Cisco
00F4B9	Apple, Inc.
02A0C9	Intel
043389	HUAWEI TECHNOLOGIES CO.,LTD
044169	Gopro
046169	MEDIA GLOBAL LINKS CO., LTD.
046E49	TaiYear Electronic Technology (Suzhou) Co., Ltd
04BBF9	Pavilion Data Systems Inc
04C1B9	Fiberhome Telecommunication Technologies Co.,LTD
