000000	Officially Xerox
001130	Allied Telesis (Hong Kong) Ltd.
001140	Nanometrics Inc.
001150	Belkin Corporation
001160	ARTDIO Company Co., LTD
001170	GSC SRL
001180	ARRIS Group, Inc.
001190	Digital Design Corporation
0011A0	Vtech Engineering Canada Ltd
0011B0	Fortelink Inc.
0011C0	Aday Technology Inc
0011D0	Tandberg Data ASA
0011E0	U-MEDIA Communications, Inc.
0011F0	Wideful Limited
001200	Cisco Systems, Inc
001210	WideRay Corp
001220	Cadco Systems
001230	Picaso Infocommunication CO., LTD.
001240	AMOI ELECTRONICS CO.,LTD
001250	Tokyo Aircaft Instrument Co., Ltd.
001260	Stanton Magnetics,inc.
001270	NGES Denro Systems
001280	Cisco Systems, Inc
001290	KYOWA Electric & Machinery Corp.
0012A0	NeoMeridian Sdn Bhd
0012B0	Efore Oyj   (Plc)
0012C0	HotLava Systems, Inc.
0012D0	Gossen-Metrawatt-GmbH
0012E0	Codan Limited
0012F0	Intel Corporate
001300	IT-FACTORY, INC.
001310	Cisco-Linksys, LLC
001320	Intel Corporate
001330	EURO PROTECTION SURVEILLANCE
001340	AD.EL s.r.l.
001350	Silver Spring Networks, Inc
001360	Cisco Systems, Inc
001370	Nokia Danmark A/S
001380	Cisco Systems, Inc
001390	Termtek Computer Co., Ltd
0013A0	ALGOSYSTEM Co., Ltd.
0013B0	Jablotron
0013C0	Trix Tecnologia Ltda.
0013D0	t+ Medical Ltd
0013E0	Murata Manufacturing Co., Ltd.
0013F0	Wavefront Semiconductor
001400	MINERVA KOREA CO., LTD
001410	Suzhou Keda Technology CO.,Ltd
001420	G-Links networking company
001430	ViPowER, Inc
001440	ATOMIC Corporation
001450	Heim Systems GmbH
001460	Kyocera Wireless Corp.
001470	Prokom Software SA
001480	Hitachi-               # Hitachi-LG Data Storage Korea, Inc
001490	ASP Corporation
0014A0	Accsense, Inc.
0014B0	Naeil Community
0014C0	Symstream Technology Group Ltd
0014D0	BTI Systems Inc.
0014E0	LET'S Corporation
0014F0	Business Security OL AB
001500	Intel Corporate
001510	Techsphere Co., Ltd
001520	Radiocrafts AS
001530	EMC Corporation
001540	Nortel Networks
001550	Nits Technology Inc
001560	Hewlett Packard
001570	Zebra Technologies Inc
001580	U-WAY CORPORATION
001590	Hectronic GmbH
0015A0	Nokia Danmark A/S
0015B0	AUTOTELENET CO.,LTD
0015C0	DIGITAL TELEMEDIA CO.,LTD.
0015D0	ARRIS Group, Inc.
0015E0	Ericsson
0015F0	EGO BV
001600	CelleBrite Mobile Synchronization
001610	Carina Technology
001620	Sony Mobile Communications AB
001630	Vativ Technologies
001640	Asmobile Communication Inc.
001650	Kratos EPD
001660	Nortel Networks
001670	SKNET Corporation
001680	Bally Gaming + Systems
001690	J-TEK INCORPORATION
0016A0	Auto-Maskin
0016B0	VK Corporation
0016C0	Semtech Corporation
0016D0	ATech elektronika d.o.o.
0016E0	3Com Ltd
0016F0	Dell
001700	Kabel
001710	Casa Systems Inc.
001720	Image Sensing Systems, Inc.
001730	Automation Electronics
001740	Bluberi Gaming Technologies Inc
001750	GSI Group, MicroE Systems
001760	Naito Densei Machida MFG.CO.,LTD
001770	Arti Industrial Electronics Ltd.
001780	Applied Biosystems B.V.
001790	HYUNDAI DIGITECH Co, Ltd.
0017A0	RoboTech srl
0017B0	Nokia Danmark A/S
0017C0	PureTech Systems, Inc.
0017D0	Opticom Communications, LLC
0017E0	Cisco Systems, Inc
0017F0	SZCOM Broadband Network Technology Co.,Ltd
001800	UNIGRAND LTD
001810	IPTrade S.A.
001820	w5networks
001830	Texas Instruments
001840	3 Phoenix, Inc.
001850	Secfone Kft
001860	SIM Technology Group Shanghai Simcom Ltd.,
001870	E28 Shanghai Limited
001880	Maxim Integrated Products
001890	RadioCOM, s.r.o.
0018A0	Cierma Ascenseurs
0018B0	Nortel Networks
0018C0	ARRIS Group, Inc.
0018D0	AtRoad,  A Trimble Company
0018E0	Anaveo
0018F0	JOYTOTO Co., Ltd.
001900	Intelliverese - DBA Voicecom
001910	Knick Elektronische Messgeraete GmbH & Co. KG
001920	KUME electric Co.,Ltd.
001930	Cisco Systems, Inc
001940	Rackable Systems
001950	Harman Multimedia
001960	DoCoMo Systems, Inc.
001970	Z-Com, Inc.
001980	Gridpoint Systems
001990	ELM DATA Co., Ltd.
0019A0	NIHON DATA SYSTENS, INC.
0019B0	HanYang System
0019C0	ARRIS Group, Inc.
0019D0	Cathexis
0019E0	TP-LINK TECHNOLOGIES CO.,LTD.
0019F0	UNIONMAN TECHNOLOGY CO.,LTD
001A00	MATRIX INC.
001A10	LUCENT TRANS ELECTRONICS CO.,LTD
001A20	CMOTECH Co. Ltd.
001A30	Cisco Systems, Inc
001A40	A-FOUR TECH CO., LTD.
001A50	PheeNet Technology Corp.
001A60	Wave Electronics Co.,Ltd.
001A70	Cisco-Linksys, LLC
001A80	Sony Corporation
001A90	Trópico Sistemas e Telecomunicações da Amazônia LTDA.
001AA0	Dell Inc.
001AB0	Signal Networks Pvt. Ltd.,
001AC0	JOYBIEN TECHNOLOGIES CO., LTD.
001AD0	Albis Technologies AG
001AE0	Mythology Tech Express Inc.
001AF0	Alcatel-               # Alcatel-Lucent IPD
001B00	Neopost Technologies
001B10	ShenZhen Kang Hui Technology Co.,ltd
001B20	TPine Technology
001B30	Solitech Inc.
001B40	Network Automation mxc AB
001B50	Nizhny Novgorod Factory named after M.Frunze, FSUE (NZiF)
001B60	NAVIGON AG
001B70	IRI Ubiteq, INC.
001B80	LORD Corporation
001B90	Cisco Systems, Inc
001BA0	Awox
001BB0	BHARAT ELECTRONICS
001BC0	Juniper Networks
001BD0	IDENTEC SOLUTIONS
001BE0	TELENOT ELECTRONIC GmbH
001BF0	Value Platforms Limited
001C00	Entry Point, LLC
001C10	Cisco-Linksys, LLC
001C20	CLB Benelux
001C30	Mode Lighting (UK ) Ltd.
001C40	VDG-Security bv
001C50	TCL Technoly Electronics (Huizhou) Co., Ltd.
001C60	CSP Frontier Technologies,Inc.
001C70	NOVACOMM LTDA
001C80	New Business Division/Rhea-Information CO., LTD.
001C90	Empacket Corporation
001CA0	Production Resource Group, LLC
001CB0	Cisco Systems, Inc
001CC0	Intel Corporate
001CD0	Circleone Co.,Ltd.
001CE0	DASAN TPS
001CF0	D-Link Corporation
001D00	Brivo Systems, LLC
001D10	LightHaus Logic, Inc.
001D20	Comtrend Corporation
001D30	YX Wireless S.A.
001D40	Intel – GE Care Innovations LLC
001D50	SPINETIX SA
001D60	ASUSTek COMPUTER INC.
001D70	Cisco Systems, Inc
001D80	Beijing Huahuan Eletronics Co.,Ltd
001D90	EMCO Flow Systems
001DA0	Heng Yu Electronic Manufacturing Company Limited
001DB0	FuJian HengTong Information Technology Co.,Ltd
001DC0	Enphase Energy
001DD0	ARRIS Group, Inc.
001DE0	Intel Corporate
001DF0	Vidient Systems, Inc.
001E00	Shantou Institute of Ultrasonic Instruments
001E10	HUAWEI TECHNOLOGIES CO.,LTD
001E20	Intertain Inc.
001E30	Shireen Inc
001E40	Shanghai DareGlobal Technologies Co.,Ltd
001E50	BATTISTONI RESEARCH
001E60	Digital Lighting Systems, Inc
001E70	Cobham Defence Communications Ltd
001E80	Last Mile Ltd.
001E90	Elitegroup Computer Systems Co.,Ltd.
001EA0	Xln-T
001EB0	ImesD Electronica S.L.
001EC0	Microchip Technology Inc.
001ED0	Ingespace
001EE0	Urmet Domus SpA
001EF0	Gigafin Networks
001F00	Nokia Danmark A/S
001F10	TOLEDO DO BRASIL INDUSTRIA DE BALANCAS  LTDA
001F20	Logitech Europe SA
001F30	Travelping
001F40	Speakercraft Inc.
001F50	Swissdis AG
001F60	COMPASS SYSTEMS CORP.
001F70	Botik Technologies LTD
001F80	Lucas Holding bv
001F90	Actiontec Electronics, Inc
001FA0	A10 Networks
001FB0	TimeIPS, Inc.
001FC0	Control Express Finland Oy
001FD0	GIGA-BYTE TECHNOLOGY CO.,LTD.
001FE0	EdgeVelocity Corp
001FF0	Audio Partnership
002000	Lexmark (Print Server)
002010	JEOL SYSTEM TECHNOLOGY CO. LTD
002020	MEGATRON COMPUTER INDUSTRIES PTY, LTD.
002030	ANALOG & DIGITAL SYSTEMS
002040	ARRIS Group, Inc.
002050	KOREA COMPUTER INC.
002060	ALCATEL ITALIA S.p.A.
002070	HYNET, LTD.
002080	SYNERGY (UK) LTD.
002090	ADVANCED COMPRESSION TECHNOLOGY, INC.
0020A0	OA LABORATORY CO., LTD.
0020B0	GATEWAY DEVICES, INC.
0020C0	PULSE ELECTRONICS, INC.
0020D0	Versalynx Corp.			"The One Port" terminal server
0020E0	PreMax PE-200 (PCMCIA NE2000-clone card, sold by InfoExpress)
0020F0	UNIVERSAL MICROELECTRONICS CO.
002100	Gemtek Technology Co., Ltd.
002110	Clearbox Systems
002120	Sequel Technologies
002130	Keico Hightech Inc.
002140	EN Technologies Inc.
002150	EYEVIEW ELECTRONICS
002160	Hidea Solutions Co. Ltd.
002170	Dell Inc.
002180	ARRIS Group, Inc.
002190	Goliath Solutions
0021A0	Cisco Systems, Inc
0021B0	Tyco Telecommunications
0021C0	Mobile Appliance, Inc.
0021D0	Global Display Solutions Spa
0021E0	CommAgility Ltd
0021F0	EW3 Technologies LLC
002200	IBM Corp
002210	ARRIS Group, Inc.
002220	Mitac Technology Corp
002230	FutureLogic Inc.
002240	Universal Telecom S/A
002250	Point Six Wireless, LLC
002260	AFREEY Inc.
002270	ABK North America, LLC
002280	A2B Electronics AB
002290	Cisco Systems, Inc
0022A0	Delphi Corporation
0022B0	D-Link Corporation
0022C0	Shenzhen Forcelink Electronic Co, Ltd
0022D0	Polar Electro Oy
0022E0	Atlantic Software Technologies S.r.L.
0022F0	3 Greens Aviation Limited
002300	Cayee Computer Ltd.
002310	LNC Technology Co., Ltd.
002320	Nicira Networks
002330	DIZIPIA, INC.
002340	MiXTelematics
002350	Lyntec
002360	Lookit Technology Co., Ltd
002370	Snell
002380	Nanoteq
002390	Algolware Corporation
0023A0	Hana CNS Co., LTD.
0023B0	COMXION Technology Inc.
0023C0	Broadway Networks
0023D0	Uniloc USA Inc.
0023E0	INO Therapeutics LLC
0023F0	Shanghai Jinghan Weighing Apparatus Co. Ltd.
002400	Nortel Networks
002410	NUETEQ Technology,Inc.
002420	NetUP Inc.
002430	Ruby Tech Corp.
002440	Halo Monitoring, Inc.
002450	Cisco Systems, Inc
002460	Giaval Science Development Co. Ltd.
002470	AUROTECH ultrasound AS.
002480	Meteocontrol GmbH
002490	Samsung Electronics Co.,Ltd
0024A0	ARRIS Group, Inc.
0024B0	ESAB AB
0024C0	NTI COMODO INC
0024D0	Shenzhen SOGOOD Industry CO.,LTD.
0024E0	DS Tech, LLC
0024F0	Seanodes
002500	Apple, Inc.
002510	Pico-Tesla Magnetic Therapies
002520	SMA Railway Technology GmbH
002530	Aetas Systems Inc.
002540	Quasar Technologies, Inc.
002550	Riverbed Technology, Inc.
002560	Ibridge Networks & Communications Ltd.
002570	Eastern Communications Company Limited
002580	Equipson S.A.
002590	Super Micro Computer, Inc.
0025A0	Nintendo Co., Ltd.
0025B0	Schmartz Inc
0025C0	ZillionTV Corporation
0025D0	Nokia Danmark A/S
0025E0	CeedTec Sdn Bhd
0025F0	Suga Electronics Limited
002600	TEAC Australia Pty Ltd.
002610	Apacewave Technologies
002620	ISGUS GmbH
002630	ACOREL S.A.S
002640	Baustem Broadband Technologies, Ltd.
002650	2Wire Inc
002660	Logiways
002670	Cinch Connectors
002680	SIL3 Pty.Ltd
002690	I DO IT
0026A0	Moblic
0026B0	Apple, Inc.
0026C0	EnergyHub
0026D0	Semihalf
0026E0	Asiteq
0026F0	cTrixs International GmbH.
002700	Shenzhen Siglent Technology Co., Ltd.
002710	Intel Corporate
002720	NEW-SOL COM
002A10	Cisco Systems, Inc
003000	ALLWELL TECHNOLOGY CORP.
003010	VISIONETICS INTERNATIONAL
003020	TSI, Inc..
003030	HARMONIX CORPORATION
003040	Cisco Systems, Inc
003050	Versa Technology
003060	Powerfile, Inc.
003070	1Net Corporation
003080	Cisco Systems, Inc
003090	CYRA TECHNOLOGIES, INC.
0030A0	TYCO SUBMARINE SYSTEMS, LTD.
0030B0	Convergenet Technologies
0030C0	Lara Technology, Inc.
0030D0	Tellabs
0030E0	OXFORD SEMICONDUCTOR LTD.
0030F0	Uniform Industrial Corp.
003560	Rosen Aviation
004000	PCI COMPONENTES DA AMZONIA LTD
004010	Sonic				Mac Ethernet interfaces
004020	Pilkington Communication
004030	GK Computer
004040	RING ACCESS, INC.
004050	Ironics, Incorporated
004060	COMENDEC LTD
004070	INTERWARE CO., LTD.
004080	ATHENIX CORPORATION
004090	Ansel Communications	PC NE2000 compatible twisted-pair ethernet cards
0040A0	GOLDSTAR CO., LTD.
0040B0	BYTEX CORPORATION, ENGINEERING
0040C0	VISTA CONTROLS CORPORATION
0040D0	DEC/Compaq
0040E0	ATOMWIDE LTD.
0040F0	Micro Systems Inc
005000	NEXO COMMUNICATIONS, INC.
005010	NovaNET Learning, Inc.
005020	MEDIASTAR CO., LTD.
005030	FUTURE PLUS SYSTEMS
005040	Panasonic Electric Works Co., Ltd.
005050	Cisco
005060	TANDBERG TELECOM AS
005070	CHAINTECH COMPUTER CO., LTD.
005080	Cisco Systems, Inc
005090	Dctri
0050A0	DELTA COMPUTER SYSTEMS, INC.
0050B0	TECHNOLOGY ATLANTA CORPORATION
0050C0	GATAN, INC.
0050D0	MINERVA SYSTEMS
0050F0	Cisco Systems, Inc
005500	Xerox
006000	XYCOM INC.
006010	NETWORK MACHINES, INC.
006020	PIVOTAL NETWORKING, INC.
006030	VillageTronic			used on Amiga
006040	NETRO CORP.
006050	INTERNIX INC.
006060	Data Innovations North America
006070	Cisco				routers (2524 and 4500)
006080	MICROTRONIX DATACOM LTD.
006090	Artiza Networks Inc
0060A0	SWITCHED NETWORK TECHNOLOGIES, INC.
0060B0	HP
0060C0	Nera Networks AS
0060D0	SNMP RESEARCH INCORPORATED
0060E0	AXIOM TECHNOLOGY CO., LTD.
0060F0	JOHNSON & JOHNSON MEDICAL, INC
006440	Cisco Systems, Inc
006BA0	SHENZHEN UNIVERSAL INTELLISYS PTE LTD
0070B0	M/A-COM INC. COMPANIES
0073E0	Samsung Electronics Co.,Ltd
008000	Multitech Systems Inc
008010	Commodore
008020	NETWORK PRODUCTS
008030	NEXUS ELECTRONICS
008040	JOHN FLUKE MANUFACTURING CO.
008050	ZIATECH CORPORATION
008060	Network Interface Corporation
008070	COMPUTADORAS MICRON
008080	DATAMEDIA CORPORATION
008090	Microtek International Inc
0080A0	Hewlett Packard
0080B0	ADVANCED INFORMATION
0080C0	Penril Datability Networks
0080D0	Computer Products International
0080E0	XTP Systems Inc
0080F0	Kyushu Matsushita Electric Co
0086A0	Private
008C10	Black Box Corp.
009000	DIAMOND MULTIMEDIA
009010	SIMULATION LABORATORIES, INC.
009020	PHILIPS ANALYTICAL X-RAY B.V.
009030	HONEYWELL-DATING
009040	Siemens Network Convergence LLC
009050	Teleste Corporation
009060	SYSTEM CREATE CORP.
009070	NEO NETWORKS, INC.
009080	NOT LIMITED, INC.
009090	I-Bus
0090A0	8X8 INC.
0090B0	Vadem
0090C0	K.J. LAW ENGINEERS, INC.
0090D0	Thomson Telecom Belgium
0090E0	SYSTRAN CORP.
0090F0	Harmonic Video Systems Ltd.
00A000	Bay Networks			Ethernet switch
00A010	SYSLOGIC DATENTECHNIK AG
00A020	CITICORP/TTI
00A030	CAPTOR NV/SA
00A040	Apple (PCI Mac)
00A050	CYPRESS SEMICONDUCTOR
00A060	ACER PERIPHERALS, INC.
00A070	Coastcom
00A080	Tattile SRL
00A090	TimeStep Corporation
00A0A0	COMPACT DATA, LTD.
00A0B0	I-O DATA DEVICE, INC.
00A0C0	DIGITAL LINK CORP.
00A0D0	TEN X TECHNOLOGY, INC.
00A0E0	TENNYSON TECHNOLOGIES PTY LTD
00A0F0	TORONTO MICROELECTRONICS INC.
00AA00	Intel
00AA70	LG Electronics (Mobile Communications)
00ACE0	ARRIS Group, Inc.
00B080	Mannesmann Ipulsys B.V.
00B0D0	Computer Products International
00B0F0	CALY NETWORKS
00BAC0	Biometric Access Company
00BBF0	UNGERMANN-BASS INC.
00C000	Lanoptics Ltd
00C010	HIRAKAWA HEWTECH CORP.
00C020	Arco Electronic, Control Ltd.
00C030	Integrated Engineering B. V.
00C040	Ecci
00C050	Toyo Denki Seizo K.K.
00C060	ID Scandinavia A/S
00C070	Sectra Secure-Transmission AB
00C080	Netstar Inc
00C090	Praim S.R.L.
00C0A0	Advance Micro Research, Inc.
00C0B0	GCC Technologies,Inc.
00C0C0	Shore Microsystems Inc
00C0D0	Ratoc System Inc
00C0E0	DSC COMMUNICATION CORP.
00C0F0	Kingston Technology Corporation
00C610	Apple, Inc.
00CB00	Private
00CD90	MAS Elektronik AG
00D000	FERRAN SCIENTIFIC, INC.
00D010	CONVERGENT NETWORKS, INC.
00D020	AIM SYSTEM, INC.
00D030	Safetran Systems Corp
00D040	SYSMATE CO., LTD.
00D050	Iskratel
00D060	Panasonic Europe Ltd.
00D070	LONG WELL ELECTRONICS CORP.
00D080	EXABYTE CORPORATION
00D090	Cisco Systems, Inc
00D0A0	MIPS DENMARK
00D0B0	BITSWITCH LTD.
00D0C0	Cisco Systems, Inc
00D0D0	ZHONGXING TELECOM LTD.
00D0E0	DOOIN ELECTRONICS CO.
00D0F0	CONVISION TECHNOLOGY GMBH
00DD00	Ungermann-Bass			IBM RT
00E000	FUJITSU LIMITED
00E010	HESS SB-AUTOMATENBAU GmbH
00E020	TECNOMEN OY
00E030	MELITA INTERNATIONAL CORP.
00E040	DeskStation Technology, Inc.
00E050	EXECUTONE INFORMATION SYSTEMS, INC.
00E060	Sherwood
00E070	DH TECHNOLOGY
00E080	CONTROL RESOURCES CORPORATION
00E090	BECKMAN LAB. AUTOMATION DIV.
00E0A0	WILTRON CO.
00E0B0	Cisco Systems			Various systems reported
00E0C0	SEIWA ELECTRIC MFG. CO., LTD.
00E0D0	NETSPEED, INC.
00E0E0	SI ELECTRONICS, LTD.
00E0F0	ABLER TECHNOLOGY, INC.
00E400	Sichuan Changhong Electric Ltd.
00F860	PT. Panggung Electric Citrabuana
00FC70	Intrepid Control Systems, Inc.
026060	3com
0270B0	M/A-COM INC. COMPANIES
040AE0	XMIT AG COMPUTER NETWORKS
041D10	Dream Ware Inc.
043110	Inspur Group Co., Ltd.
044A50	Ramaxel Technology (Shenzhen) limited company
0463E0	Nome Oy
047D50	Shenzhen Kang Ying Technology Co.Ltd.
049790	Lartech telecom LLC
04BD70	HUAWEI TECHNOLOGIES CO.,LTD
04C880	Samtec Inc
080010	AT&T [misrepresentation of 800010?]
080020	Sun
080030	Cern
080040	FERRANTI COMPUTER SYS. LIMITED
080050	DAISY SYSTEMS CORP.
080060	INDUSTRIAL NETWORKING INC.
