00000B	MATRIX CORPORATION
000C5B	HANWANG TECHNOLOGY CO.,LTD
000C6B	Kurz Industrie-Elektronik GmbH
000C7B	ALPHA PROJECT Co.,Ltd.
000C8B	Connect Tech Inc
000C9B	EE Solutions, Inc
000CAB	COMMEND International
000CBB	ISKRAEMECO
000CCB	Design Combus Ltd
000CDB	Brocade Communications Systems, Inc.
000CEB	CNMP Networks, Inc.
000CFB	Korea Network Systems
000D0B	BUFFALO.INC
000D1B	Kyoto Electronics Manufacturing Co., Ltd.
000D2B	Racal Instruments
000D3B	Microelectronics Technology Inc.
000D4B	Roku, Inc.
000D5B	Smart Empire Investments Limited
000D6B	Mita-Teknik A/S
000D7B	Consensys Computers Inc.
000D8B	T&D Corporation
000D9B	Heraeus Electro-Nite International N.V.
000DAB	Parker Hannifin GmbH Electromechanical Division Europe
000DBB	Nippon Dentsu Co.,Ltd.
000DCB	Petcomkorea Co., Ltd.
000DDB	AIRWAVE TECHNOLOGIES INC.
000DEB	CompXs Limited
000DFB	Komax AG
000E0B	Netac Technology Co., Ltd.
000E1B	IAV GmbH
000E2B	Safari Technologies
000E3B	Hawking Technologies, Inc.
000E4B	atrium c and i
000E5B	ParkerVision - Direct2Data
000E6B	Janitza electronics GmbH
000E7B	Toshiba
000E8B	Astarte Technology Co, Ltd.
000E9B	Ambit Microsystems Corporation
000EAB	Cray Inc
000EBB	Everbee Networks
000ECB	VineSys Technology
000EDB	XiNCOM Corp.
000EEB	Sandmartin(zhong shan)Electronics Co.,Ltd
000EFB	Macey Enterprises
000F0B	Kentima Technologies AB
000F1B	Ego Systems Inc.
000F2B	GREENBELL SYSTEMS
000F3B	Fuji System Machines Co., Ltd.
000F4B	Oracle Corporation
000F5B	Delta Information Systems, Inc.
000F6B	GateWare Communications GmbH
000F7B	Arce Sistemas, S.A.
000F8B	Orion MultiSystems Inc
000F9B	Ross Video Limited
000FAB	Kyushu Electronics Systems Inc.
000FBB	Nokia Siemens Networks GmbH & Co. KG.
000FCB	3Com Ltd
000FDB	Westell Technologies Inc.
000FEB	Cylon Controls
000FFB	Nippon Denso Industry Co., Ltd.
00100B	Cisco Systems
00101B	CORNET TECHNOLOGY, INC.
00102B	UMAX DATA SYSTEMS, INC.
00103B	HIPPI NETWORKING FORUM
00104B	3Com				3C905-TX PCI
00105B	NET INSIGHT AB
00106B	SONUS NETWORKS, INC.
00107B	Cisco Systems
00108B	LASERANIMATION SOLLINGER GMBH
00109B	Emulex Corporation
0010AB	KOITO ELECTRIC INDUSTRIES, LTD.
0010BB	DATA & INFORMATION TECHNOLOGY
0010CB	FACIT K.K.
0010DB	Now part of Juniper Networks
0010EB	SELSIUS SYSTEMS, INC.
0010FB	ZIDA TECHNOLOGIES LIMITED
00110B	Franklin Technology Systems
00111B	Targa Systems Div L-3 Communications
00112B	NetModule AG
00113B	Micronet Communications Inc.
00114B	Francotyp-Postalia GmbH
00115B	Elitegroup Computer Systems Co.,Ltd.
00116B	Digital Data Communications Asia Co.,Ltd
00117B	Büchi  Labortechnik AG
00118B	Alcatel-               # Alcatel-Lucent Enterprise
00119B	Telesynergy Research Inc.
0011AB	TRUSTABLE TECHNOLOGY CO.,LTD.
0011BB	Cisco Systems, Inc
0011CB	Jacobsons AB
0011DB	Land-Cellular Corporation
0011EB	Innovative Integration
0011FB	Heidelberg Engineering GmbH
00120B	Chinasys Technologies Limited
00121B	Sound Devices, LLC
00122B	Virbiage Pty Ltd
00123B	KeRo Systems ApS
00124B	Texas Instruments
00125B	KAIMEI ELECTRONI
00126B	Ascalade Communications Limited
00127B	VIA Networking Technologies, Inc.
00128B	Sensory Networks Inc
00129B	E2S Electronic Engineering Solutions, S.L.
0012AB	WiLife, Inc.
0012BB	Telecommunications Industry Association TR-41 Committee
0012CB	CSS Inc.
0012DB	ZIEHL industrie-elektronik GmbH + Co KG
0012EB	PDH Solutions, LLC
0012FB	Samsung Electronics Co.,Ltd
00130B	Mextal B.V.
00131B	BeCell Innovations Corp.
00132B	Phoenix Digital
00133B	Speed Dragon Multimedia Limited
00134B	ToGoldenNet Technology Inc.
00135B	PanelLink Cinema, LLC
00136B	E-Tec
00137B	Movon Corporation
00138B	Phantom Technologies LLC
00139B	ioIMAGE Ltd.
0013AB	Telemotive AG
0013BB	Smartvue Corporation
0013CB	Zenitel Norway AS
0013DB	SHOEI Electric Co.,Ltd
0013EB	Sysmaster Corporation
0013FB	RKC INSTRUMENT INC.
00140B	FIRST INTERNATIONAL COMPUTER, INC.
00141B	Cisco Systems, Inc
00142B	Edata Communication Inc.
00143B	Sensovation AG
00144B	Hifn, Inc.
00145B	SeekerNet Inc.
00146B	Anagran, Inc.
00147B	Iteris, Inc.
00148B	Globo Electronic GmbH & Co. KG
00149B	Nokota Communications, LLC
0014AB	Senhai Electronic Technology Co., Ltd.
0014BB	Open Interface North America
0014CB	LifeSync Corporation
0014DB	Elma Trenew Electronic GmbH
0014EB	AwarePoint Corporation
0014FB	Technical Solutions Inc.
00150B	SAGE INFOTECH LTD.
00151B	Isilon Systems Inc.
00152B	Cisco Systems, Inc
00153B	EMH metering GmbH & Co. KG
00154B	Wonde Proud Technology Co., Ltd
00155B	Sampo Corporation
00156B	Perfisans Networks Corp.
00157B	Leuze electronic GmbH + Co. KG
00158B	Park Air Systems Ltd
00159B	Nortel Networks
0015AB	PRO CO SOUND INC
0015BB	SMA Solar Technology AG
0015CB	Surf Communication Solutions Ltd.
0015DB	Canesta Inc.
0015EB	zte corporation
0015FB	setex schermuly textile computer gmbh
00160B	TVWorks LLC
00161B	Micronet Corporation
00162B	Togami Electric Mfg.co.,Ltd.
00163B	VertexRSI/General Dynamics
00164B	Quorion Data Systems GmbH
00165B	Grip Audio
00166B	Samsung Electronics Co.,Ltd
00167B	Haver&Boecker
00168B	Paralan Corporation
00169B	Alstom Transport
0016AB	Dansensor A/S
0016BB	Law-Chain Computer Technology Co Ltd
0016CB	Apple, Inc.
0016DB	Samsung Electronics Co.,Ltd
0016EB	Intel Corporate
0016FB	SHENZHEN MTC CO LTD
00170B	Contela, Inc.
00171B	Innovation Lab Corp.
00172B	Global Technologies Inc.
00173B	Cisco Systems, Inc
00174B	Nokia Danmark A/S
00175B	ACS Solutions Switzerland Ltd.
00176B	Kiyon, Inc.
00177B	Azalea Networks inc
00178B	Teledyne Technologies Incorporated
00179B	CHANT SINCERE CO.,LTD
0017AB	Nintendo Co., Ltd.
0017BB	Syrinx Industrial Electronics
0017CB	Juniper Networks
0017DB	CANKO TECHNOLOGIES INC.
0017EB	Texas Instruments
0017FB	Fa
00180B	Brilliant Telecommunications
00181B	TaiJin Metal Co., Ltd.
00182B	Softier
00183B	CENITS Co., Ltd.
00184B	Las Vegas Gaming, Inc.
00185B	Network Chemistry, Inc
00186B	Sambu Communics CO., LTD.
00187B	4NSYS Co. Ltd.
00188B	Dell Inc.
00189B	Thomson Inc.
0018AB	BEIJING LHWT MICROELECTRONICS INC.
0018BB	Eliwell Controls srl
0018CB	Tecobest Technology Limited
0018DB	EPL Technology Ltd
0018EB	Blue Zen Enterprises Private Limited
0018FB	Compro Technology
00190B	Southern Vision Systems, Inc.
00191B	Sputnik Engineering AG
00192B	Aclara RF Systems Inc.
00193B	Wilibox Deliberant Group LLC
00194B	Sagemcom Broadband SAS
00195B	D-Link Corporation
00196B	Danpex Corporation
00197B	Picotest Corp.
00198B	Novera Optics Korea, Inc.
00199B	Diversified Technical Systems, Inc.
0019AB	Raycom CO ., LTD
0019BB	Hewlett Packard
0019CB	ZyXEL Communications Corporation
0019DB	MICRO-STAR INTERNATIONAL CO., LTD.
0019EB	Pyronix Ltd
0019FB	BSkyB Ltd
001A0B	BONA TECHNOLOGY INC.
001A1B	ARRIS Group, Inc.
001A2B	Ayecom Technology Co., Ltd.
001A3B	Doah Elecom Inc.
001A4B	Hewlett Packard
001A5B	NetCare Service Co., Ltd.
001A6B	Universal Global Scientific Industrial Co., Ltd.
001A7B	Teleco, Inc.
001A8B	CHUNIL ELECTRIC IND., CO.
001A9B	ADEC & Parter AG
001AAB	eWings s.r.l.
001ABB	Fontal Technology Incorporation
001ACB	Autocom Products Ltd
001ADB	ARRIS Group, Inc.
001AEB	Allied Telesis R&D Center K.K.
001AFB	Joby Inc.
001B0B	Phidgets Inc.
001B1B	Siemens AG,
001B2B	Cisco Systems, Inc
001B3B	Yi-Qing CO., LTD
001B4B	SANION Co., Ltd.
001B5B	2Wire Inc
001B6B	Swyx Solutions AG
001B7B	The Tintometer Ltd
001B8B	NEC Platforms, Ltd.
001B9B	Hose-McCann Communications
001BAB	Telchemy, Incorporated
001BBB	RFTech Co.,Ltd
001BCB	PEMPEK SYSTEMS PTY LTD
001BDB	Valeo VECS
001BEB	DMP Electronics INC.
001BFB	ALPS ELECTRIC CO.,LTD.
001C0B	SmartAnt Telecom
001C1B	Hyperstone GmbH
001C2B	Alertme.com Limited
001C3B	AmRoad Technology Inc.
001C4B	Gener8, Inc.
001C5B	Chubb Electronic Security Systems Ltd
001C6B	COVAX  Co. Ltd
001C7B	Castlenet Technology Inc.
001C8B	MJ Innovations Ltd.
001C9B	FEIG ELECTRONIC GmbH
001CAB	Meyer Sound Laboratories, Inc.
001CBB	MusicianLink
001CCB	Forth Corporation Public Company Limited
001CDB	CARPOINT CO.,LTD
001CEB	Nortel Networks
001CFB	ARRIS Group, Inc.
001D0B	Power Standards Lab
001D1B	Sangean Electronics Inc.
001D2B	Wuhan Pont Technology CO. , LTD
001D3B	Nokia Danmark A/S
001D4B	Grid Connect Inc.
001D5B	Tecvan Informática Ltda
001D6B	ARRIS Group, Inc.
001D7B	Ice Energy, Inc.
001D8B	ADB Broadband Italia
001D9B	Hokuyo Automatic Co., Ltd.
001DAB	SwissQual License AG
001DBB	Dynamic System Electronics Corp.
001DCB	Exéns Development Oy
001DDB	C-BEL Corporation
001DEB	DINEC International
001DFB	NETCLEUS Systems Corporation
001E0B	Hewlett Packard
001E1B	Digital Stream Technology, Inc.
001E2B	Radio Systems Design, Inc.
001E3B	Nokia Danmark A/S
001E4B	City Theatrical
001E5B	Unitron Company, Inc.
001E6B	Cisco SPVTG
001E7B	R.I.CO. S.r.l.
001E8B	Infra Access Korea Co., Ltd.
001E9B	San-Eisha, Ltd.
001EAB	TeleWell Oy
001EBB	BLUELIGHT TECHNOLOGY INC.
001ECB	RPC Energoautomatika Ltd
001EDB	Giken Trastem Co., Ltd.
001EEB	Talk-A-Phone Co.
001EFB	Trio Motion Technology Ltd
001F0B	Federal State Unitary Enterprise Industrial UnionElectropribor
001F1B	RoyalTek Company Ltd.
001F2B	Orange Logic
001F3B	Intel Corporate
001F4B	Lineage Power
001F5B	Apple, Inc.
001F6B	LG Electronics (Mobile Communications)
001F7B	TechNexion Ltd.
001F8B	Cache IQ
001F9B	Posbro
001FAB	I.S HIGH TECH.INC
001FBB	Xenatech Co.,LTD
001FCB	NIW Solutions
001FDB	Network Supply Corp.,
001FEB	Trio Datacom Pty Ltd
001FFB	Green Packet Bhd
00200B	OCTAGON SYSTEMS CORP.
00201B	NORTHERN TELECOM/NETWORK
00202B	ATML (Advanced Telecommunications Modules, Ltd.)
00203B	WISDM LTD.
00204B	Autocomputer Co Ltd
00205B	Kentrox, LLC
00206B	Minolta Co., Ltd		Network printers
00207B	Intel Corporation
00208B	Focus Enhancements
00209B	ERSAT ELECTRONIC GMBH
0020AB	MICRO INDUSTRIES CORP.
0020BB	ZAX CORPORATION
0020CB	PRETEC ELECTRONICS CORP.
0020DB	XNET TECHNOLOGY, INC.
0020EB	CINCINNATI MICROWAVE, INC.
0020FB	OCTEL COMMUNICATIONS CORP.
00210B	GEMINI TRAZE RFID PVT. LTD.
00211B	Cisco Systems, Inc
00212B	MSA Auer
00213B	Berkshire Products, Inc
00214B	Shenzhen HAMP Science & Technology Co.,Ltd
00215B	SenseAnywhere
00216B	Intel Corporate
00217B	Bastec AB
00218B	Wescon Technology, Inc.
00219B	Dell Inc.
0021AB	Nokia Danmark A/S
0021BB	Riken Keiki Co., Ltd.
0021CB	SMS TECNOLOGIA ELETRONICA LTDA
0021DB	Santachi Video Technology (Shenzhen) Co., Ltd.
0021EB	ESP SYSTEMS, LLC
0021FB	LG Electronics (Mobile Communications)
00220B	National Source Coding Center
00221B	Morega Systems
00222B	Nucomm, Inc.
00223B	Communication Networks, LLC
00224B	AIRTECH TECHNOLOGIES, INC.
00225B	Teradici Corporation
00226B	Cisco-Linksys, LLC
00227B	Apogee Labs, Inc.
00228B	Kensington Computer Products Group
00229B	AverLogic Technologies, Inc.
0022AB	Shenzhen Turbosight Technology Ltd
0022BB	beyerdynamic GmbH & Co. KG
0022CB	IONODES Inc.
0022DB	Translogic Corporation
0022EB	Data Respons A/S
0022FB	Intel Corporate
00230B	ARRIS Group, Inc.
00231B	Danaher Motion - Kollmorgen
00232B	IRD A/S
00233B	C-Matic Systems Ltd
00234B	Inyuan Technology Inc.
00235B	Gulfstream
00236B	Xembedded, Inc.
00237B	WHDI LLC
00238B	QUANTA COMPUTER INC.
00239B	Elster Solutions, LLC
0023AB	Cisco Systems, Inc
0023BB	Schmitt Industries
0023CB	Shenzhen Full-join Technology Co.,Ltd
0023DB	saxnet gmbh
0023EB	Cisco Systems, Inc
0023FB	IP Datatel, LLC.
00240B	Virtual Computer Inc.
00241B	iWOW Communications Pte Ltd
00242B	Hon Hai Precision Ind. Co.,Ltd.
00243B	CSSI (S) Pte Ltd
00244B	PERCEPTRON INC
00245B	RAIDON TECHNOLOGY, INC.
00246B	Covia, Inc.
00247B	Actiontec Electronics, Inc
00248B	HYBUS CO., LTD.
00249B	Action Star Enterprise Co., Ltd.
0024AB	A7 Engineering, Inc.
0024BB	CENTRAL Corporation
0024CB	Autonet Mobile
0024DB	Alcohol Monitoring Systems
0024EB	ClearPath Networks, Inc.
0024FB	Private
00250B	CENTROFACTOR  INC
00251B	Philips CareServant
00252B	Stirling Energy Systems
00253B	din Dietmar Nocker Facilitymanagement GmbH
00254B	Apple, Inc.
00255B	CoachComm, LLC
00256B	ATENIX E.E. s.r.l.
00257B	STJ  ELECTRONICS  PVT  LTD
00258B	Mellanox Technologies, Inc.
00259B	Beijing PKUNITY Microsystems Technology Co., Ltd
0025AB	AIO LCD PC BU / TPV
0025BB	INNERINT Co., Ltd.
0025CB	Reiner SCT
0025DB	ATI Electronics(Shenzhen) Co., LTD
0025EB	Reutech Radar Systems (PTY) Ltd
0025FB	Tunstall Healthcare A/S
00260B	Cisco Systems, Inc
00261B	LAUREL BANK MACHINES CO., LTD.
00262B	Wongs Electronics Co. Ltd.
00263B	Onbnetech
00265B	Hitron Technologies. Inc
00266B	SHINE UNION ENTERPRISE LIMITED
00267B	GSI Helmholtzzentrum für Schwerionenforschung GmbH
00268B	Guangzhou Escene Computer Technology Limited
00269B	SOKRAT Ltd.
0026AB	Seiko Epson Corporation
0026BB	Apple, Inc.
0026CB	Cisco Systems, Inc
0026DB	Ionics EMS Inc.
0026EB	Advanced Spectrum Technology Co., Ltd.
0026FB	AirDio Wireless, Inc.
00270B	Adura Technologies
00271B	Alec Sicherheitssysteme GmbH
00300B	mPHASE Technologies, Inc.
00301B	SHUTTLE, INC.
00302B	INALP NETWORKS, INC.
00303B	PowerCom Technology
00304B	ORBACOM SYSTEMS, INC.
00305B	Toko Inc.
00306B	CMOS SYSTEMS, INC.
00307B	Cisco Systems, Inc
00308B	Brix Networks
00309B	Smartware
0030AB	DELTA NETWORKS, INC.
0030BB	CacheFlow, Inc.
0030CB	OMNI FLOW COMPUTERS, INC.
0030DB	Mindready Solutions, Inc.
0030EB	TURBONET COMMUNICATIONS, INC.
0030FB	AZS Technology AG
003A9B	Cisco Systems, Inc
00400B	Cresc
00401B	PRINTER SYSTEMS CORP.
00402B	Trigem
00403B	SYNERJET INTERNATIONAL CORP.
00404B	MAPLE COMPUTER SYSTEMS
00405B	Funasset Limited
00406B	Sysgen
00407B	SCIENTIFIC ATLANTA
00408B	RAYLAN CORPORATION
00409B	HAL COMPUTER SYSTEMS INC.
0040AB	ROLAND DG CORPORATION
0040BB	GOLDSTAR CABLE CO., LTD.
0040CB	LANWAN TECHNOLOGIES
0040DB	ADVANCED TECHNICAL SOLUTIONS
0040EB	MARTIN MARIETTA CORPORATION
0040FB	Cascade Communications Corp.
00464B	HUAWEI TECHNOLOGIES CO.,LTD
004F4B	Pine Technology Ltd.
00500B	Cisco Systems, Inc
00501B	ABL CANADA, INC.
00502B	GENRAD LTD.
00503B	MEDIAFIRE CORPORATION
00504B	BARCONET N.V.
00505B	KAWASAKI LSI U.S.A., INC.
00506B	Spx-Ateg
00507B	MERLOT COMMUNICATIONS
00508B	Hewlett Packard
00509B	SWITCHCORE AB
0050AB	NALTEC, Inc.
0050BB	CMS TECHNOLOGIES
0050CB	Jetter
0050DB	CONTEMPORARY CONTROL
0050EB	ALPHA-TOP CORPORATION
0050FB	VSK ELECTRONICS
00562B	Cisco Systems, Inc
00600B	LOGWARE GmbH
00601B	MESA ELECTRONICS
00602B	PEAK AUDIO
00603B	AMTEC spa
00604B	Safe-com GmbH & Co. KG
00605B	IntraServer Technology, Inc.
00606B	Synclayer Inc.
00607B	FORE SYSTEMS, INC.
00608B	ConferTech International
00609B	AstroNova, Inc
0060AB	LARSCOM INCORPORATED
0060BB	Cabletron Systems, Inc.
0060CB	HITACHI ZOSEN CORPORATION
0060DB	NTP ELEKTRONIK A/S
0060EB	FOURTHTRACK SYSTEMS
0060FB	PACKETEER, INC.
00664B	HUAWEI TECHNOLOGIES CO.,LTD
006DFB	Vutrix Technologies Ltd
00800B	CSK CORPORATION
00801B	Kodiak Technology
00802B	INTEGRATED MARKETING CO
00803B	APT Communications, Inc.
00804B	EAGLE TECHNOLOGIES PTY.LTD.
00805B	Condor Systems, Inc.
00806B	Schmid Telecommunication
00807B	Artel Communications Corp.
00808B	Dacoll Limited
00809B	Justsystem Corporation
0080AB	DUKANE NETWORK INTEGRATION
0080BB	HUGHES LAN SYSTEMS
0080CB	FALCO DATA PRODUCTS
0080DB	GRAPHON CORPORATION
0080EB	COMPCONTROL B.V.
0080FB	BVM Limited
00900B	LANNER ELECTRONICS, INC.
00901B	DIGITAL CONTROLS
00902B	Cisco				Ethernet Switches and Light Streams
00903B	TriEMS Research Lab, Inc.
00904B	Gemtek Technology Co., Ltd.
00905B	RAYMOND AND LAE ENGINEERING
00906B	APPLIED RESOURCES, INC.
00907B	E-TECH, INC.
00908B	Tattile SRL
00909B	MARKEM-IMAJE
0090AB	Cisco
0090BB	TAINET COMMUNICATION SYSTEM Corp.
0090CB	Wireless OnLine, Inc.
0090DB	NEXT LEVEL COMMUNICATIONS
0090EB	SENTRY TELECOM SYSTEMS
0090FB	PORTWELL, INC.
00A00B	COMPUTEX CO., LTD.
00A01B	PREMISYS COMMUNICATIONS, INC.
00A02B	TRANSITIONS RESEARCH CORP.
00A03B	TOSHIN ELECTRIC CO., LTD.
00A04B	Sonic Systems Inc.		EtherFE 10/100 PCI for Mac or PC
00A05B	MARQUIP, INC.
00A06B	DMS DORSCH MIKROSYSTEM GMBH
00A07B	DAWN COMPUTER INCORPORATION
00A08B	ASTON ELECTRONIC DESIGNS LTD.
00A09B	QPSX COMMUNICATIONS, LTD.
00A0AB	NETCS INFORMATIONSTECHNIK GMBH
00A0BB	HILAN GMBH
00A0CB	ARK TELECOMMUNICATIONS, INC.
00A0DB	FISHER & PAYKEL PRODUCTION
00A0EB	Encore Networks, Inc.
00A0FB	TORAY ENGINEERING CO., LTD.
00B03B	HiQ Networks
00B0DB	Nextcell, Inc.
00C00B	Norcontrol A.S.
00C01B	Socket Communications
00C02B	Gerloff Gesellschaft Fur
00C03B	Multiaccess Computing Corp
00C04B	CREATIVE MICROSYSTEMS
00C05B	Networks Northwest Inc
00C06B	OSI Plus Corporation
00C07B	Ascend Communications		ISDN bridges/routers
00C08B	RISQ Modular Systems Inc
00C09B	Reliance Comm/Tec, R-Tec Systems Inc
00C0AB	Jupiter Technology Inc
00C0BB	Forval Creative Inc
00C0CB	Control Technology Corporation
00C0DB	IPC Corporation (Pte) Ltd
00C0EB	SEH COMPUTERTECHNIK GMBH
00C0FB	Advanced Technology Labs
00C5DB	Datatech Sistemas Digitales Avanzados SL
00C88B	Cisco Systems, Inc
00D00B	RHK TECHNOLOGY, INC.
00D01B	MIMAKI ENGINEERING CO., LTD.
00D02B	JETCELL, INC.
00D03B	VISION PRODUCTS PTY. LTD.
00D04B	LA CIE GROUP S.A.
00D05B	ACROLOOP MOTION CONTROL
00D06B	SR TELECOM INC.
00D07B	COMCAM INTERNATIONAL INC
00D08B	ADVA Optical Networking Ltd.
00D09B	SPECTEL LTD.
00D0AB	DELTAKABEL TELECOM CV
00D0BB	Cisco Systems, Inc
00D0CB	DASAN CO., LTD.
00D0DB	MCQUAY INTERNATIONAL
00D0EB	LIGHTERA NETWORKS, INC.
00D0FB	TEK MICROSYSTEMS, INCORPORATED
00DD0B	UNGERMANN-BASS INC.
00DEFB	Cisco Systems, Inc
00E00B	ROOFTOP COMMUNICATIONS CORP.
00E01B	SPHERE COMMUNICATIONS, INC.
00E02B	Extreme Networks
00E03B	PROMINET CORPORATION
00E04B	JUMP INDUSTRIELLE COMPUTERTECHNIK GmbH
