000006	XEROX CORPORATION
000686	ZARDCOM Co., Ltd.
000696	Advent Networks
0006A6	Artistic Licence Engineering Ltd
0006B6	Nir-Or Israel Ltd.
0006C6	lesswire AG
0006D6	Cisco Systems, Inc
0006E6	DongYang Telecom Co., Ltd.
0006F6	Cisco Systems, Inc
000706	Sanritz Corporation
000716	J & S Marine Ltd.
000726	Shenzhen Gongjin Electronics Co., Ltd.
000736	Data Video Technologies Co., Ltd.
000746	TURCK, Inc.
000756	Juyoung Telecom
000766	Chou Chin Industrial Co., Ltd.
000776	Federal APD
000786	Wireless Networks Inc.
000796	LSI Systems, Inc.
0007A6	Leviton Manufacturing Co., Inc.
0007B6	Telecom Technology Ltd.
0007C6	VDS Vosskuhler GmbH
0007D6	Commil Ltd.
0007E6	edgeflow Canada Inc.
0007F6	Qqest Software Systems
000806	Raonet Systems, Inc.
000816	Bluelon ApS
000826	Colorado Med Tech
000856	Gamatronic Electronic Industries Ltd.
000866	DSX Access Systems, Inc.
000876	Sdsystem
000886	Hansung Teliann, Inc.
000896	Printronix, Inc.
0008A6	Multiware & Image Co., Ltd.
0008B6	RouteFree, Inc.
0008C6	Philips Consumer Communications
0008D6	HASSNET Inc.
0008E6	Littlefeet
0008F6	Sumitomo Electric Industries,Ltd
000906	Esteem Networks
000916	Listman Home Technologies, Inc.
000926	YODA COMMUNICATIONS, INC.
000936	Ipetronik GmbH & Co. KG
000946	Cluster Labs GmbH
000956	Network Systems Group, Ltd. (NSG)
000966	Thales Navigation
000976	Datasoft ISDN Systems GmbH
000986	Metalink LTD.
000996	Rdi
0009A6	Ignis Optics, Inc.
0009B6	Cisco Systems, Inc
0009C6	Visionics Corporation
0009D6	KNC One GmbH
0009E6	Cyber Switching Inc.
0009F6	Shenzhen Eastern Digital Tech Ltd.
000A06	Teledex LLC
000A16	Lassen Research
000A26	CEIA S.p.A.
000A36	Synelec Telecom Multimedia
000A46	ARO WELDING TECHNOLOGIES SAS
000A56	HITACHI Maxell Ltd.
000A66	MITSUBISHI ELECTRIC SYSTEM & SERVICE CO.,LTD.
000A76	Beida Jade Bird Huaguang Technology Co.,Ltd
000A86	Lenze
000A96	MEWTEL TECHNOLOGY INC.
000AA6	Hochiki Corporation
000AB6	COMPUNETIX, INC
000AC6	Overture Networks.
000AD6	BeamReach Networks
000AE6	Elitegroup Computer Systems Co.,Ltd.
000AF6	Emerson Climate Technologies Retail Solutions, Inc.
000B06	ARRIS Group, Inc.
000B16	Communication Machinery Corporation
000B26	Wetek Corporation
000B36	Productivity Systems, Inc.
000B46	Cisco Systems, Inc
000B56	Cybernetics
000B66	Teralink Communications
000B76	ET&T Technology Co. Ltd.
000B86	Aruba Networks
000B96	Innotrac Diagnostics Oy
000BA6	Miyakawa Electric Works Ltd.
000BB6	Metalligence Technology Corp.
000BC6	ISAC, Inc.
000BD6	Paxton Access Ltd
000BE6	Datel Electronics
000BF6	Nitgen Co., Ltd
000C06	Nixvue Systems  Pte Ltd
000C16	Concorde Microsystems Inc.
000C26	Weintek Labs. Inc.
000C36	SHARP TAKAYA ELECTRONICS INDUSTRY CO.,LTD.
000C46	Allied Telesyn Inc.
000C56	Megatel Computer (1986) Corp.
000C66	Pronto Networks Inc
000C76	MICRO-STAR INTERNATIONAL CO., LTD.
000C86	Cisco Systems, Inc
000C96	OQO, Inc.
000CA6	Mintera Corporation
000CB6	NANJING SEU MOBILE & INTERNET TECHNOLOGY CO.,LTD
000CC6	Ka-Ro electronics GmbH
000CD6	PARTNER TECH
000CE6	Meru Networks Inc
000CF6	Sitecom Europe BV
000D06	Compulogic Limited
000D16	UHS Systems Pty Ltd
000D26	Primagraphics Limited
000D36	Wu Han Routon Electronic Co., Ltd
000D46	Parker SSD Drives
000D56	Dell Inc.
000D66	Cisco Systems, Inc
000D76	Hokuto Denshi Co,. Ltd.
000D86	Huber + Suhner AG
000D96	Vtera Technology Inc.
000DA6	Universal Switching Corporation
000DB6	Broadcom
000DC6	DigiRose Technology Co., Ltd.
000DD6	ITI    LTD
000DE6	YOUNGBO ENGINEERING CO.,LTD
000DF6	Technology Thesaurus Corp.
000E06	Team Simoco Ltd
000E16	SouthWing S.L.
000E26	Gincom Technology Corp.
000E36	HEINESYS, Inc.
000E46	Niigata Seimitsu Co.,Ltd.
000E56	4G Systems GmbH & Co. KG
000E66	Hitachi Industry & Control Solutions, Ltd.
000E76	GEMSOC INNOVISION INC.
000E86	Alcatel North America
000E96	Cubic Defense Applications, Inc.
000EA6	ASUSTek COMPUTER INC.
000EB6	Riverbed Technology, Inc.
000EC6	ASIX ELECTRONICS CORP.
000ED6	Cisco Systems, Inc
000EE6	Adimos Systems LTD
000EF6	E-TEN Information Systems Co., Ltd.
000F06	Nortel Networks
000F16	JAY HOW TECHNOLOGY CO.,
000F26	WorldAccxx  LLC
000F36	Accurate Techhnologies, Inc.
000F46	SINAR AG
000F56	Continuum Photonics Inc
000F66	Cisco-Linksys, LLC
000F76	Digital Keystone, Inc.
000F86	BlackBerry RTS
000F96	Telco Systems, Inc.
000FA6	S2 Security Corporation
000FB6	Europlex Technologies
000FC6	Eurocom Industries A/S
000FD6	Sarotech Co., Ltd
000FE6	MBTech Systems, Inc.
000FF6	DARFON LIGHTING CORP
001006	Thales Contact Solutions Ltd.
001016	T.SQWARE
001026	ACCELERATED NETWORKS, INC.
001036	INTER-TEL INTEGRATED SYSTEMS
001046	ALCORN MCBRIDE INC.
001056	SODICK CO., LTD.
001066	ADVANCED CONTROL SYSTEMS, INC.
001076	EUREM GmbH
001086	ATTO Technology, Inc.
001096	TRACEWELL SYSTEMS, INC.
0010A6	Cisco
0010B6	ENTRATA COMMUNICATIONS CORP.
0010C6	Universal Global Scientific Industrial Co., Ltd.
0010D6	Exelis
0010E6	APPLIED INTELLIGENT SYSTEMS, INC.
0010F6	Cisco
001106	Siemens NV (Belgium)
001116	COTEAU VERT CO., LTD.
001126	Venstar Inc.
001136	Goodrich Sensor Systems
001146	Telecard-Pribor Ltd
001156	Pharos Systems NZ
001166	Taelim Electronics Co., Ltd.
001176	Intellambda Systems, Inc.
001186	Prime Systems, Inc.
001196	Actuality Systems, Inc.
0011A6	Sypixx Networks
0011B6	Open Systems International
0011C6	Seagate Technology
0011D6	HandEra, Inc.
0011E6	Scientific Atlanta
0011F6	Asia Pacific Microsystems , Inc.
001206	iQuest (NZ) Ltd
001216	ICP Internet Communication Payment AG
001226	Japan Direx Corporation
001236	ConSentry Networks
001246	T.O.M TECHNOLOGY INC..
001256	LG INFORMATION & COMM.
001266	Swisscom Hospitality Services SA
001276	CG Power Systems Ireland Limited
001286	ENDEVCO CORP
001296	Addlogix
0012A6	Dolby Australia
0012B6	Santa Barbara Infrared, Inc.
0012C6	TGC America, Inc
0012D6	Jiangsu Yitong High-Tech Co.,Ltd
0012E6	SPECTEC COMPUTER CO., LTD.
0012F6	MDK CO.,LTD.
001306	Always On Wireless
001316	L-S-B Broadcast Technologies GmbH
001326	ECM Systems Ltd
001336	Tianjin 712 Communication Broadcasting co., ltd.
001346	D-Link Corporation
001356	FLIR Radiation Inc
001366	Neturity Technologies Inc.
001376	Tabor Electronics Ltd.
001386	ABB Inc./Totalflow
001396	Acbel Polytech Inc.
0013A6	Extricom Ltd
0013B6	Sling Media, Inc.
0013C6	OpenGear, Inc
0013D6	TII NETWORK TECHNOLOGIES, INC.
0013E6	Technolution
0013F6	Cintech
001406	Go Networks
001416	Scosche Industries, Inc.
001426	NL Technology
001436	Qwerty Elektronik AB
001446	SuperVision Solutions LLC
001456	Edge Products
001466	Kleinhenz Elektronik GmbH
001476	MultiCom Industries Limited
001486	Echo Digital Audio Corporation
001496	Phonic Corp.
0014A6	Teranetics, Inc.
0014B6	Enswer Technology Inc.
0014C6	Quixant Ltd
0014D6	Jeongmin Electronics Co.,Ltd.
0014E6	AIM Infrarotmodule GmbH
0014F6	Juniper Networks
001506	Neo Photonics
001516	URIEL SYSTEMS INC.
001526	Remote Technologies Inc
001536	Powertech co.,Ltd
001546	ITG Worldwide Sdn Bhd
001556	Sagemcom Broadband SAS
001566	A-First Technology Co., Ltd.
001576	Labitec-               # LABiTec - Labor Biomedical Technologies GmbH
001586	Xiamen Overseas Chinese Electronic Co., Ltd.
001596	ARRIS Group, Inc.
0015A6	Digital Electronics Products Ltd.
0015B6	ShinMaywa Industries, Ltd.
0015C6	Cisco Systems, Inc
0015D6	OSLiNK Sp. z o.o.
0015E6	MOBILE TECHNIKA Inc.
0015F6	SCIENCE AND ENGINEERING SERVICES, INC.
001606	Ideal Industries
001616	BROWAN COMMUNICATION INC.
001626	ARRIS Group, Inc.
001636	QUANTA COMPUTER INC.
001646	Cisco Systems, Inc
001656	Nintendo Co., Ltd.
001666	Quantier Communication Inc.
001676	Intel Corporate
001686	Karl Storz Imaging
001696	QDI Technology (H.K.) Limited
0016A6	Dovado FZ-LLC
0016B6	Cisco-Linksys, LLC
0016C6	North Atlantic Industries
0016D6	TDA Tech Pty Ltd
0016E6	GIGA-BYTE TECHNOLOGY CO.,LTD.
0016F6	Video Products Group
001706	Techfaithwireless Communication Technology Limited.
001716	Qno Technology Inc.
001726	m2c Electronic Technology Ltd.
001736	iiTron Inc.
001746	Freedom9 Inc.
001756	Vinci Labs Oy
001766	Accense Technology, Inc.
001776	Meso Scale Diagnostics, LLC
001786	Wisembed
001796	Rittmeyer AG
0017A6	YOSIN ELECTRONICS CO., LTD.
0017B6	Aquantia
0017C6	Cross Match Technologies Inc
0017D6	Bluechips Microhouse Co.,Ltd.
0017E6	Texas Instruments
0017F6	Pyramid Meriden Inc.
001806	Hokkei Industries Co., Ltd.
001816	Ubixon Co., Ltd.
001826	Cale Access AB
001836	Reliance Electric Limited
001846	Crypto S.A.
001856	EyeFi, Inc
001866	Leutron Vision
001876	WowWee Ltd.
001886	EL-TECH, INC.
001896	Great Well Electronic LTD
0018A6	Persistent Systems, LLC
0018B6	S3C, Inc.
0018C6	OPW Fuel Management Systems
0018D6	Swirlnet A/S
0018E6	Computer Hardware Design SIA
0018F6	Thomson Telecom Belgium
001906	Cisco Systems, Inc
001916	PayTec AG
001926	BitsGen Co., Ltd.
001936	STERLITE OPTICAL TECHNOLOGIES LIMITED
001946	Cianet Industria e Comercio S/A
001956	Cisco Systems, Inc
001966	Asiarock Technology Limited
001976	Xipher Technologies, LLC
001986	Cheng Hongjian
001996	TurboChef Technologies Inc.
0019A6	ARRIS Group, Inc.
0019B6	Euro Emme s.r.l.
0019C6	zte corporation
0019D6	LS Cable and System Ltd.
0019E6	TOYO MEDIC CO.,LTD.
0019F6	Acconet (PTE) Ltd
001A06	OpVista, Inc.
001A16	Nokia Danmark A/S
001A26	Deltanode Solutions AB
001A36	Aipermon GmbH & Co. KG
001A46	Digital Multimedia Technology Co., Ltd
001A56	ViewTel Co,. Ltd.
001A66	ARRIS Group, Inc.
001A76	SDT information Technology Co.,LTD.
001A86	AdvancedIO Systems Inc
001A96	ECLER S.A.
001AA6	Telefunken Radio Communication Systems GmbH &CO.KG
001AB6	Texas Instruments
001AC6	Micro Control Designs
001AD6	JIAGNSU AETNA ELECTRIC CO.,LTD
001AE6	Atlanta Advanced Communications Holdings Limited
001AF6	Woven Systems, Inc.
001B06	Ateliers R. LAUMONIER
001B16	Celtro Ltd.
001B26	RON-Telecom ZAO
001B36	Tsubata Engineering Co.,Ltd. (Head Office)
001B46	Blueone Technology Co.,Ltd
001B56	Tehuti Networks Ltd.
001B66	Sennheiser electronic GmbH & Co. KG
001B76	Ripcode, Inc.
001B86	Bosch Access Systems GmbH
001B96	General Sensing
001BA6	intotech inc.
001BB6	Bird Electronic Corp.
001BC6	Strato Rechenzentrum AG
001BD6	Kelvin Hughes Ltd
001BE6	VR AG
001BF6	CONWISE Technology Corporation Ltd.
001C06	Siemens Numerical Control Ltd., Nanjing
001C16	ThyssenKrupp Elevator
001C26	Hon Hai Precision Ind. Co.,Ltd.
001C36	iNEWiT NV
001C46	Qtum
001C56	Pado Systems, Inc.
001C66	UCAMP CO.,LTD
001C76	The Wandsworth Group Ltd
001C86	Cranite Systems, Inc.
001C96	Linkwise Technology Pte Ltd
001CA6	Win4net
001CB6	Duzon CNT Co., Ltd.
001CC6	ProStor Systems
001CD6	Nokia Danmark A/S
001CE6	Innes
001CF6	Cisco Systems, Inc
001D06	HM Electronics, Inc.
001D16	Sfr
001D26	Rockridgesound Technology Co.
001D36	ELECTRONICS CORPORATION OF INDIA LIMITED
001D46	Cisco Systems, Inc
001D56	Kramer Electronics Ltd.
001D66	Hyundai Telecom
001D76	Eyeheight Ltd.
001D86	Shinwa Industries(China) Ltd.
001D96	WatchGuard Video
001DA6	Media Numerics Limited
001DB6	BestComm Networks, Inc.
001DC6	SNR Inc.
001DD6	ARRIS Group, Inc.
001DE6	Cisco Systems, Inc
001DF6	Samsung Electronics Co.,Ltd
001E06	Wibrain
001E16	Keytronix
001E26	Digifriends Co. Ltd
001E36	Ipte
001E46	ARRIS Group, Inc.
001E56	Bally Wulff Entertainment GmbH
001E66	RESOL Elektronische Regelungen GmbH
001E76	Thermo Fisher Scientific
001E86	MEL Co.,Ltd.
001E96	Sepura Plc
001EA6	Best IT World (India) Pvt. Ltd.
001EB6	TAG Heuer SA
001EC6	Obvius Holdings LLC
001ED6	Alentec & Orion AB
001EE6	Shenzhen Advanced Video Info-Tech Co., Ltd.
001EF6	Cisco Systems, Inc
001F06	Integrated Dispatch Solutions
001F16	Wistron Corporation
001F26	Cisco Systems, Inc
001F36	Bellwin Information Co. Ltd.,
001F46	Nortel Networks
001F56	DIGITAL FORECAST
001F66	PLANAR LLC
001F76	AirLogic Systems Inc.
001F86	Digecor
001F96	APROTECH CO.LTD
001FA6	Stilo srl
001FB6	Chi Lin Technology Co., Ltd.
001FC6	ASUSTek COMPUTER INC.
001FD6	Shenzhen Allywll
001FE6	Alphion Corporation
001FF6	PS Audio International
002006	GARRETT COMMUNICATIONS, INC.
002016	SHOWA ELECTRIC WIRE & CABLE CO
002026	AMKLY SYSTEMS, INC.
002036	BMC Software
002046	CIPRICO, INC.
002056	Neoproducts
002066	General Magic Inc
002076	REUDO CORPORATION
002086	MICROTECH ELECTRONICS LIMITED
002096	Invensys
0020A6	Proxim Inc
0020B6	Agile Networks Inc
0020C6	Nectec
0020D6	Breezecom, Ltd.
0020E6	LIDKOPING MACHINE TOOLS AB
0020F6	Net Tek & Karlnet Inc
002106	RIM Testing Services
002116	Transcon Electronic Systems, spol. s r. o.
002126	Shenzhen Torch Equipment Co., Ltd.
002136	ARRIS Group, Inc.
002146	Sanmina-               # Sanmina-SCI
002156	Cisco Systems, Inc
002166	NovAtel Inc.
002176	YMax Telecom Ltd.
002186	Universal Global Scientific Industrial Co., Ltd.
002196	Telsey  S.p.A.
0021A6	Videotec Spa
0021B6	Triacta Power Technologies Inc.
0021C6	CSJ Global, Inc.
0021D6	LXI Consortium
0021E6	Starlight Video Limited
0021F6	Oracle Corporation
002206	Cyberdyne Inc.
002216	SHIBAURA VENDING MACHINE CORPORATION
002226	Avaak, Inc.
002236	VECTOR SP. Z O.O.
002246	Evoc Intelligent Technology Co.,Ltd.
002256	Cisco Systems, Inc
002266	Nokia Danmark A/S
002276	Triple EYE B.V.
002286	Astron
002296	LinoWave Corporation
0022A6	Sony Computer Entertainment America
0022B6	Superflow Technologies Group
0022C6	Sutus Inc
0022D6	Cypak AB
0022E6	Intelligent Data
0022F6	Syracuse Research Corporation
002306	ALPS ELECTRIC CO.,LTD.
002316	KISAN ELECTRONICS CO
002326	FUJITSU LIMITED
002336	METEL s.r.o.
002346	Vestac
002356	Packet Forensics LLC
002366	Beijing Siasun Electronic System Co.,Ltd.
002376	HTC Corporation
002386	Tour & Andersson AB
002396	ANDES TECHNOLOGY CORPORATION
0023A6	E-Mon
0023B6	SECURITE COMMUNICATIONS / HONEYWELL
0023C6	SMC Corporation
0023D6	Samsung Electronics Co.,Ltd
0023E6	Pirkus, Inc.
0023F6	Softwell Technology Co., Ltd.
002406	Pointmobile
002416	Any Use
002426	NOHMI BOSAI LTD.
002436	Apple, Inc.
002446	MMB Research Inc.
002456	2Wire Inc
002466	Unitron nv
002476	TAP.tv
002486	DesignArt Networks
002496	Ginzinger electronic systems
0024A6	TELESTAR DIGITAL GmbH
0024B6	Seagate Technology
0024C6	Hager Electro SAS
0024D6	Intel Corporate
0024E6	In Motion Technology Inc.
0024F6	MIYOSHI ELECTRONICS CORPORATION
002506	A.I. ANTITACCHEGGIO ITALIA SRL
002516	Integrated Design Tools, Inc.
002526	Genuine Technologies Co., Ltd.
002536	Oki Electric Industry Co., Ltd.
002546	Cisco Systems, Inc
002556	Hon Hai Precision Ind. Co.,Ltd.
002566	Samsung Electronics Co.,Ltd
002576	NELI TECHNOLOGIES
002586	TP-LINK TECHNOLOGIES CO.,LTD.
002596	GIGAVISION srl
0025A6	Central Network Solution Co., Ltd.
0025B6	Telecom FM
0025C6	kasercorp, ltd
0025D6	The Kroger Co.
0025E6	Belgian Monitoring Systems bvba
0025F6	netTALK.com, Inc.
002606	RAUMFELD GmbH
002616	Rosemount Inc.
002626	Geophysical Survey Systems, Inc.
002636	ARRIS Group, Inc.
002646	SHENYANG TONGFANG MULTIMEDIA TECHNOLOGY COMPANY LIMITED
002656	Sansonic Electronics USA
002666	EFM Networks
002676	COMMidt AS
002686	Quantenna Communcations, Inc.
002696	NOOLIX Co., Ltd
0026A6	Trixell
0026B6	ASKEY COMPUTER CORP
0026C6	Intel Corporate
0026D6	Ningbo Andy Optoelectronic Co., Ltd.
0026E6	Visionhitech Co., Ltd.
0026F6	Military Communication Institute
002706	Yoisys
002716	Adachi-Syokai Co., Ltd.
002926	Applied Optoelectronics, Inc Taiwan Branch
002D76	TITECH GmbH
003006	SUPERPOWER COMPUTER
003016	ISHIDA CO., LTD.
003026	HeiTel Digital Video GmbH
003036	RMP ELEKTRONIKSYSTEME GMBH
003046	Controlled Electronic Manageme
003056	Beck IPC GmbH
003066	Rfm
003076	Akamba Corporation
003086	Transistor Devices, Inc.
003096	Cisco Systems, Inc
0030A6	VIANET TECHNOLOGIES, LTD.
0030B6	Cisco Systems, Inc
0030C6	CONTROL SOLUTIONS, INC.
0030D6	MSC VERTRIEBS GMBH
0030E6	Draeger Medical Systems, Inc.
0030F6	SECURELOGIX CORPORATION
003146	Juniper Networks
003676	ARRIS Group, Inc.
004006	SAMPO TECHNOLOGY CORPORATION
004016	ADC - Global Connectivity Solutions Division
004026	Melco Inc
004036	TribeStar
004046	UDC RESEARCH LIMITED
004056	MCM JAPAN LTD.
004066	Hitachi Cable, Ltd.
004076	AMP Incorporated
004086	Michels & Kleberhoff Computer
004096	Cisco Systems, Inc.
0040A6	Cray Research Inc.
0040B6	Computerm Corporation
0040C6	Fibernet Research, Inc.
0040D6	LOCAMATION B.V.
0040E6	C.A.E.N.
0040F6	Katron Computers Inc
005006	TAC AB
005016	Molex Canada Ltd
005026	COSYSTEMS, INC.
005036	NETCAM, LTD.
005046	MENICX INTERNATIONAL CO., LTD.
005056	VMware, Inc.
005066	AtecoM GmbH advanced telecomunication modules
005076	IBM Corp
005086	TELKOM SA, LTD.
005096	SALIX TECHNOLOGIES, INC.
0050A6	OPTRONICS
0050B6	GOOD WAY IND. CO., LTD.
0050C6	LOOP TELECOMMUNICATION INTERNATIONAL, INC.
0050D6	ATLAS COPCO TOOLS AB
0050E6	HAKUSAN CORPORATION
0050F6	PAN-INTERNATIONAL INDUSTRIAL CORP.
005F86	Cisco Systems, Inc
006006	SOTEC CO., LTD
006016	Clariion
006026	VIKING Modular Solutions
006036	AIT Austrian Institute of Technology GmbH
006046	VMETRO, INC.
006056	NETWORK TOOLS, INC.
006066	LACROIX Trafic
006076	SCHLUMBERGER TECHNOLOGIES RETAIL PETROLEUM SYSTEMS
006086	LOGIC REPLACEMENT TECH. LTD.
006096	T.S. MICROTECH INC.
0060A6	PARTICLE MEASURING SYSTEMS
0060B6	LAND COMPUTER CO., LTD.
0060C6	DCS AG
0060D6	NovAtel Inc.
0060E6	SHOMITI SYSTEMS INCORPORATED
0060F6	NEXTEST COMMUNICATIONS PRODUCTS, INC.
0064A6	Maquet CardioVascular
007686	Cisco Systems, Inc
007E56	China Dragon Technology Limited
008006	Compuadd Corporation
008016	Wandel & Goltermann
008026	Network Products Corporation
008036	REFLEX MANUFACTURING SYSTEMS
008046	University of Toronto
008056	SPHINX Electronics GmbH & Co KG
008066	ARCOM CONTROL SYSTEMS, LTD.
008076	Mcnc
008086	Computer Generation Inc.
008096	HDS
0080A6	Republic Technology Inc
0080B6	Themis corporation
0080C6	Soho
0080D6	Apple Mac Portable(?)
0080E6	PEER NETWORKS, INC.
0080F6	SYNERGY MICROSYSTEMS
008A96	Cisco Systems, Inc
009006	Hamamatsu Photonics K.K.
009016	Zac
009026	ADVANCED SWITCHING COMMUNICATIONS, INC.
009036	ens, inc.
009046	DEXDYNE, LTD.
009056	TELESTREAM, INC.
009066	Troika Networks, Inc.
009076	FMT AIRCRAFT GATE SUPPORT SYSTEMS AB
009086	Cisco
009096	ASKEY COMPUTER CORP
0090A6	Cisco Systems, Inc
0090B6	FIBEX SYSTEMS
0090C6	OPTIM SYSTEMS, INC.
0090D6	Crystal Group, Inc.
0090E6	ALi Corporation
0090F6	ESCALATE NETWORKS, INC.
0091D6	Crystal Group, Inc.
00A006	IMAGE DATA PROCESSING SYSTEM GROUP
00A016	MICROPOLIS CORP.
00A026	TELDAT, S.A.
00A036	APPLIED NETWORK TECHNOLOGY
00A046	SCITEX CORP. LTD.
00A056	MICROPROSS
00A066	ISA CO., LTD.
00A076	CARDWARE LAB, INC.
00A086	AMBER WAVE SYSTEMS, INC.
00A096	MITSUMI ELECTRIC CO., LTD.
00A0A6	M.I. SYSTEMS, K.K.
00A0B6	SANRITZ AUTOMATION CO., LTD.
00A0C6	Qualcomm Inc.
00A0D6	SBE, Inc.
00A0E6	DIALOGIC CORPORATION
00A0F6	AutoGas Systems Inc.
00B086	LocSoft Limited
00B5D6	Omnibit Inc.
00B9F6	Shenzhen Super Rich Electronics Co.,Ltd
00C006	Nippon Avionics Co Ltd
00C016	Electronic Theatre Controls
00C026	LANS TECHNOLOGY CO., LTD.
00C036	Raytech Electronic Corp
00C046	Kemitron Ltd
00C056	Somelec
00C066	Docupoint, Inc.
00C076	I-Data International A-S
00C086	The Lynk Corporation
00C096	Tamura Corporation
00C0A6	EXICOM AUSTRALIA PTY. LTD
00C0B6	Meridian Data Inc
00C0C6	Personal Media Corp
00C0D6	J1 Systems, Inc.
00C0E6	Txport
00C0F6	Celan Technology Inc.
00C2C6	Intel Corporate
00D006	Cisco Systems, Inc
00D016	SCM MICROSYSTEMS, INC.
00D026	HIRSCHMANN AUSTRIA GMBH
00D036	TECHNOLOGY ATLANTA CORP.
00D046	DOLBY LABORATORIES, INC.
00D056	SOMAT CORPORATION
00D066	WINTRISS ENGINEERING CORP.
00D076	Bank of America
00D086	FOVEON, INC.
00D096	3COM EUROPE LTD.
00D0A6	LANBIRD TECHNOLOGY CO., LTD.
00D0B6	CRESCENT NETWORKS, INC.
00D0C6	THOMAS & BETTS CORP.
00D0D6	AETHRA TELECOMUNICAZIONI
00D0E6	IBOND INC.
00D0F6	Nokia
00DD06	UNGERMANN-BASS INC.
00E006	SILICON INTEGRATED SYS. CORP.
00E016	rapid-city (now a part of bay networks)
00E026	Redlake MASD LLC
00E036	PIONEER CORPORATION
00E046	BENTLY NEVADA CORP.
00E056	HOLONTECH CORPORATION
00E066	ProMax Systems, Inc.
00E076	DEVELOPMENT CONCEPTS, INC.
00E086	Emerson Network Power, Avocent Division
00E096	SHIMADZU CORPORATION
00E0A6	TELOGY NETWORKS, INC.
00E0B6	Entrada Networks
00E0C6	LINK2IT, L.L.C.
00E0D6	COMPUTER & COMMUNICATION RESEARCH LAB.
00E0E6	INCAA Computers
00E0F6	DECISION EUROPE
00E666	ARIMA Communications Corp.
020406	BBN				internal usage (not registered)
026086	Satelcom MegaPac (UK)
0418B6	Private
0418D6	Ubiquiti Networks Inc.
042F56	ATOCS (Shenzhen) LTD
044E06	Ericsson AB
045C06	Zmodo Technology Corporation
045D56	camtron industrial inc.
0495E6	Tenda Technology Co.,Ltd.Dongguan branch
0499E6	Shenzhen Yoostar Technology Co., Ltd
049F06	Smobile Co., Ltd.
04A316	Texas Instruments
04B3B6	Seamap (UK) Ltd
