00000D	FIBRONICS LTD.
00079D	Musashi Co., Ltd.
0007AD	Pentacon GmbH Foto-und Feinwerktechnik
0007BD	Radionet Ltd.
0007CD	Kumoh Electronic Co, Ltd
0007DD	Cradle Technologies
0007ED	Altera Corporation
0007FD	LANergy Ltd.
00080D	Toshiba
00081D	Ipsil, Incorporated
00082D	Indus Teqsite Private Limited
00085D	Aastra
00086D	Missouri FreeNet
00087D	Cisco Systems, Inc
00088D	Sigma-Links Inc.
00089D	UHD-Elektronik
0008AD	Toyo-Linx Co., Ltd.
0008BD	Tepg-Us
0008CD	With-Net Inc
0008DD	Telena Communications, Inc.
0008ED	ST&T Instrument Corp.
0008FD	BlueKorea Co., Ltd.
00090D	LEADER ELECTRONICS CORP.
00091D	Proteam Computer Corporation
00092D	HTC Corporation
00093D	Newisys,Inc.
00094D	Braintree Communications Pty Ltd
00095D	Dialogue Technology Corp.
00096D	Powernet Technologies Corp.
00097D	SecWell Networks Oy
00098D	Velocity Semiconductor
00099D	Haliplex Communications
0009AD	HYUNDAI SYSCOMM, INC.
0009BD	Epygi Technologies, Ltd.
0009CD	HUDSON SOFT CO.,LTD.
0009DD	Mavin Technology Inc.
0009ED	CipherOptics
0009FD	Ubinetics Limited
000A0D	FCI Deutschland GmbH
000A1D	Optical Communications Products Inc.
000A2D	Cabot Communications Limited
000A3D	Elo Sistemas Eletronicos S.A.
000A4D	Noritz Corporation
000A5D	FingerTec Worldwide Sdn Bhd
000A6D	EKS Elektronikservice GmbH
000A7D	Valo, Inc.
000A8D	EUROTHERM LIMITED
000A9D	King Young Technology Co. Ltd.
000AAD	Stargames Corporation
000ABD	Rupprecht & Patashnick Co.
000ACD	Sunrich Technology Limited
000ADD	Allworx Corp.
000AED	HARTING Electronics GmbH
000AFD	Kentec Electronics
000B0D	Air2U, Inc.
000B1D	LayerZero Power Systems, Inc.
000B2D	Danfoss Inc.
000B3D	CONTAL OK Ltd.
000B4D	Emuzed
000B5D	FUJITSU LIMITED
000B6D	SOLECTRON JAPAN NAKANIIDA
000B7D	SOLOMON EXTREME INTERNATIONAL LTD.
000B8D	Avvio Networks
000B9D	TwinMOS Technologies Inc.
000BAD	PC-PoS Inc.
000BBD	Connexionz Limited
000BCD	Hewlett Packard
000BDD	TOHOKU RICOH Co., LTD.
000BED	ELM Inc.
000BFD	Cisco Systems, Inc
000C0D	Communications & Power Industries / Satcom Division
000C1D	Mettler & Fuchs AG
000C2D	FullWave Technology Co., Ltd.
000C3D	Glsystech Co., Ltd.
000C4D	Curtiss-               # Curtiss-Wright Controls Avionics & Electronics
000C5D	CHIC TECHNOLOGY (CHINA) CORP.
000C6D	Edwards Ltd.
000C7D	TEIKOKU ELECTRIC MFG. CO., LTD
000C8D	MATRIX VISION GmbH
000C9D	UbeeAirWalk, Inc.
000CAD	BTU International
000CBD	Interface Masters, Inc
000CCD	IEC - TC57
000CDD	AOS technologies AG
000CED	Real Digital Media
000CFD	Hyundai ImageQuest Co.,Ltd.
000D0D	ITSupported, LLC
000D1D	HIGH-TEK HARNESS ENT. CO., LTD.
000D2D	NCT Deutschland GmbH
000D3D	Hammerhead Systems, Inc.
000D4D	Ninelanes
000D5D	Raritan Computer, Inc
000D6D	K-Tech Devices Corp.
000D7D	Afco Systems
000D8D	Prosoft Technology, Inc
000D9D	Hewlett Packard
000DAD	Dataprobe, Inc.
000DBD	Cisco Systems, Inc
000DCD	GROUPE TXCOM
000DDD	Profilo Telra Elektronik Sanayi ve Ticaret. A.Ş
000DED	Cisco Systems, Inc
000DFD	HugesHi-               # Huges Hi-Tech Inc.,
000E0D	Hesch Schröder GmbH
000E1D	ARION Technology Inc.
000E2D	Hyundai Digital Technology Co.,Ltd.
000E3D	Televic N.V.
000E4D	Numesa Inc.
000E5D	Triple Play Technologies A/S
000E6D	Murata Manufacturing Co., Ltd.
000E7D	Electronics Line 3000 Ltd.
000E8D	Systems in Progress Holding GmbH
000E9D	Tiscali UK Ltd
000EAD	Metanoia Technologies, Inc.
000EBD	Burdick, a Quinton Compny
000ECD	SKOV A/S
000EDD	SHURE INCORPORATED
000EED	Nokia Danmark A/S
000EFD	FUJINON CORPORATION
000F0D	Hunt Electronic Co., Ltd.
000F1D	Cosmo Techs Co., Ltd.
000F2D	CHUNG-HSIN ELECTRIC & MACHINERY MFG.CORP.
000F3D	D-Link Corporation
000F4D	TalkSwitch
000F5D	Genexis BV
000F6D	Midas Engineering
000F7D	Xirrus
000F8D	FAST TV-Server AG
000F9D	DisplayLink (UK) Ltd
000FAD	FMN communications GmbH
000FBD	MRV Communications (Networks) LTD
000FCD	Nortel Networks
000FDD	SORDIN AB
000FED	Anam Electronics Co., Ltd
000FFD	Glorytek Network Inc.
00100D	Cisco Systems			Catalyst 2924-XL
00101D	WINBOND ELECTRONICS CORP.
00102D	HITACHI SOFTWARE ENGINEERING
00103D	PHASECOM, LTD.
00104D	SURTEC INDUSTRIES, INC.
00105D	Draeger Medical
00106D	Axxcelera Broadband Wireless
00107D	AURORA COMMUNICATIONS, LTD.
00108D	Johnson Controls, Inc.
00109D	CLARINET SYSTEMS, INC.
0010AD	SOFTRONICS USB, INC.
0010BD	THE TELECOMMUNICATION TECHNOLOGY COMMITTEE (TTC)
0010CD	INTERFACE CONCEPT
0010DD	ENABLE SEMICONDUCTOR, INC.
0010ED	SUNDANCE TECHNOLOGY, INC.
0010FD	COCOM A/S
00110D	SANBlaze Technology, Inc.
00111D	Hectrix Limited
00112D	iPulse Systems
00113D	KN SOLTEC CO.,LTD.
00114D	Atsumi Electric Co.,LTD.
00115D	Cisco Systems, Inc
00116D	American Time and Signal
00117D	ZMD America, Inc.
00118D	Hanchang System Corp.
00119D	Diginfo Technology Corporation
0011AD	Shanghai Ruijie Technology
0011BD	Bombardier Transportation
0011CD	Axsun Technologies
0011DD	FROMUS TEC. Co., Ltd.
0011ED	802 Global
0011FD	KORG INC.
00120D	Advanced Telecommunication Technologies, Inc.
00121D	Netfabric Corporation
00122D	SiNett Corporation
00123D	GES Co, Ltd
00124D	Inducon BV
00125D	CyberNet Inc.
00126D	University of California, Berkeley
00127D	MobileAria
00128D	STB Datenservice GmbH
00129D	First International Computer do Brasil
0012AD	IDS GmbH
0012BD	Avantec Manufacturing Limited
0012CD	ASEM SpA
0012DD	Shengqu Information Technology (Shanghai) Co., Ltd.
0012ED	AVG Advanced Technologies
0012FD	OPTIMUS IC S.A.
00130D	GALILEO AVIONICA
00131D	Scanvaegt International A/S
00132D	iWise Communications
00133D	Micro Memory Curtiss Wright Co
00134D	Inepro BV
00135D	NTTPC Communications, Inc.
00136D	Tentaculus AB
00137D	Dynalab, Inc.
00138D	Kinghold
00139D	Marvell Hispana S.L.
0013AD	Sendo Ltd
0013BD	HYMATOM SA
0013CD	MTI co. LTD
0013DD	Abbott Diagnostics
0013ED	Psia
0013FD	Nokia Danmark A/S
00140D	Nortel Networks
00141D	LTi DRIVES GmbH
00142D	Toradex AG
00143D	Aevoe Inc.
00144D	Intelligent Systems
00145D	WJ Communications, Inc.
00146D	RF Technologies
00147D	Aeon Digital International
00148D	Cubic Defense Simulation Systems
00149D	Sound ID Inc.
0014AD	Gassner Wiege- und Meßtechnik GmbH
0014BD	incNETWORKS, Inc
0014CD	DigitalZone Co., Ltd.
0014DD	Covergence Inc.
0014ED	Airak, Inc.
0014FD	Thecus Technology Corp.
00150D	Hoana Medical, Inc.
00151D	M2I CORPORATION
00152D	TenX Networks, LLC
00153D	ELIM PRODUCT CO.
00154D	Netronome Systems, Inc.
00155D	Microsoft Corporation
00156D	Ubiquiti Networks Inc.
00157D	Posdata
00158D	Jennic Ltd
00159D	Tripp Lite
0015AD	Accedian Networks
0015BD	Group 4 Technology Ltd
0015CD	Exartech International Corp.
0015DD	IP Control Systems Ltd.
0015ED	Fulcrum Microsystems, Inc.
0015FD	Complete Media Systems
00160D	Be Here Corporation
00161D	Innovative Wireless Technologies, Inc.
00162D	STNet Co., Ltd.
00163D	Tsinghua Tongfang Legend Silicon Tech. Co., Ltd.
00164D	Alcatel-               # Alcatel-Lucent IPD
00165D	AirDefense, Inc.
00166D	Yulong Computer Telecommunication Scientific (Shenzhen) Co.,Ltd
00167D	Sky-Line Information Co., Ltd.
00168D	KORWIN CO., Ltd.
00169D	Cisco Systems, Inc
0016AD	BT-Links Company Limited
0016BD	ATI Industrial Automation
0016CD	HIJI HIGH-TECH CO., LTD.
0016DD	Gigabeam Corporation
0016ED	Digital Safety Technologies, Inc
0016FD	Jaty Electronics
00170D	Dust Networks Inc.
00171D	Digit
00172D	Axcen Photonics Corporation
00173D	Neology
00174D	DYNAMIC NETWORK FACTORY, INC.
00175D	Dongseo system.
00176D	CORE CORPORATION
00177D	IDT Technology Limited
00178D	Checkpoint Systems, Inc.
00179D	Kelman Limited
0017AD	AceNet Corporation
0017BD	Tibetsystem
0017CD	CEC Wireless R&D Ltd.
0017DD	Clipsal Australia
0017ED	WooJooIT Ltd.
0017FD	Amulet Hotkey
00180D	Terabytes Server Storage Tech Corp
00181D	ASIA ELECTRONICS CO.,LTD
00182D	Artec Design
00183D	Vertex Link Corporation
00184D	Netgear
00185D	TAIGUEN TECHNOLOGY (SHEN-ZHEN) CO., LTD.
00186D	Zhenjiang Sapphire Electronic Industry CO.
00187D	Armorlink shanghai Co. Ltd
00188D	Nokia Danmark A/S
00189D	Navcast Inc.
0018AD	NIDEC SANKYO CORPORATION
0018BD	SHENZHEN DVBWORLD TECHNOLOGY CO., LTD.
0018CD	Erae Electronics Industry Co., Ltd
0018DD	Silicondust Engineering Ltd
0018ED	Accutech Ultrasystems Co., Ltd.
0018FD	Optimal Technologies International Inc.
00190D	IEEE 1394c
00191D	Nintendo Co., Ltd.
00192D	Nokia Corporation
00193D	GMC Guardian Mobility Corp.
00194D	Avago Technologies Sdn Bhd
00195D	ShenZhen XinHuaTong Opto Electronics Co.,Ltd
00196D	Raybit Systems Korea, Inc
00197D	Hon Hai Precision Ind. Co.,Ltd.
00198D	Ocean Optics, Inc.
00199D	Vizio, Inc
0019AD	BOBST SA
0019BD	New Media Life
0019CD	Chengdu ethercom information technology Ltd.
0019DD	FEI-Zyfer, Inc.
0019ED	Axesstel Inc.
0019FD	Nintendo Co., Ltd.
001A0D	HandHeld entertainment, Inc.
001A1D	PChome Online Inc.
001A2D	The Navvo Group
001A3D	Ajin Vision Co.,Ltd
001A4D	GIGA-BYTE TECHNOLOGY CO.,LTD.
001A5D	Mobinnova Corp.
001A6D	Cisco Systems, Inc
001A7D	cyber-blue(HK)Ltd
001A8D	AVECS Bergen GmbH
001A9D	Skipper Wireless, Inc.
001AAD	ARRIS Group, Inc.
001ABD	Impatica Inc.
001ACD	Tidel Engineering LP
001ADD	PePWave Ltd
001AED	INCOTEC GmbH
001AFD	Evolis
001B0D	Cisco Systems, Inc
001B1D	Phoenix International Co., Ltd
001B2D	Med-Eng Systems Inc.
001B3D	EuroTel Spa
001B4D	Areca Technology Corporation
001B5D	Vololink Pty Ltd
001B6D	Midtronics, Inc.
001B7D	CXR Anderson Jacobson
001B8D	Electronic Computer Systems, Inc.
001B9D	Novus Security Sp. z o.o.
001BAD	iControl Incorporated
001BBD	FMC Kongsberg Subsea AS
001BCD	DAVISCOMMS (S) PTE LTD
001BDD	ARRIS Group, Inc.
001BED	Brocade Communications Systems, Inc.
001BFD	Dignsys Inc.
001C0D	G-Technology, Inc.
001C1D	CHENZHOU GOSPELL DIGITAL TECHNOLOGY CO.,LTD
001C2D	FlexRadio Systems
001C3D	WaveStorm
001C4D	Aplix IP Holdings Corporation
001C5D	Leica Microsystems
001C6D	KYOHRITSU ELECTRONIC INDUSTRY CO., LTD.
001C7D	Excelpoint Manufacturing Pte Ltd
001C8D	Mesa Imaging
001C9D	Liecthi AG
001CAD	Wuhan Telecommunication Devices Co.,Ltd
001CBD	Ezze Mobile Tech., Inc.
001CCD	Alektrona Corporation
001CDD	COWBELL ENGINEERING CO., LTD.
001CED	ENVIRONNEMENT SA
001CFD	Universal Electronics, Inc.
001D0D	Sony Interactive Entertainment Inc.
001D1D	Inter-M Corporation
001D2D	Pylone, Inc.
001D3D	Avidyne Corporation
001D4D	Adaptive Recognition Hungary, Inc
001D5D	Control Dynamics Pty. Ltd.
001D6D	Confidant International LLC
001D7D	GIGA-BYTE TECHNOLOGY CO.,LTD.
001D8D	Raytek GmbH
001D9D	ARTJOY INTERNATIONAL LIMITED
001DAD	Sinotech Engineering Consultants, Inc.  Geotechnical Enginee
001DBD	Versamed Inc.
001DCD	ARRIS Group, Inc.
001DDD	DAT H.K. LIMITED
001DED	Grid Net, Inc.
001DFD	Nokia Danmark A/S
001E0D	Micran Ltd.
001E1D	East Coast Datacom, Inc.
001E2D	Stim
001E3D	ALPS ELECTRIC CO.,LTD.
001E4D	Welkin Sciences, LLC
001E5D	Holosys d.o.o.
001E6D	IT R&D Center
001E7D	Samsung Electronics Co.,Ltd
001E8D	ARRIS Group, Inc.
001E9D	Recall Technologies, Inc.
001EAD	Wingtech Group Limited
001EBD	Cisco Systems, Inc
001ECD	KYLAND Technology Co. LTD
001EDD	WASKO S.A.
001EED	Adventiq Ltd.
001EFD	Microbit 2.0 AB
001F0D	L3 Communications - Telemetry West
001F1D	Atlas Material Testing Technology LLC
001F2D	Electro-               # Electro-Optical Imaging, Inc.
001F3D	Qbit GmbH
001F4D	Segnetics LLC
001F5D	Nokia Danmark A/S
001F6D	Cisco Systems, Inc
001F7D	embedded wireless GmbH
001F8D	Ingenieurbuero Stark GmbH und Ko. KG
001F9D	Cisco Systems, Inc
001FAD	Brown Innovations, Inc
001FBD	Kyocera Wireless Corp.
001FCD	Samsung Electronics Co.,Ltd
001FDD	GDI LLC
001FED	Tecan Systems Inc.
001FFD	Indigo Mobile Technologies Corp.
00200D	CARL ZEISS
00201D	KATANA PRODUCTS
00202D	TAIYO CORPORATION
00203D	Honeywell ECC
00204D	INOVIS GMBH
00205D	NANOMATIC OY
00206D	DATA RACE, INC.
00207D	ADVANCED COMPUTER APPLICATIONS
00208D	CMD TECHNOLOGY
00209D	LIPPERT AUTOMATIONSTECHNIK
0020AD	LINQ SYSTEMS
0020BD	NIOBRARA R & D CORPORATION
0020CD	HYBRID NETWORKS, INC.
0020DD	Cybertec Pty Ltd
0020ED	GIGA-BYTE TECHNOLOGY CO., LTD.
0020FD	ITV TECHNOLOGIES, INC.
00210D	SAMSIN INNOTEC
00211D	Dataline AB
00212D	SCIMOLEX CORPORATION
00213D	Cermetek Microelectronics, Inc.
00214D	Guangzhou Skytone Transmission Technology Com. Ltd.
00215D	Intel Corporate
00216D	Soltech Co., Ltd.
00217D	PYXIS S.R.L.
00218D	AP Router Ind. Eletronica LTDA
00219D	Adesys BV
0021AD	Nordic ID Oy
0021BD	Nintendo Co., Ltd.
0021CD	Livetv
0021DD	Northstar Systems Corp
0021ED	Telegesis
0021FD	LACROIX TRAFFIC S.A.U
00220D	Cisco Systems, Inc
00221D	Freegene Technology LTD
00222D	SMC Networks Inc.
00223D	JumpGen Systems, LLC
00224D	MITAC INTERNATIONAL CORP.
00225D	Digicable Network India Pvt. Ltd.
00226D	Shenzhen GIEC Electronics Co., Ltd.
00227D	YE DATA INC.
00228D	GBS Laboratories LLC
00229D	PYUNG-HWA IND.CO.,LTD
0022AD	TELESIS TECHNOLOGIES, INC.
0022BD	Cisco Systems, Inc
0022CD	Ared Technology Co., Ltd.
0022DD	Protecta Electronics Ltd
0022ED	TSI Power Corporation
0022FD	Nokia Danmark A/S
00230D	Nortel Networks
00231D	Deltacom Electronics Ltd
00232D	SandForce
00233D	Novero holding B.V.
00234D	Hon Hai Precision Ind. Co.,Ltd.
00235D	Cisco Systems, Inc
00236D	ResMed Ltd
00237D	Hewlett Packard
00238D	Techno Design Co., Ltd.
00239D	Mapower Electronics Co., Ltd
0023AD	Xmark Corporation
0023BD	Digital Ally, Inc.
0023CD	TP-LINK TECHNOLOGIES CO.,LTD.
0023DD	ELGIN S.A.
0023ED	ARRIS Group, Inc.
0023FD	AFT Atlas Fahrzeugtechnik GmbH
00240D	OnePath Networks LTD.
00241D	GIGA-BYTE TECHNOLOGY CO.,LTD.
00243D	Emerson Appliance Motors and Controls
00244D	Hokkaido Electronics Corporation
00245D	Terberg besturingstechniek B.V.
00246D	Weinzierl Engineering GmbH
00247D	Nokia Danmark A/S
00248D	Sony Interactive Entertainment Inc.
00249D	NES Technology Inc.
0024AD	Adolf Thies Gmbh & Co. KG
0024BD	Hainzl Industriesysteme GmbH
0024CD	Willow Garage, Inc.
0024DD	Centrak, Inc.
0024ED	YT Elec. Co,.Ltd.
0024FD	Accedian Networks Inc
00250D	GZT Telkom-Telmor sp. z o.o.
00251D	DSA Encore, LLC
00252D	Kiryung Electronics
00253D	DRS Consolidated Controls
00254D	Singapore Technologies Electronics Limited
00255D	Morningstar Corporation
00256D	Broadband Forum
00257D	PointRed Telecom Private Ltd.
00258D	Haier
00259D	Private
0025AD	Manufacturing Resources International
0025BD	Italdata Ingegneria dell'Idea S.p.A.
0025CD	Skylane Optics
0025DD	SUNNYTEK INFORMATION CO., LTD.
0025ED	NuVo Technologies LLC
0025FD	OBR Centrum Techniki Morskiej S.A.
00260D	Mercury Systems, Inc.
00261D	COP SECURITY SYSTEM CORP.
00262D	Wistron Corporation
00263D	MIA Corporation
00264D	Arcadyan Technology Corporation
00265D	Samsung Electronics Co.,Ltd
00266D	MobileAccess Networks
00267D	A-Max Technology Macao Commercial Offshore Company Limited
00268D	CellTel S.p.A.
00269D	M2Mnet Co., Ltd.
0026AD	Arada Systems, Inc.
0026BD	JTEC Card & Communication Co., Ltd.
0026CD	PurpleComm, Inc.
0026DD	Fival Science & Technology Co.,Ltd.
0026ED	zte corporation
0026FD	Interactive Intelligence
00270D	Cisco Systems, Inc
00271D	Comba Telecom Systems (China) Ltd.
00300D	MMC Technology, Inc.
00301D	SKYSTREAM, INC.
00302D	QUANTUM BRIDGE COMMUNICATIONS
00303D	IVA CORPORATION
00304D	Esi
00305D	DIGITRA SYSTEMS, INC.
00306D	LUCENT TECHNOLOGIES
00307D	GRE AMERICA, INC.
00308D	Pinnacle Systems, Inc.
00309D	Nimble Microsystems, Inc.
0030AD	SHANGHAI COMMUNICATION
0030BD	BELKIN COMPONENTS
0030CD	CONEXANT SYSTEMS, INC.
0030DD	INDIGITA CORPORATION
0030ED	Expert Magnetics Corp.
0030FD	INTEGRATED SYSTEMS DESIGN
00376D	Murata Manufacturing Co., Ltd.
003A7D	Cisco Systems, Inc
003A9D	NEC Platforms, Ltd.
00400D	LANNET Data Communications
00401D	INVISIBLE SOFTWARE, INC.
00402D	HARRIS ADACOM CORPORATION
00403D	Teradata Corporation
00404D	Telecomm Techniques
00405D	Star-Tek Inc
00406D	LANCO, INC.
00407D	EXTENSION TECHNOLOGY CORP.
00408D	THE GOODYEAR TIRE & RUBBER CO.
00409D	DigiBoard		Ethernet-ISDN bridges
0040AD	SMA Regelsysteme Gmbh
0040BD	Starlight Networks Inc
0040CD	TERA MICROSYSTEMS, INC.
0040DD	HONG TECHNOLOGIES
0040ED	Network Controls International Inc
0040FD	Lxe
00500D	SATORI ELECTORIC CO., LTD.
00502D	ACCEL, INC.
00504D	Repotec Group
00506D	VIDEOJET SYSTEMS
00507D	Ifp
00508D	ABIT COMPUTER CORPORATION
00509D	THE INDUSTREE B.V.
0050AD	CommUnique Wireless Corp.
0050BD	Cisco
0050CD	DIGIANSWER A/S
0050DD	SERRA SOLDADURA, S.A.
0050ED	ANDA NETWORKS
0050FD	VISIONCOMM CO., LTD.
0054BD	Swelaser AB
0056CD	Apple, Inc.
00600D	Digital Logic GmbH
00601D	LUCENT TECHNOLOGIES
00602D	ALERTON TECHNOLOGIES, INC.
00603D	3cx
00604D	MMC NETWORKS, INC.
00605D	SCANIVALVE CORP.
00606D	DIGITAL EQUIPMENT CORP.
00607D	SENTIENT NETWORKS INC.
00608D	UNIPULSE CORP.
00609D	PMI FOOD EQUIPMENT GROUP
0060AD	MegaChips Corporation
0060BD	Enginuity Communications
0060CD	VideoServer, Inc.
0060DD	MYRICOM, INC.
0060ED	RICARDO TEST AUTOMATION LTD.
0060FD	NetICs, Inc.
006CFD	Sichuan Changhong Electric Ltd.
00738D	Shenzhen TINNO Mobile Technology Corp.
0078CD	Ignition Design Labs
00800D	Vosswinkel FU
00801D	INTEGRATED INFERENCE MACHINES
00802D	Xylogics, Inc.			Annex terminal servers
00803D	Surigiken Co Ltd
00804D	Cyclone Microsystems, Inc.
00805D	Canstar
00806D	Century Systems Corp.
00807D	Equinox Systems Inc
00808D	Westcove Technology BV
00809D	Datacraft Manufactur'g Pty Ltd
0080AD	Telebit
0080BD	THE FURUKAWA ELECTRIC CO., LTD
0080CD	MICRONICS COMPUTER, INC.
0080DD	GMX INC/GIMIX
0080ED	IQ TECHNOLOGIES, INC.
0080FD	EXSCEED CORPRATION
0084ED	Private
00900D	Overland Storage Inc.
00901D	PEC (NZ) LTD.
00902D	DATA ELECTRONICS (AUST.) PTY, LTD.
00903D	BIOPAC SYSTEMS, INC.
00904D	SPEC S.A.
00905D	NETCOM SICHERHEITSTECHNIK GMBH
00906D	Cisco Systems, Inc
00907D	Lake Communications
00908D	VICKERS ELECTRONICS SYSTEMS
00909D	NovaTech Process Solutions, LLC
0090AD	ASPECT ELECTRONICS, INC.
0090BD	OMNIA COMMUNICATIONS, INC.
0090CD	ENT-EMPRESA NACIONAL DE TELECOMMUNICACOES, S.A.
0090DD	MIHARU COMMUNICATIONS Inc
0090ED	CENTRAL SYSTEM RESEARCH CO., LTD.
0090FD	CopperCom, Inc.
009ACD	HUAWEI TECHNOLOGIES CO.,LTD
00A00D	THE PANDA PROJECT
00A01D	Red Lion Controls, LP
00A02D	1394 Trade Association
00A03D	Opto-22
00A04D	EDA INSTRUMENTS, INC.
00A05D	CS COMPUTER SYSTEME GmbH
00A06D	MANNESMANN TALLY CORPORATION
00A07D	SEEQ TECHNOLOGY, INC.
00A08D	JACOMO CORPORATION
00A09D	JOHNATHON FREEMAN TECHNOLOGIES
00A0AD	MARCONI SPA
00A0BD	I-TECH CORP.
00A0CD	DR. JOHANNES HEIDENHAIN GmbH
00A0DD	AZONIX CORPORATION
00A0ED	Brooks Automation, Inc.
00A0FD	SCITEX DIGITAL PRINTING, INC.
00B02D	ViaGate Technologies, Inc.
00B06D	Jones Futurex Inc.
00B09D	Point Grey Research Inc.
00B56D	David Electronics Co., LTD.
00B78D	Nanjing Shining Electric Automation Co., Ltd
00C00D	Advanced Logic Research Inc
00C01D	Grand Junction Networks, Inc.	(Cisco Catalyst also reported)
00C02D	Fuji Photo Film Co., Ltd.
00C03D	Wiesemann & Theis Gmbh
00C04D	Mitec Ltd
00C05D	L&N Technologies
00C06D	Boca Research, Inc.
00C07D	RISC Developments Ltd
00C08D	Tronix Product Development
00C09D	Distributed Systems Int'l, Inc.
00C0AD	Computer Communication Systems
00C0BD	Inex Technologies, Inc.
00C0CD	Comelta S.A.
00C0DD	QLogic Corporation
00C0ED	US Army Electronic Proving Ground
00C0FD	Prosum
00CBBD	Cambridge Broadband Networks Ltd.
00D00D	MICROMERITICS INSTRUMENT
00D01D	FURUNO ELECTRIC CO., LTD.
00D02D	Ademco
00D03D	GALILEO TECHNOLOGY, LTD.
00D04D	DIV OF RESEARCH & STATISTICS
00D05D	INTELLIWORXX, INC.
00D06D	ACRISON, INC.
00D07D	COSINE COMMUNICATIONS
00D08D	PHOENIX GROUP, INC.
00D09D	VERIS INDUSTRIES
00D0AD	TL INDUSTRIES
00D0BD	Lattice Semiconductor Corp. (LPA)
00D0CD	ATAN TECHNOLOGY INC.
00D0DD	SUNRISE TELECOM, INC.
00D0ED	Xiox
00D0FD	OPTIMA TELE.COM, INC.
00D38D	Hotel Technology Next Generation
