00000F	Next
0011BF	AESYS S.p.A.
0011CF	Thrane & Thrane A/S
0011DF	Current Energy
0011EF	Conitec Datensysteme GmbH
0011FF	Digitro Tecnologia Ltda
00120F	IEEE 802.3
00121F	Harding Instruments
00122F	Sanei Electric Inc.
00123F	Dell Inc.
00124F	Pentair Thermal Management
00125F	AWIND Inc.
00126F	Rayson Technology Co., Ltd.
00127F	Cisco Systems, Inc
00128F	Montilio
00129F	RAE Systems
0012AF	ELPRO Technologies
0012BF	Arcadyan Technology Corporation
0012CF	Accton Technology Corp
0012DF	Novomatic AG
0012EF	OneAccess SA
0012FF	Lely Industries N.V.
00130F	EGEMEN Bilgisayar Muh San ve Tic LTD STI
00131F	NxtPhase T&D, Corp.
00132F	Interactek
00133F	Eppendorf Instrumente GmbH
00134F	Tranzeo Wireless Technologies Inc.
00135F	Cisco Systems, Inc
00136F	PacketMotion, Inc.
00137F	Cisco Systems, Inc
00138F	Asiarock Technology Limited
00139F	Electronics Design Services, Co., Ltd.
0013AF	NUMA Technology,Inc.
0013BF	Media System Planning Corp.
0013CF	4Access Communications
0013DF	Ryvor Corp.
0013EF	Kingjon Digital Technology Co.,Ltd
0013FF	Dage-MTI of MC, Inc.
00140F	Federal State Unitary Enterprise Leningrad R&D Institute of
00141F	SunKwang Electronics Co., Ltd
00142F	Savvius
00143F	Hotway Technology Corporation
00144F	Oracle Corporation
00145F	ADITEC CO. LTD
00146F	Kohler Co
00147F	Thomson Telecom Belgium
00148F	Protronic (Far East) Ltd.
00149F	System and Chips, Inc.
0014AF	Datasym POS Inc.
0014BF	Cisco-Linksys, LLC
0014CF	INVISIO Communications
0014DF	HI-P Tech Corporation
0014EF	TZero Technologies, Inc.
0014FF	Precise Automation, Inc.
00150F	Mingjong
00151F	Multivision Intelligent Surveillance (Hong Kong) Ltd
00152F	ARRIS Group, Inc.
00153F	Alcatel Alenia Space Italia
00154F	one RF Technology
00155F	GreenPeak Technologies
00156F	Xiranet Communications GmbH
00157F	ChuanG International Holding CO.,LTD.
00158F	NTT Advanced Technology Corporation
00159F	Terascala, Inc.
0015AF	AzureWave Technology Inc.
0015BF	technicob
0015CF	ARRIS Group, Inc.
0015DF	Clivet S.p.A.
0015EF	NEC TOKIN Corporation
0015FF	Novatel Wireless Solutions, Inc.
00160F	BADGER METER INC
00161F	SUNWAVETEC Co., Ltd.
00162F	Geutebrück GmbH
00163F	CReTE SYSTEMS Inc.
00164F	World Ethnic Broadcastin Inc.
00165F	Fairmount Automation
00166F	Intel Corporate
00167F	Bluebird Soft Inc.
00168F	GN Netcom A/S
00169F	Vimtron Electronics Co., Ltd.
0016AF	Shenzhen Union Networks Equipment Co.,Ltd.
0016BF	PaloDEx Group Oy
0016CF	Hon Hai Precision Ind. Co.,Ltd.
0016DF	Lundinova AB
0016EF	Koko Fitness, Inc.
0016FF	Wamin Optocomm Mfg Corp
00170F	Cisco Systems, Inc
00171F	IMV Corporation
00172F	NeuLion Incorporated
00173F	Belkin International Inc.
00174F	iCatch Inc.
00175F	XENOLINK Communications Co., Ltd.
00176F	PAX Computer Technology(Shenzhen) Ltd.
00177F	Worldsmart Retech
00178F	NINGBO YIDONG ELECTRONIC CO.,LTD.
00179F	Apricorn
0017AF	Enermet
0017BF	Coherent Research Limited
0017CF	iMCA-GmbH
0017DF	Cisco Systems, Inc
0017EF	IBM Corp
0017FF	PLAYLINE Co.,Ltd.
00180F	Nokia Danmark A/S
00181F	Palmmicro Communications
00182F	Texas Instruments
00183F	2Wire Inc
00184F	8 Ways Technology Corp.
00185F	TAC Inc.
00186F	Setha Industria Eletronica LTDA
00187F	Zodianet
00188F	Montgomery Technology, Inc.
00189F	Lenntek Corporation
0018AF	Samsung Electronics Co.,Ltd
0018BF	Essence Technology Solution, Inc.
0018CF	Baldor Electric Company
0018DF	The Morey Corporation
0018EF	Escape Communications, Inc.
0018FF	PowerQuattro Co.
00190F	Advansus Corp.
00191F	Microlink communications Inc.
00192F	Cisco Systems, Inc
00193F	RDI technology(Shenzhen) Co.,LTD
00194F	Nokia Danmark A/S
00195F	Valemount Networks Corporation
00196F	SensoPart GmbH
00197F	PLANTRONICS, INC.
00198F	Alcatel Bell N.V.
00199F	DKT A/S
0019AF	Rigol Technologies, Inc.
0019BF	Citiway technology Co.,ltd
0019CF	SALICRU, S.A.
0019DF	Thomson Inc.
0019EF	SHENZHEN LINNKING ELECTRONICS CO.,LTD
0019FF	Finnzymes
001A0F	Sistemas Avanzados de Control, S.A.
001A1F	Coastal Environmental Systems
001A2F	Cisco Systems, Inc
001A3F	intelbras
001A4F	AVM GmbH
001A5F	KitWorks.fi Ltd.
001A6F	MI.TEL s.r.l.
001A7F	GCI Science & Technology Co.,LTD
001A8F	Nortel Networks
001A9F	A-Link Ltd
001AAF	BLUSENS TECHNOLOGY
001ABF	TRUMPF Laser Marking Systems AG
001ACF	C.T. ELETTRONICA
001ADF	Interactivetv Pty Limited
001AEF	Loopcomm Technology, Inc.
001AFF	Wizyoung Tech.
001B0F	Petratec
001B1F	DELTA - Danish Electronics, Light & Acoustics
001B2F	Netgear
001B3F	ProCurve Networking by HP
001B4F	Avaya Inc
001B5F	Alien Technology
001B6F	Teletrak Ltd
001B7F	TMN Technologies Telecomunicacoes Ltda
001B8F	Cisco Systems, Inc
001B9F	Calyptech Pty Ltd
001BAF	Nokia Danmark A/S
001BBF	Sagemcom Broadband SAS
001BCF	Dataupia Corporation
001BDF	Iskra Sistemi d.d.
001BEF	Blossoms Digital Technology Co.,Ltd.
001BFF	Millennia Media inc.
001C0F	Cisco Systems, Inc
001C1F	Quest Retail Technology Pty Ltd
001C2F	Pfister GmbH
001C3F	International Police Technologies, Inc.
001C4F	MACAB AB
001C5F	Winland Electronics, Inc.
001C6F	Emfit Ltd
001C7F	Check Point Software Technologies
001C8F	Advanced Electronic Design, Inc.
001C9F	Razorstream, LLC
001CAF	Plato Networks Inc.
001CBF	Intel Corporate
001CCF	Limetek
001CDF	Belkin International Inc.
001CEF	Primax Electronics Ltd.
001CFF	Napera Networks Inc
001D0F	TP-LINK TECHNOLOGIES CO.,LTD.
001D1F	Siauliu Tauro Televizoriai, JSC
001D2F	QuantumVision Corporation
001D3F	Mitron Pty Ltd
001D4F	Apple, Inc.
001D5F	OverSpeed SARL
001D6F	Chainzone Technology Co., Ltd
001D7F	Tekron International Ltd
001D8F	PureWave Networks
001D9F	MATT   R.P.Traczynscy Sp.J.
001DAF	Nortel Networks
001DBF	Radiient Technologies, Inc.
001DCF	ARRIS Group, Inc.
001DDF	Sunitec Enterprise Co., Ltd.
001DEF	TRIMM, INC.
001DFF	Network Critical Solutions Ltd
001E0F	Briot International
001E1F	Nortel Networks
001E2F	DiMoto Pty Ltd
001E3F	TrellisWare Technologies, Inc.
001E4F	Dell Inc.
001E5F	KwikByte, LLC
001E6F	Magna-Power Electronics, Inc.
001E7F	CBM of America
001E8F	CANON INC.
001E9F	Visioneering Systems, Inc.
001EAF	Ophir Optronics Ltd
001EBF	Haas Automation Inc.
001ECF	PHILIPS ELECTRONICS UK LTD
001EDF	Master Industrialization Center Kista
001EEF	Cantronic International Limited
001EFF	Mueller-               # Mueller-Elektronik GmbH & Co. KG
001F0F	Select Engineered Systems
001F1F	Edimax Technology Co. Ltd.
001F2F	Berker GmbH & Co. KG
001F3F	AVM GmbH
001F4F	Thinkware Co. Ltd.
001F5F	Blatand GmbH
001F6F	Fujian Sunnada Communication Co.,Ltd.
001F7F	Phabrix Limited
001F8F	Shanghai Bellmann Digital Source Co.,Ltd.
001F9F	Thomson Telecom Belgium
001FAF	NextIO, Inc.
001FBF	Fulhua Microelectronics Corp. Taiwan Branch
001FCF	MSI Technology GmbH
001FDF	Nokia Danmark A/S
001FEF	SHINSEI INDUSTRIES CO.,LTD
001FFF	Respironics, Inc.
00200F	EBRAINS Inc
00201F	BEST POWER TECHNOLOGY, INC.
00202F	ZETA COMMUNICATIONS, LTD.
00203F	JUKI CORPORATION
00204F	DEUTSCHE AEROSPACE AG
00205F	GAMMADATA COMPUTER GMBH
00206F	FLOWPOINT CORPORATION
00207F	KYOEI SANGYO CO., LTD.
00208F	ECI Telecom Ltd.
00209F	MERCURY COMPUTER SYSTEMS, INC.
0020AF	3COM Corporation
0020BF	AEHR TEST SYSTEMS
0020CF	TEST & MEASUREMENT SYSTEMS INC
0020DF	KYOSAN ELECTRIC MFG. CO., LTD.
0020EF	USC CORPORATION
0020FF	SYMMETRICAL TECHNOLOGIES
00210F	Cernium Corp
00211F	SHINSUNG DELTATECH CO.,LTD.
00212F	Phoebe Micro Inc.
00213F	A-Team Technology Ltd.
00214F	ALPS ELECTRIC CO.,LTD.
00215F	IHSE GmbH
00216F	SymCom, Inc.
00217F	Intraco Technology Pte Ltd
00218F	Avantgarde Acoustic Lautsprechersysteme GmbH
00219F	SATEL OY
0021AF	Radio Frequency Systems
0021BF	Hitachi High-Tech Control Systems Corporation
0021CF	The Crypto Group
0021DF	Martin Christ GmbH
0021EF	Kapsys
0021FF	Cyfrowy Polsat SA
00220F	MoCA (Multimedia over Coax Alliance)
00221F	eSang Technologies Co., Ltd.
00222F	Open Grid Computing, Inc.
00223F	Netgear
00224F	Byzoro Networks Ltd.
00225F	Liteon Technology Corporation
00226F	3onedata Technology Co. Ltd.
00227F	Ruckus Wireless
00228F	Cnrs
00229F	Sensys Traffic AB
0022AF	Safety Vision
0022BF	SieAmp Group of Companies
0022CF	PLANEX COMMUNICATIONS INC.
0022DF	TAMUZ Monitors
0022EF	iWDL Technologies
0022FF	NIVIS LLC
00230F	Hirsch Electronics Corporation
00231F	Guangda Electronic & Telecommunication Technology Development Co., Ltd.
00232F	Advanced Card Systems Ltd.
00233F	Purechoice Inc
00234F	Luminous Power Technologies Pvt. Ltd.
00235F	Silicon Micro Sensors GmbH
00236F	DAQ System
00237F	PLANTRONICS, INC.
00238F	NIDEC COPAL CORPORATION
00239F	Institut für Prüftechnik
0023AF	ARRIS Group, Inc.
0023BF	Mainpine, Inc.
0023CF	Cummins-               # CUMMINS-ALLISON CORP.
0023DF	Apple, Inc.
0023EF	Zuend Systemtechnik AG
0023FF	Beijing HTTC Technology Ltd.
00240F	Ishii Tool & Engineering Corporation
00241F	DCT-Delta GmbH
00242F	Micron
00243F	Storwize, Inc.
00244F	Asantron Technologies Ltd.
00245F	Vine Telecom CO.,Ltd.
00246F	Onda Communication spa
00247F	Nortel Networks
00248F	Do-Monix
00249F	RIM Testing Services
0024AF	Echostar Technologies Corp
0024BF	Ciat
0024CF	Inscape Data Corporation
0024DF	Digitalbox Europe GmbH
0024EF	Sony Mobile Communications AB
0024FF	QLogic Corporation
00250F	On-Ramp Wireless, Inc.
00251F	ZYNUS VISION INC.
00252F	Energy, Inc.
00254F	ELETTROLAB Srl
00255F	SenTec AG
00256F	Dantherm Power
00257F	CallTechSolution Co.,Ltd
00258F	Trident Microsystems, Inc.
00259F	TechnoDigital Technologies GmbH
0025AF	COMFILE Technology
0025BF	Wireless Cables Inc.
0025CF	Nokia Danmark A/S
0025DF	Private
0025EF	I-TEC Co., Ltd.
0025FF	CreNova Multimedia Co., Ltd
00260F	Linn Products Ltd
00261F	SAE Magnetics (H.K.) Ltd.
00262F	HAMAMATSU TOA ELECTRONICS
00263F	LIOS Technology GmbH
00264F	Krüger &Gothe GmbH
00265F	Samsung Electronics Co.,Ltd
00266F	Coordiwise Technology Corp.
00267F	Zenterio AB
00268F	MTA SpA
00269F	Private
0026AF	Duelco A/S
0026BF	ShenZhen Temobi Science&Tech Development Co.,Ltd
0026CF	DEKA R&D
0026DF	TaiDoc Technology Corp.
0026EF	Technology Advancement Group, Inc.
0026FF	BlackBerry RTS
00270F	Envisionnovation Inc
00271F	MIPRO Electronics Co., Ltd
002AAF	LARsys-Automation GmbH
00300F	IMT - Information Management T
00301F	OPTICAL NETWORKS, INC.
00302F	GE Aviation System
00303F	TurboComm Tech Inc.
00304F	PLANET Technology Corporation
00305F	Hasselblad
00306F	SEYEON TECH. CO., LTD.
00307F	IRLAN LTD.
00308F	MICRILOR, Inc.
00309F	AMBER NETWORKS
0030AF	Honeywell GmbH
0030BF	MULTIDATA GMBH
0030CF	TWO TECHNOLOGIES, INC.
0030DF	KB/TEL TELECOMUNICACIONES
0030EF	NEON TECHNOLOGY, INC.
0030FF	DataFab Systems Inc.
0038DF	Cisco Systems, Inc
003AAF	BlueBit Ltd.
00400F	DATACOM TECHNOLOGIES
00401F	Colorgraph Ltd
00402F	Xlnt Designs Inc (XDI)
00403F	SSANGYONG COMPUTER SYSTEMS
00404F	Space & Naval Warfare Systems
00405F	AFE COMPUTERS LTD.
00406F	Sync Research Inc
00407F	Agema Infrared Systems AB
00408F	WM-Data Minfo AB
00409F	Lancast/	# Lancast/Casat Technology Inc
0040AF	Digital Products, Inc. (DPI).
0040BF	CHANNEL SYSTEMS INTERN'L INC.
0040CF	Strawberry Tree Inc
0040DF	Digalog Systems, Inc.
0040EF	HYPERCOM, INC.
0040FF	Telebit Corporation		Personal NetBlazer
0043FF	KETRON S.R.L.
00500F	Cisco
00501F	MRG SYSTEMS, LTD.
00502F	TollBridge Technologies, Inc.
00503F	ANCHOR GAMES
00504F	OLENCOM ELECTRONICS
00505F	BRAND INNOVATORS
00506F	G-CONNECT
00507F	DrayTek Corp.
00508F	ASITA TECHNOLOGIES INT'L LTD.
00509F	HORIZON COMPUTER
0050AF	INTERGON, INC.
0050BF	Metalligence Technology Corp.
0050CF	VANLINK COMMUNICATION TECHNOLOGY RESEARCH INSTITUTE
0050DF	AirFiber, Inc.
0050EF	SPE Systemhaus GmbH
0050FF	HAKKO ELECTRONICS CO., LTD.
00549F	Avaya Inc
0054AF	Continental Automotive Systems Inc.
00600F	Westell Technologies Inc.
00601F	STALLION TECHNOLOGIES
00602F	Cisco
00603F	PATAPSCO DESIGNS
00604F	Tattile SRL
00605F	NIPPON UNISOFT CORPORATION
00606F	CLARION CORPORATION OF AMERICA
00607F	AURORA TECHNOLOGIES, INC.
00608F	TEKRAM TECHNOLOGY CO., LTD.
00609F	PHAST CORPORATION
0060AF	PACIFIC MICRO DATA, INC.
0060BF	MACRAIGOR SYSTEMS, INC.
0060CF	ALTEON NETWORKS, INC.
0060DF	Brocade Communications Systems, Inc.
0060EF	FLYTECH TECHNOLOGY CO., LTD.
0060FF	QuVis, Inc.
00800F	SMC
00801F	KRUPP ATLAS ELECTRONIK GMBH
00802F	NATIONAL INSTRUMENTS CORP.
00803F	Hyundai Electronics
00804F	DAIKIN INDUSTRIES, LTD.
00805F	Compaq Computer Corporation
00806F	Onelan Ltd
00807F	DY-4 INCORPORATED
00808F	C. ITOH ELECTRONICS, INC.
00809F	Alcatel Business Systems
0080AF	Allumer Co., Ltd.
0080BF	TAKAOKA ELECTRIC MFG. CO. LTD.
0080CF	EMBEDDED PERFORMANCE INC.
0080DF	ADC CODENOLL TECHNOLOGY CORP.
0080EF	Rational
0080FF	SOC. DE TELEINFORMATIQUE RTC
00900F	KAWASAKI HEAVY INDUSTRIES, LTD
00901F	ADTEC PRODUCTIONS, INC.
00902F	NETCORE SYSTEMS, INC.
00903F	AZTEC RADIOMEDIA
00904F	ABB POWER T&D COMPANY, INC.
00905F	Cisco Systems, Inc
00906F	Cisco Systems, Inc
00907F	WatchGuard Technologies, Inc.
00908F	AUDIO CODES LTD.
00909F	DIGI-DATA CORPORATION
0090AF	J. MORITA MFG. CORP.
0090BF	Cisco Systems, Inc
0090CF	Nortel
0090DF	MITSUBISHI CHEMICAL AMERICA, INC.
0090EF	INTEGRIX, INC.
0090FF	TELLUS TECHNOLOGY INC.
0097FF	Heimann Sensor GmbH
00A00F	Broadband Technologies
00A01F	TRICORD SYSTEMS, INC.
00A02F	ADB Broadband Italia
00A03F	COMPUTER SOCIETY MICROPROCESSOR & MICROPROCESSOR STANDARDS C
00A04F	AMERITEC CORP.
00A05F	BTG Electronics Design BV
00A06F	Color Sentinel Systems, LLC
00A07F	GSM-SYNTEL, LTD.
00A08F	DESKNET SYSTEMS, INC.
00A09F	COMMVISION CORP.
00A0AF	WMS INDUSTRIES
00A0BF	WIRELESS DATA GROUP MOTOROLA
00A0CF	SOTAS, INC.
00A0DF	STS TECHNOLOGIES, INC.
00A0EF	LUCIDATA LTD.
00A0FF	TELLABS OPERATIONS, INC.
00A2FF	abatec group AG
00AF1F	Cisco Systems, Inc
00B0DF	Starboard Storage Systems
00C00F	QNX Software Systems Ltd.	[also Quantum Software Systems Ltd]
00C01F	S.E.R.C.E.L.
00C02F	Okuma Corp
00C03F	Stores Automated Systems Inc
00C04F	Dell
00C05F	FINE-PAL COMPANY LIMITED
00C06F	Komatsu Ltd
00C07F	Nupon Computing Corp
00C08F	Matsushita Electric Works, Ltd.
00C09F	Quanta Computer Inc
00C0AF	TEKLOGIX INC.
00C0BF	Technology Concepts Ltd
00C0CF	IMATRAN VOIMA OY
00C0DF	Kye Systems Corp
00C0EF	Abit Corporation
00C0FF	Box Hill Systems Corporation
00C14F	DDL Co,.ltd.
00D00F	SPEECH DESIGN GMBH
00D01F	Senetas Security
00D02F	VLSI TECHNOLOGY INC.
00D03F	AMERICAN COMMUNICATION
00D04F	BITRONICS, INC.
00D05F	VALCOM, INC.
00D06F	KMC CONTROLS
00D07F	STRATEGY & TECHNOLOGY, LIMITED
00D08F	ARDENT TECHNOLOGIES, INC.
00D09F	NOVTEK TEST SYSTEMS
00D0AF	CUTLER-HAMMER, INC.
00D0BF	PIVOTAL TECHNOLOGIES
00D0CF	MORETON BAY
00D0DF	KUZUMI ELECTRONICS, INC.
00D0EF	Igt
00D0FF	Cisco Systems, Inc
00D78F	Cisco Systems, Inc
00DBDF	Intel Corporate
00DD0F	UNGERMANN-BASS INC.
00E00F	Shanghai Baud Data Communication Co.,Ltd.
00E01F	AVIDIA Systems, Inc.
00E02F	MCNS HOLDINGS, L.P.
00E03F	JATON CORPORATION
00E04F	Cisco
