000005	XEROX CORPORATION
000905	iTEC Technologies Ltd.
000915	CAS Corp.
000925	VSN Systemen BV
000935	Sandvine Incorporated
000945	Palmmicro Communications Inc
000955	Young Generation International Corp.
000965	HyunJu Computer Co., Ltd.
000975	fSONA Communications Corporation
000985	Auto Telecom Company
000995	Castle Technology Ltd
0009A5	HANSUNG ELETRONIC INDUSTRIES DEVELOPMENT CO., LTD
0009B5	3J Tech. Co., Ltd.
0009C5	KINGENE Technology Corporation
0009D5	Signal Communication, Inc.
0009E5	Hottinger Baldwin Messtechnik GmbH
0009F5	Emerson Network Power Co.,Ltd
000A05	Widax Corp.
000A15	Silicon Data, Inc
000A25	CERAGON NETWORKS
000A35	Xilinx
000A45	Audio-Technica Corp.
000A55	MARKEM Corporation
000A65	GentechMedia.co.,ltd.
000A75	Caterpillar, Inc
000A85	PLAT'C2,Inc
000A95	Apple, Inc.
000AA5	MAXLINK INDUSTRIES LIMITED
000AB5	Digital Electronic Network
000AC5	Color Kinetics
000AD5	Brainchild Electronic Co., Ltd.
000AE5	ScottCare Corporation
000AF5	Airgo Networks, Inc.
000B05	Pacific Broadband Networks
000B15	Platypus Technology
000B25	Aeluros
000B35	Quad Bit System co., Ltd.
000B45	Cisco Systems, Inc
000B55	ADInstruments
000B65	Sy.A.C. srl
000B75	Iosoft Ltd.
000B85	Cisco Systems, Inc
000B95	eBet Gaming Systems Pty Ltd
000BA5	Quasar Cipta Mandiri, PT
000BB5	nStor Technologies, Inc.
000BC5	SMC Networks, Inc.
000BD5	Nvergence, Inc.
000BE5	HIMS International Corporation
000BF5	Shanghai Sibo Telecom Technology Co.,Ltd
000C05	RPA Reserch Co., Ltd.
000C15	CyberPower Systems, Inc.
000C25	Allied Telesis Labs, Inc.
000C35	KaVo Dental GmbH & Co. KG
000C45	Animation Technologies Inc.
000C55	Microlink Communications Inc.
000C65	Sunin Telecom
000C75	Oriental integrated electronics. LTD
000C85	Cisco Systems, Inc
000C95	Primenet
000CA5	Naman NZ LTd
000CB5	Premier Technolgies, Inc
000CC5	Nextlink Co., Ltd.
000CD5	Passave Inc.
000CE5	ARRIS Group, Inc.
000CF5	InfoExpress
000D05	cybernet manufacturing inc.
000D15	Voipac s.r.o.
000D25	SANDEN CORPORATION
000D35	PAC International Ltd
000D45	Tottori SANYO Electric Co., Ltd.
000D55	SANYCOM Technology Co.,Ltd
000D65	Cisco Systems, Inc
000D75	Kobian Pte Ltd - Taiwan Branch
000D85	Tapwave, Inc.
000D95	Opti-cell, Inc.
000DA5	Fabric7 Systems, Inc
000DB5	GLOBALSAT TECHNOLOGY CORPORATION
000DC5	EchoStar Global B.V.
000DD5	O'RITE TECHNOLOGY CO.,LTD
000DE5	Samsung Thales
000DF5	Teletronics International Inc.
000E05	WIRELESS MATRIX CORP.
000E15	Tadlys LTD
000E25	Hannae Technology Co., Ltd
000E35	Intel Corporation
000E45	Beijing Newtry Electronic Technology Ltd
000E55	Auvitran
000E65	TransCore
000E75	New York Air Brake Corp.
000E85	Catalyst Enterprises, Inc.
000E95	Fujiya Denki Seisakusho Co.,Ltd.
000EA5	BLIP Systems
000EB5	Ecastle Electronics Co., Ltd.
000EC5	Digital Multitools Inc
000ED5	COPAN Systems Inc.
000EE5	bitWallet, Inc.
000EF5	iPAC Technology Co., Ltd.
000F05	3B SYSTEM INC.
000F15	Kjaerulff1 A/S
000F25	AimValley B.V.
000F35	Cisco Systems, Inc
000F45	Stretch, Inc.
000F55	Datawire Communication Networks Inc.
000F65	icube Corp.
000F75	First Silicon Solutions
000F85	ADDO-Japan Corporation
000F95	ELECOM Co.,LTD Laneed Division
000FA5	BWA Technology GmbH
000FB5	Netgear
000FC5	KeyMed Ltd
000FD5	Schwechat - RISE
000FE5	MERCURY SECURITY CORPORATION
000FF5	GN&S company
001005	UEC COMMERCIAL
001015	OOmon Inc.
001025	Grayhill, Inc
001035	Elitegroup Computer Systems Co.,Ltd.
001045	Nortel Networks
001055	FUJITSU MICROELECTRONICS, INC.
001065	RADYNE CORPORATION
001075	Segate Technology LLC
001085	POLARIS COMMUNICATIONS, INC.
001095	Thomson Inc.
0010A5	OXFORD INSTRUMENTS
0010B5	Accton Technology Corp
0010C5	PROTOCOL TECHNOLOGIES, INC.
0010D5	IMASDE CANARIAS, S.A.
0010E5	SOLECTRON TEXAS
0010F5	AMHERST SYSTEMS, INC.
001105	Sunplus Technology Co., Ltd.
001115	EPIN Technologies, Inc.
001125	IBM Corp
001135	Grandeye Ltd
001145	ValuePoint Networks
001155	Sevis Systems
001165	ZNYX Networks, Inc.
001175	Intel Corporation
001185	Hewlett Packard
001195	D-Link Corporation
0011A5	Fortuna Electronic Corp.
0011B5	Shenzhen Powercom Co.,Ltd
0011C5	TEN Technology
0011D5	Hangzhou Sunyard System Engineering Co.,Ltd.
0011E5	KCodes Corporation
0011F5	ASKEY COMPUTER CORP
001205	Terrasat Communications, Inc.
001215	iStor Networks, Inc.
001225	ARRIS Group, Inc.
001235	Andrew Corporation
001245	Zellweger Analytics, Inc.
001255	NetEffect Incorporated
001265	Enerdyne Technologies, Inc.
001275	Sentilla Corporation
001285	Gizmondo Europe Ltd
001295	Aiware Inc.
0012A5	Stargen, Inc.
0012B5	Vialta, Inc.
0012C5	V-Show  Technology (China) Co.,Ltd
0012D5	Motion Reality Inc.
0012E5	Time America, Inc.
0012F5	Imarda New Zealand Limited
001305	Epicom, Inc.
001315	Sony Interactive Entertainment Inc.
001325	Cortina Systems Inc
001335	VS Industry Berhad
001345	Eaton Corporation
001355	TOMEN Cyber-business Solutions, Inc.
001365	Nortel Networks
001375	American Security Products Co.
001385	Add-On Technology Co., LTD.
001395	congatec AG
0013A5	General Solutions, LTD.
0013B5	Wavesat
0013C5	LIGHTRON FIBER-OPTIC DEVICES INC.
0013D5	RuggedCom
0013E5	TENOSYS, INC.
0013F5	Akimbi Systems
001405	OpenIB, Inc.
001415	Intec Automation inc.
001425	Galactic Computing Corp.
001435	CityCom Corp.
001445	Telefon-               # Telefon-Gradnja d.o.o.
001455	Coder Electronics Corporation
001465	Novo Nordisk A/S
001475	Wiline Networks, Inc.
001485	Giga-Byte
001495	2Wire Inc
0014A5	Gemtek Technology Co., Ltd.
0014B5	PHYSIOMETRIX,INC
0014C5	Alive Technologies Pty Ltd
0014D5	Datang Telecom Technology CO. , LCD,Optical Communication Br
0014E5	Alticast
0014F5	OSI Security Devices
001505	Actiontec Electronics, Inc
001515	Leipold+               # Leipold+Co.GmbH
001525	Chamberlain Access Solutions
001535	OTE Spa
001545	SEECODE Co., Ltd.
001555	DFM GmbH
001565	XIAMEN YEALINK NETWORK TECHNOLOGY CO.,LTD
001575	Nevis Networks Inc.
001585	Aonvision Technolopy Corp.
001595	Quester Tangent Corporation
0015A5	DCI Co., Ltd.
0015B5	CI Network Corp.
0015C5	Dell Inc.
0015D5	Nicevt
0015E5	Cheertek Inc.
0015F5	Sustainable Energy Systems
001605	YORKVILLE SOUND INC.
001615	Nittan Company, Limited
001625	Impinj, Inc.
001635	Hewlett Packard
001645	Power Distribution, Inc.
001655	FUHO TECHNOLOGY Co., LTD
001665	Cellon France
001675	ARRIS Group, Inc.
001685	Elisa Oyj
001695	AVC Technology (International) Limited
0016A5	Tandberg Storage ASA
0016B5	ARRIS Group, Inc.
0016C5	Shenzhen Xing Feng Industry Co.,Ltd
0016D5	Synccom Co., Ltd
0016E5	FORDLEY DEVELOPMENT LIMITED
0016F5	Dalian Golden Hualu Digital Technology Co.,Ltd
001705	Methode Electronics
001715	Qstik
001725	Liquid Computing
001735	Intel Wireless Network Group
001745	INNOTZ CO., Ltd
001755	GE Security
001765	Nortel Networks
001775	TTE Germany GmbH
001785	Sparr Electronics Ltd
001795	Cisco Systems, Inc
0017A5	Ralink Technology Corp
0017B5	Peerless Systems Corporation
0017C5	SonicWALL
0017D5	Samsung Electronics Co.,Ltd
0017E5	Texas Instruments
0017F5	LIG NEOPTEK
001805	Beijing InHand Networking Technology Co.,Ltd.
001815	GZ Technologies, Inc.
001825	Private
001835	Thoratec / ITC
001845	Pulsar-Telecom LLC.
001855	Aeromaritime Systembau GmbH
001865	Siemens Healthcare Diagnostics Manufacturing Ltd
001875	AnaCise Testnology Pte Ltd
001885	Avigilon Corporation
001895	Hansun Technologies Inc.
0018A5	ADigit Technologies Corp.
0018B5	Magna Carta
0018C5	Nokia Danmark A/S
0018D5	Reigncom
0018E5	Adhoco AG
0018F5	Shenzhen Streaming Video Technology Company Limited
001905	SCHRACK Seconet AG
001915	TECOM Co., Ltd.
001925	Intelicis Corporation
001935	DUERR DENTAL AG
001945	RF COncepts, LLC
001955	Cisco Systems, Inc
001965	YuHua TelTech (ShangHai) Co., Ltd.
001975	Beijing Huisen networks technology Inc
001985	IT Watchdogs, Inc
001995	Jurong Hi-Tech (Suzhou)Co.ltd
0019A5	RadarFind Corporation
0019B5	Famar Fueguina S.A.
0019C5	Sony Interactive Entertainment Inc.
0019D5	IP Innovations, Inc.
0019E5	Lynx Studio Technology, Inc.
0019F5	Imagination Technologies Ltd
001A05	OPTIBASE LTD
001A15	gemalto e-Payment
001A25	DELTA DORE
001A35	BARTEC GmbH
001A45	GN Netcom A/S
001A55	ACA-Digital Corporation
001A65	Seluxit
001A75	Sony Mobile Communications AB
001A85	NV Michel Van de Wiele
001A95	Hisense Mobile Communications Technoligy Co.,Ltd.
001AA5	BRN Phoenix
001AB5	Home Network System
001AC5	BreakingPoint Systems, Inc.
001AD5	KMC CHAIN INDUSTRIAL CO., LTD.
001AE5	Mvox Technologies Inc.
001AF5	PENTAONE. CO., LTD.
001B05	YMC AG
001B15	Voxtel, Inc.
001B25	Nortel Networks
001B35	ChongQing JINOU Science & Technology Development CO.,Ltd
001B45	ABB AS, Division Automation Products
001B55	Hurco Automation Ltd.
001B65	China Gridcom Co., Ltd
001B75	Hypermedia Systems
001B85	MAN Diesel SE
001B95	VIDEO SYSTEMS SRL
001BA5	MyungMin Systems, Inc.
001BB5	Cherry GmbH
001BC5	IEEE Registration Authority
001BD5	Cisco Systems, Inc
001BE5	802automation Limited
001BF5	Tellink Sistemas de Telecomunicación S.L.
001C05	Nonin Medical Inc.
001C15	iPhotonix LLC
001C25	Hon Hai Precision Ind. Co.,Ltd.
001C35	Nokia Danmark A/S
001C45	Chenbro Micom Co., Ltd.
001C55	Shenzhen Kaifa Technology Co.
001C65	JoeScan, Inc.
001C75	Segnet Ltd.
001C85	Eunicorn
001C95	Opticomm Corporation
001CA5	Zygo Corporation
001CB5	Neihua Network Technology Co.,LTD.(NHN)
001CC5	3Com Ltd
001CD5	ZeeVee, Inc.
001CE5	MBS Electronic Systems GmbH
001CF5	Wiseblue Technology Limited
001D05	Eaton Corporation
001D15	Shenzhen Dolphin Electronic Co., Ltd
001D25	Samsung Electronics Co.,Ltd
001D35	Viconics Electronics Inc.
001D45	Cisco Systems, Inc
001D55	ZANTAZ, Inc
001D65	Microwave Radio Communications
001D75	Radioscape PLC
001D85	Call Direct Cellular Solutions
001D95	Flash, Inc.
001DA5	WB Electronics
001DB5	Juniper Networks
001DC5	Beijing Jiaxun Feihong Electricial Co., Ltd.
001DD5	ARRIS Group, Inc.
001DE5	Cisco Systems, Inc
001DF5	Sunshine Co,LTD
001E05	Xseed Technologies & Computing
001E15	Beech Hill Electronics
001E25	INTEK DIGITAL
001E35	Nintendo Co., Ltd.
001E45	Sony Mobile Communications AB
001E55	COWON SYSTEMS,Inc.
001E65	Intel Corporate
001E75	LG Electronics (Mobile Communications)
001E85	Lagotek Corporation
001E95	SIGMALINK
001EA5	ROBOTOUS, Inc.
001EB5	Ever Sparkle Technologies Ltd
001EC5	Middle Atlantic Products Inc
001ED5	Tekon-Automatics
001EE5	Cisco-Linksys, LLC
001EF5	Hitek Automated Inc.
001F05	iTAS Technology Corp.
001F15	Bioscrypt Inc
001F25	MBS GmbH
001F35	AIR802 LLC
001F45	Enterasys
001F55	Honeywell Security (China) Co., Ltd.
001F65	KOREA ELECTRIC TERMINAL CO., LTD.
001F75	GiBahn Media
001F85	Apriva ISS, LLC
001F95	Sagemcom Broadband SAS
001FA5	Blue-White Industries
001FB5	I/O Interconnect Inc.
001FC5	Nintendo Co., Ltd.
001FD5	MICRORISC s.r.o.
001FE5	In-Circuit GmbH
001FF5	Kongsberg Defence & Aerospace
002005	simpletech
002015	ACTIS COMPUTER SA
002025	Control Technology Inc (Industrial Controls and Network Interfaces)
002035	IBM (International Business Machines)	mainframes, Etherjet printers
002045	SolCom Systems Limited
002055	ALTECH CO., LTD.
002065	SUPERNET NETWORKING INC.
002075	MOTOROLA COMMUNICATION ISRAEL
002085	3Com
002095	RIVA ELECTRONICS
0020A5	Newer Technology
0020B5	YASKAWA ELECTRIC CORPORATION
0020C5	Eagle NE2000
0020D5	VIPA GMBH
0020E5	Apex Data
0020F5	PANDATEL AG
002105	Alcatel-               # Alcatel-Lucent IPD
002115	PHYWE Systeme GmbH & Co. KG
002125	KUK JE TONG SHIN Co.,LTD
002135	Alcatel-               # ALCATEL-LUCENT
002145	Semptian Technologies Ltd.
002155	Cisco Systems, Inc
002165	Presstek Inc.
002175	Pacific Satellite International Ltd.
002185	MICRO-STAR INT'L CO.,LTD.
002195	GWD Media Limited
0021A5	ERLPhase Power Technologies Ltd.
0021B5	Galvanic Ltd
0021C5	3DSP Corp
0021D5	X2E GmbH
0021E5	Display Solution AG
0021F5	Western Engravers Supply, Inc.
002205	WeLink Solutions, Inc.
002215	ASUSTek COMPUTER INC.
002225	Thales Avionics Ltd
002235	Strukton Systems bv
002245	Leine & Linde AB
002255	Cisco Systems, Inc
002265	Nokia Danmark A/S
002275	Belkin International Inc.
002285	NOMUS COMM SYSTEMS
002295	SGM Technology for lighting spa
0022A5	Texas Instruments
0022B5	Novita
0022C5	INFORSON Co,Ltd.
0022D5	Eaton Corp. Electrical Group Data Center Solutions - Pulizzi
0022E5	Fisher-Rosemount Systems Inc.
0022F5	Advanced Realtime Tracking GmbH
002305	Cisco Systems, Inc
002315	Intel Corporate
002325	IOLAN Holding
002335	Linkflex Co.,Ltd
002345	Sony Mobile Communications AB
002355	Kinco Automation(Shanghai) Ltd.
002365	Insta Elektro GmbH
002375	ARRIS Group, Inc.
002385	Antipode
002395	ARRIS Group, Inc.
0023A5	SageTV, LLC
0023B5	ORTANA LTD
0023C5	Radiation Safety and Control Services Inc
0023D5	WAREMA electronic GmbH
0023E5	IPaXiom Networks
0023F5	WILO SE
002405	Dilog Nordic AB
002415	Magnetic Autocontrol GmbH
002425	Shenzhenshi chuangzhicheng Technology Co.,Ltd
002435	WIDE CORPORATION
002445	Adtran Inc
002455	MuLogic BV
002465	Elentec
002475	Compass System(Embedded Dept.)
002485	ConteXtream Ltd
002495	ARRIS Group, Inc.
0024A5	BUFFALO.INC
0024B5	Nortel Networks
0024C5	Meridian Audio Limited
0024D5	Winward Industrial Limited
0024E5	Seer Technology, Inc
0024F5	NDS Surgical Imaging
002505	eks Engel GmbH & Co. KG
002515	Sfr
002525	CTERA Networks Ltd.
002535	Minimax GmbH & Co KG
002545	Cisco Systems, Inc
002555	Visonic Technologies 1993 Ltd.
002565	Vizimax Inc.
002575	FiberPlex Technologies, LLC
002585	KokuyoS&               # KOKUYO S&T Co., Ltd.
002595	Northwest Signal Supply, Inc
0025A5	Walnut Media Network
0025B5	Cisco Systems, Inc
0025C5	Star Link Communication Pvt. Ltd.
0025D5	Robonica (Pty) Ltd
0025E5	LG Electronics (Mobile Communications)
0025F5	DVS Korea, Co., Ltd
002605	CC Systems AB
002615	Teracom Limited
002625	MediaSputnik
002635	Bluetechnix GmbH
002645	Circontrol S.A.
002655	Hewlett Packard
002665	ProtectedLogic Corporation
002675	Aztech Electronics Pte Ltd
002685	Digital Innovation
002695	ZT Group Int'l Inc
0026A5	MICROROBOT.CO.,LTD
0026B5	ICOMM Tele Ltd
0026C5	Guangdong Gosun Telecommunications Co.,Ltd
0026D5	Ory Solucoes em Comercio de Informatica Ltda.
0026E5	AEG Power Solutions
0026F5	XRPLUS Inc.
002705	Sectronic
002715	Rebound Telecom. Co., Ltd
003005	Fujitsu Siemens Computers
003015	CP CLARE CORP.
003025	CHECKOUT COMPUTER SYSTEMS, LTD
003035	Corning Incorporated
003045	Village Networks, Inc. (VNI)
003055	Renesas Technology America, Inc.
003065	Apple, Inc.
003075	Adtech
003085	Cisco Systems, Inc
003095	Procomp Informatics, Ltd.
0030A5	ACTIVE POWER
0030B5	Tadiran Microwave Networks
0030C5	CADENCE DESIGN SYSTEMS, INC.
0030D5	DResearch GmbH
0030E5	Amper Datos S.A.
0030F5	Wild Lab. Ltd.
003CC5	WONWOO Engineering Co., Ltd
004005	TRENDware International Inc.; Linksys; Simple Net; all three reported
004015	Ascom
004025	Molecular Dynamics
004035	Opcom
004045	TWINHEAD CORPORATION
004055	METRONIX GMBH
004065	GTE SPACENET
004075	Tattile SRL
004085	SAAB Instruments AB
004095	Eagle Technologies	[UMC also reported]
0040A5	CLINICOMP INTL.
0040B5	Video Technology Computers Ltd
0040C5	Micom Communications Corp.
0040D5	Sartorius Mechatronics T&H GmbH
0040E5	Sybus Corporation
0040F5	OEM Engines
005015	BRIGHT STAR ENGINEERING
005045	RIOWORKS SOLUTIONS, INC.
005055	DOMS A/S
005065	TDK-Lambda Corporation
005075	KESTREL SOLUTIONS
005095	PERACOM NETWORKS
0050A5	CAPITOL BUSINESS SYSTEMS, LTD.
0050B5	FICHET-BAUCHE
0050C5	ADS Technologies, Inc
0050D5	AD SYSTEMS CORP.
006005	FEEDBACK DATA LTD.
006015	NET2NET CORPORATION
006025	Active Imaging Inc.
006035	DALLAS SEMICONDUCTOR, INC.
006045	PATHLIGHT TECHNOLOGIES
006055	CORNELL UNIVERSITY
006065	BERNECKER & RAINER INDUSTRIE-ELEKTRONIC GmbH
006075	PENTEK, INC.
006085	Storage Concepts
006095	ACCU-TIME SYSTEMS, INC.
0060A5	PERFORMANCE TELECOM CORP.
0060B5	KEBA GmbH
0060C5	ANCOT CORP.
0060D5	AMADA MIYACHI Co., Ltd
0060E5	FUJI AUTOMATION CO., LTD.
0060F5	Phobos FastEthernet for Unix WS
008005	Cactus Computer Inc.
008015	Seiko Systems Inc
008025	Telit Wireless Solutions GmbH
008035	Technology Works
008045	Matsushita Electric Ind Co
008055	Fermilab
008065	CYBERGRAPHIC SYSTEMS PTY LTD.
008075	PARSYTEC GMBH
008085	H-THREE SYSTEMS CORPORATION
008095	BASIC MERTON HANDELSGES.M.B.H.
0080A5	SPEED INTERNATIONAL
0080B5	UNITED NETWORKS INC.
0080C5	NOVELLCO DE MEXICO
0080D5	CADRE TECHNOLOGIES
0080E5	Netapp
0080F5	Quantel Ltd
008865	Apple, Inc.
009005	PROTECH SYSTEMS CO., LTD.
009015	CENTIGRAM COMMUNICATIONS CORP.
009025	BAE Systems Australia (Electronic Systems) Pty Ltd
009035	ALPHA TELECOM, INC.
009045	Marconi Communications
009055	PARKER HANNIFIN CORPORATION COMPUMOTOR DIVISION
009065	FINISAR CORPORATION
009075	NEC DO BRASIL S.A.
009085	GOLDEN ENTERPRISES, INC.
009095	UNIVERSAL AVIONICS
0090A5	SPECTRA LOGIC
0090B5	NIKON CORPORATION
0090C5	INTERNET MAGIC, INC.
0090D5	EUPHONIX, INC.
0090E5	TEKNEMA, INC.
0090F5	CLEVO CO.
00A005	DANIEL INSTRUMENTS, LTD.
00A015	Wyle
00A025	REDCOM LABS INC.
00A035	CYLINK CORPORATION
00A045	PHOENIX CONTACT Electronics GmbH
00A055	Data Device Corporation
00A065	Symantec Corporation
00A075	MICRON TECHNOLOGY, INC.
00A085	Private
00A095	ACACIA NETWORKS, INC.
00A0A5	TEKNOR MICROSYSTEME, INC.
00A0B5	3H TECHNOLOGY
00A0C5	ZyXEL Communications Corporation
00A0D5	SIERRA WIRELESS INC.
00A0E5	NHC COMMUNICATIONS
00A0F5	RADGUARD LTD.
00A2F5	Guangzhou Yuanyun Network Technology Co.,Ltd
00B0F5	NetWorth Technologies, Inc.
00BF15	Genetec Inc.
00C005	Livingston Enterprises Inc	Portmaster (OEMed by Cayman)
00C015	New Media Corp
00C025	Dataproducts Corporation
00C035	Quintar Company
00C045	Isolation Systems Inc
00C055	Modular Computing Technologies
00C065	Scope Communications Inc
00C075	Xante Corporation
00C085	Canon
00C095	Znyx (Network Appliance); Jupiter Systems (MX-700); Apple (G3)  all seen
00C0A5	DICKENS DATA SYSTEMS
00C0B5	Corporate Network Systems Inc
00C0C5	SID Informatica
00C0D5	Quancom Electronic Gmbh
00C0E5	GESPAC S.A.
00C0F5	Metacomp Inc
00CAE5	Cisco Systems, Inc
00D005	ZHS ZEITMANAGEMENTSYSTEME
00D015	UNIVEX MICROTECHNOLOGY CORP.
00D025	XROSSTECH, INC.
00D035	BEHAVIOR TECH. COMPUTER CORP.
00D045	KVASER AB
00D055	KATHREIN-WERKE KG
00D065	TOKO ELECTRIC
00D075	ALARIS MEDICAL SYSTEMS, INC.
00D085	OTIS ELEVATOR COMPANY
00D095	Alcatel-               # Alcatel-Lucent Enterprise
00D0A5	AMERICAN ARIUM
00D0B5	IPricot formerly DotCom
00D0C5	COMPUTATIONAL SYSTEMS, INC.
00D0D5	GRUNDIG AG
00D0E5	SOLIDUM SYSTEMS CORP.
00D0F5	ORANGE MICRO, INC.
00DA55	Cisco Systems, Inc
00DB45	THAMWAY CO.,LTD.
00DD05	UNGERMANN-BASS INC.
00E005	TECHNICAL CORP.
00E015	HEIWA CORPORATION
00E025	dit Co., Ltd.
00E035	Artesyn Embedded Technologies
00E045	TOUCHWAVE, INC.
00E055	INGENIERIA ELECTRONICA COMERCIAL INELCOM S.A.
00E065	OPTICAL ACCESS INTERNATIONAL
00E075	Verilink Corporation
00E085	GLOBAL MAINTECH, INC.
00E095	ADVANCED-VISION TECHNOLGIES CORP.
00E0A5	ComCore Semiconductor, Inc.
00E0B5	ARDENT COMMUNICATIONS CORP.
00E0C5	BCOM Electronics Inc.
00E0D5	Emulex Corporation
00E0E5	CINCO NETWORKS, INC.
00E0F5	TELES AG
00E175	AK-Systems Ltd
00EBD5	Cisco Systems, Inc
00FD45	Hewlett Packard Enterprise
0425C5	HUAWEI TECHNOLOGIES CO.,LTD
042605	GFR Gesellschaft für Regelungstechnik und Energieeinsparung mbH
042665	Apple, Inc.
044665	Murata Manufacturing Co., Ltd.
0453D5	Sysorex Global Holdings
045A95	Nokia Corporation
046565	Testop
046785	scemtec Hard- und Software fuer Mess- und Steuerungstechnik GmbH
0475F5	Csst
048845	Bay Networks			token ring line card
048A15	Avaya Inc
049645	WUXI SKY CHIP INTERCONNECTION TECHNOLOGY CO.,LTD.
04CF25	MANYCOLORS, INC.
04E9E5	PJRC.COM, LLC
080005	Symbolics			Symbolics LISP machines
080015	STC BUSINESS SYSTEMS
080025	Cdc
080035	MICROFIVE CORPORATION
080045	???? (maybe Xylogics, but they claim not to know this number)
080055	STANFORD TELECOMM. INC.
080065	GENRAD INC.
080075	DDE (Danish Data Elektronik A/S)
080085	Elxsi
081735	Cisco Systems, Inc
0838A5	Funkwerk plettac electronic GmbH
087045	Apple, Inc.
087695	Auto Industrial Co., Ltd.
08ACA5	Benu Video, Inc.
